tag	gpu	algorithm	local_epochs	variant
L01	0	FedRep	1	baseline
L02	1	FedRep	5	baseline
L03	2	FedRep	10	baseline
L04	3	FedRep	20	baseline
L05	0	FedRT	1	baseline
L06	1	FedRT	5	baseline
L07	2	FedRT	10	baseline
L08	3	FedRT	20	baseline
L09	0	FedRPD	1	full
L10	1	FedRPD	5	full
L11	2	FedRPD	10	full
L12	3	FedRPD	20	full
L13	0	FedRPD	1	no_purify
L14	1	FedRPD	5	no_purify
L15	2	FedRPD	10	no_purify
L16	3	FedRPD	20	no_purify
L17	0	FedRPD	1	no_distill
L18	1	FedRPD	5	no_distill
L19	2	FedRPD	10	no_distill
L20	3	FedRPD	20	no_distill
L21	0	FedRPD	1	purify2
L22	1	FedRPD	5	purify2
L23	2	FedRPD	10	purify2
L24	3	FedRPD	20	purify2
