tag	gpu	algorithm	local_epochs	variant
E01	0	FedRep	1	baseline
E02	1	FedRep	5	baseline
E03	2	FedRep	10	baseline
E04	3	FedRT	1	baseline
E05	0	FedRT	5	baseline
E06	1	FedRT	10	baseline
E07	2	FedRPD	1	full
E08	3	FedRPD	5	full
E09	0	FedRPD	10	full
E10	1	FedRPD	20	full
E11	2	FedRPD	1	no_purify
E12	3	FedRPD	5	no_purify
E13	0	FedRPD	10	no_purify
E14	1	FedRPD	20	no_purify
E15	2	FedRPD	1	no_distill
E16	3	FedRPD	5	no_distill
E17	0	FedRPD	10	no_distill
E18	1	FedRPD	20	no_distill
E19	2	FedRPD	1	purify2
E20	3	FedRPD	5	purify2
E21	0	FedRPD	10	purify2
E22	1	FedRPD	20	purify2
