tag,file,rounds_seen,best_acc,best_round,final_acc,final_auc,final_train_loss,final_asr,final_attack_auc,mean_acc_last_10,mean_asr_last_10,mean_round_time
aug_0p00,aug_0p00_20260411_103858.log,801,0.7770472703062583,711,0.7747,0.9628,0.0007,0.06088228102336833,0.5720310180703964,0.77339,0.06009346053079358,24.80003706256995
aug_0p03,aug_0p03_20260411_103858.log,801,0.7804593874833555,799,0.775,0.9638,0.0008,0.06008227193300116,0.5743106353077402,0.7768499999999999,0.0595832092947887,25.864411170116526
aug_0p05,aug_0p05_20260411_103858.log,801,0.7841211717709721,797,0.7797,0.9648,0.0011,0.05642298004612085,0.5840659967900401,0.78094,0.058427127931247366,26.362769187910576
aug_0p07,aug_0p07_20260411_103858.log,801,0.7868675099866844,796,0.7829,0.9652,0.0017,0.060998304640663976,0.5883382323818717,0.78457,0.05939021464645131,25.108205100272627
aug_0p10,aug_0p10_20260411_103858.log,801,0.7890312916111851,792,0.7856,0.9647,0.0057,0.059191465291558935,0.5801699849410576,0.78667,0.06182413242027118,25.28800379113758
lambda_0p00,lambda_0p00_20260411_103858.log,801,0.7782123834886817,776,0.7736,0.9632,0.0016,0.05879400372665687,0.5756267486345182,0.77419,0.05987146794751852,25.843702977665057
lambda_0p05,lambda_0p05_20260411_103858.log,801,0.7786284953395473,778,0.7751,0.9643,0.001,0.05669144204363685,0.5787304377371535,0.77668,0.05833167881318859,25.80235448877761
lambda_0p10,lambda_0p10_20260411_103858.log,801,0.7809587217043942,737,0.7795,0.9646,0.0011,0.056165328544725564,0.5838758014117117,0.77901,0.05664709419146979,26.63647425814663
lambda_0p15,lambda_0p15_20260411_103858.log,801,0.7837882822902796,781,0.7807,0.9646,0.0013,0.05699849995485884,0.5702012945885183,0.78144,0.05621148920135326,25.69285448243407
lambda_0p20,lambda_0p20_20260411_103858.log,801,0.7876165113182424,789,0.7867,0.965,0.0012,0.050010803075399596,0.5763752640279092,0.78417,0.05423083028568286,26.129391323165798
