step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4417,0.1139,0.4904,0.08276771342173031,0.5264695380916008
1,1,1.3361,0.5204,0.8682,0.07424480717670186,0.528753981424992
2,2,1.1445,0.574,0.8905,0.08023220469524293,0.535813651099712
3,3,1.0332,0.6005,0.9033,0.07580773162453307,0.5337019300125068
4,4,0.953,0.6205,0.9118,0.07536956925576746,0.5394867446939922
5,5,0.8959,0.6331,0.9173,0.0725670001899346,0.5351039516176063
6,6,0.8432,0.6416,0.9222,0.0716803130302069,0.5393344702822334
7,7,0.7983,0.653,0.9264,0.06933773582826179,0.5458687838764261
8,8,0.7658,0.6566,0.9294,0.0675874382148669,0.5430151511215074
9,9,0.7356,0.6634,0.9318,0.05980536804088729,0.5424840458353591
10,10,0.7037,0.6712,0.9339,0.05940266668251831,0.5388586164642389
11,11,0.6846,0.6752,0.9351,0.06584733492868419,0.5429326842282413
12,12,0.6639,0.6777,0.9364,0.07014508703911071,0.5519912721032924
13,13,0.6436,0.6833,0.9376,0.06243508911833836,0.5440787588614284
14,14,0.6221,0.6884,0.9392,0.06598134467699264,0.5453343686824784
15,15,0.6006,0.6954,0.9403,0.0502258102195099,0.5377770273395014
16,16,0.5872,0.6951,0.9408,0.05829415428777777,0.5501940978851316
17,17,0.5782,0.6952,0.9412,0.06328922065970724,0.5444627249310414
18,18,0.5573,0.7008,0.9424,0.057115638539391535,0.549261185734517
19,19,0.546,0.7034,0.9425,0.05966420575054862,0.545066961388672
20,20,0.5336,0.705,0.9431,0.050540969540369005,0.5506328062593374
21,21,0.5226,0.7055,0.9439,0.06221316348481685,0.5517142458717521
22,22,0.5115,0.7099,0.9445,0.055793726284982345,0.5517046713313167
23,23,0.4994,0.7107,0.9451,0.05516776809803105,0.5428385969838198
24,24,0.4857,0.713,0.9456,0.05741797369412755,0.5481476135291079
25,25,0.479,0.7122,0.9456,0.061707170082370755,0.553563270240922
26,26,0.471,0.7132,0.9456,0.0627797131971193,0.5474978174032681
27,27,0.4616,0.7132,0.9464,0.053872181145030555,0.5447758906787121
28,28,0.4522,0.714,0.9461,0.04897512952155977,0.5448850837628103
29,29,0.7323,0.7168,0.9466,0.056682868390104085,0.550549660144329
30,30,0.4989,0.6873,0.9421,0.06561455202028904,0.552170491452336
31,31,0.4862,0.6895,0.9424,0.05874039074275826,0.5564711985532602
32,32,0.4723,0.6911,0.9422,0.05944653329034477,0.5564317058333025
33,33,0.461,0.6882,0.9423,0.06451494439416004,0.5564656588882926
34,34,0.454,0.6931,0.9428,0.0567631755787279,0.556362442941918
35,35,0.4452,0.6964,0.943,0.052921504194303755,0.5579507588086126
36,36,0.435,0.6968,0.9435,0.05771558534148568,0.5591009823591934
37,37,0.4289,0.6954,0.9437,0.05580374230482154,0.5664368506885229
38,38,0.4246,0.6965,0.9436,0.06460254293831083,0.5628038037378221
39,39,0.4178,0.7011,0.9444,0.052375143879451594,0.5612963545503786
40,40,0.4148,0.7012,0.944,0.058563395495814574,0.5617564671577037
41,41,0.4051,0.7046,0.945,0.06111826800237129,0.5642598596572371
42,42,0.3969,0.7064,0.9451,0.05699462214493678,0.5614755121083319
43,43,0.3919,0.7065,0.945,0.05793563657712948,0.5685523329936054
44,44,0.382,0.7071,0.9456,0.054363779930048116,0.5663502828187209
45,45,0.3757,0.7106,0.9462,0.060398848370930826,0.5670174684438267
46,46,0.3758,0.7088,0.9461,0.05516989535499968,0.5667254522214262
47,47,0.3703,0.7061,0.9457,0.060786138316953814,0.5632708616067751
48,48,0.3625,0.713,0.9462,0.06096776342667705,0.5653862568187137
49,49,0.356,0.7146,0.9467,0.06232324208760722,0.5731991228468457
50,50,0.354,0.713,0.9472,0.058758025445314464,0.5664632132829319
51,51,0.3526,0.7125,0.9472,0.05322077016291952,0.565558476435519
52,52,0.3431,0.713,0.9473,0.057262166753952674,0.5652540012127528
53,53,0.335,0.714,0.9474,0.057176620547928346,0.5682120909109483
