step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4417,0.1139,0.4904,0.0696588484100743,0.5108958351420476
1,1,1.3258,0.5193,0.8689,0.07401927996846433,0.5228533438164805
2,2,1.1285,0.5761,0.8908,0.0695754893833929,0.5281414084286186
3,3,1.0147,0.6001,0.903,0.06610202739142242,0.5266408916524238
4,4,0.934,0.626,0.9129,0.06827222709099157,0.52636551515602
5,5,0.8645,0.6381,0.9175,0.05776686594088378,0.5334089457678524
6,6,0.8111,0.65,0.9226,0.05676861310211372,0.5319173459307801
7,7,0.7689,0.6551,0.9264,0.06826058691593147,0.536183927894828
8,8,0.7264,0.6639,0.9297,0.05727166730528249,0.526555210451814
9,9,0.6934,0.6742,0.9323,0.05989800874536374,0.5344452401150945
10,10,0.6647,0.6768,0.9342,0.05713961018481227,0.5284829673531451
11,11,0.6387,0.6797,0.9354,0.05436207037394574,0.5337420308117216
12,12,0.6184,0.687,0.9363,0.054509214381823434,0.5346753961777362
13,13,0.5965,0.6898,0.9379,0.05784291517380225,0.5342162107929297
14,14,0.5745,0.6928,0.9392,0.05547700809069219,0.538312921330849
15,15,0.5578,0.694,0.9398,0.05688914603336163,0.5353007448518743
16,16,0.5417,0.6982,0.9406,0.05305824133698126,0.5378733647305343
17,17,0.5233,0.701,0.9412,0.05472748974901311,0.5374008934712474
18,18,0.5096,0.7014,0.9419,0.05348217618037652,0.5381313753340351
19,19,0.4955,0.7049,0.9427,0.049533437084291275,0.5347191313302888
20,20,0.4811,0.7045,0.9427,0.0516868977598302,0.5376932895546312
21,21,0.4695,0.7079,0.9435,0.05219594534888618,0.5356778222058696
22,22,0.4573,0.7126,0.9439,0.04951661177480398,0.5358604202076824
23,23,0.4457,0.713,0.9446,0.04696660249856146,0.5348930671029973
24,24,0.4355,0.7129,0.9447,0.05375173289220149,0.5381046349961011
25,25,0.4216,0.7166,0.9456,0.051772795305520564,0.5366025866468316
26,26,0.414,0.7141,0.9453,0.04972360400424996,0.541248727293062
27,27,0.403,0.7171,0.9457,0.05207283625859443,0.5418680245526888
28,28,0.3995,0.7188,0.9462,0.0460459193458549,0.5384735389767582
29,29,0.6799,0.7175,0.9463,0.049826547723084584,0.5376726348671874
30,30,0.4474,0.6812,0.9404,0.04850543028207306,0.5362714535092126
31,31,0.4228,0.6845,0.9412,0.05045272611014349,0.5380048704499745
32,32,0.4171,0.6865,0.9415,0.05095535742652526,0.5417836494783671
33,33,0.4024,0.692,0.9422,0.05138349185892477,0.5443244769013194
34,34,0.3943,0.6935,0.9419,0.048742165602877,0.5460593195763705
35,35,0.384,0.6971,0.9423,0.04920688443144427,0.5452377922616513
36,36,0.3748,0.6959,0.943,0.047667565668376786,0.5459000165112534
37,37,0.3709,0.6992,0.9432,0.0458448248886381,0.549043505114815
38,38,0.3587,0.7002,0.9436,0.04990069841255261,0.5467476663816428
39,39,0.3517,0.7019,0.9436,0.05035756899258063,0.5492276349572661
40,40,0.3427,0.7033,0.9445,0.05305594491591364,0.5537953481404659
41,41,0.3393,0.6987,0.9439,0.05064959047008804,0.5534733508664164
42,42,0.3298,0.7096,0.9447,0.05233558098957915,0.5563753332769803
43,43,0.3276,0.7024,0.9444,0.05256302109192913,0.5577105254029456
44,44,0.3159,0.7069,0.9444,0.05157123889247978,0.5516896642728664
45,45,0.314,0.7066,0.9448,0.05156743946719459,0.5532028892229469
46,46,0.3087,0.7102,0.9457,0.05012491692020636,0.5528717539411003
47,47,0.3054,0.7092,0.9451,0.046411460277551324,0.5529151031765657
48,48,0.2967,0.7115,0.9462,0.052211128683817803,0.5529322279150108
49,49,0.2898,0.7131,0.9461,0.04990202497678299,0.5538636214354746
50,50,0.2848,0.7152,0.9465,0.04875762204131303,0.5544362172213386
51,51,0.2855,0.7128,0.9466,0.050375889411668116,0.558414293882673
52,52,0.2774,0.713,0.9461,0.045966357230307175,0.5527093430821756
53,53,0.2712,0.7102,0.946,0.04803862571814602,0.5553910977616541
54,54,0.266,0.7195,0.9473,0.049999609630541404,0.5546016275730957
55,55,0.2636,0.7135,0.947,0.05303177532498049,0.5543174144643694
56,56,0.2575,0.7162,0.9471,0.05507346176460828,0.5563868874962757
57,57,0.2507,0.7165,0.9474,0.04903885180645343,0.5587101228433435
58,58,0.2486,0.7201,0.9474,0.047949760498946246,0.5578121577577322
59,59,0.243,0.7213,0.9476,0.051032600028737954,0.5600459860258603
60,60,0.2395,0.7191,0.9481,0.05113644548457108,0.5584323094600312
61,61,0.2335,0.7203,0.9479,0.047339236631051704,0.5608610482886028
62,62,0.2325,0.7175,0.9481,0.04735835667767536,0.5623147703993451
63,63,0.2284,0.7231,0.9485,0.053887979418664404,0.5601631291928081
64,64,0.2238,0.7185,0.9484,0.04845339328720411,0.5629673889105201
65,65,0.2165,0.7219,0.9487,0.04808799159853607,0.5577780641823714
66,66,0.2142,0.7225,0.9487,0.053328714884896364,0.5599706926079085
67,67,0.2115,0.7265,0.9495,0.05015547837652507,0.5578199755285463
68,68,0.211,0.724,0.9487,0.0483901292359241,0.5605911986569743
69,69,0.2057,0.7245,0.949,0.04980240001728885,0.5567331312177844
70,70,0.2032,0.7235,0.9494,0.05071068940246257,0.5659786664283158
71,71,0.1994,0.7231,0.9488,0.04969863946009982,0.5607565550636736
72,72,0.1985,0.7246,0.9492,0.04599329496601434,0.5601167345944882
73,73,0.189,0.7266,0.9497,0.05258708998087591,0.5620690542160096
