step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4417,0.1139,0.4904,0.1108,0.5252198645313056
1,1,1.3228,0.5241,0.8726,0.0777183880662043,0.5167874852434293
2,2,1.117,0.5803,0.893,0.0881,0.5241112998506108
3,3,0.9944,0.6121,0.9059,0.0697333327203212,0.5239896484963839
4,4,0.9082,0.6316,0.9146,0.0794,0.5250376075181199
5,5,0.8443,0.6487,0.9206,0.06242405064158385,0.527887964799367
6,6,0.7928,0.6553,0.9248,0.0696,0.5334638800449406
7,7,0.7474,0.6626,0.9284,0.06254393576653204,0.5282604977681032
8,8,0.7095,0.6694,0.9308,0.0685,0.5253725270835335
9,9,0.6736,0.6774,0.933,0.05993339250205882,0.5267400919149983
10,10,0.6445,0.6832,0.9352,0.0644,0.5256173122453831
11,11,0.6156,0.6858,0.9369,0.05384802154849218,0.5276681881962897
12,12,0.5889,0.6938,0.9385,0.0585,0.5274402350785826
13,13,0.568,0.6941,0.9392,0.062186418060514816,0.5285951794714603
14,14,0.5459,0.7018,0.9407,0.0638,0.5192887604684275
15,15,0.5293,0.6999,0.9411,0.05466971225916515,0.5257910553482036
16,16,0.5122,0.7046,0.9417,0.058,0.5274889660797221
17,17,0.495,0.706,0.9428,0.04759158034362069,0.5303022158498236
18,18,0.4786,0.7096,0.9436,0.0527,0.525095734333829
19,19,0.4627,0.7118,0.944,0.056127769157068075,0.5274393301992708
20,20,0.4491,0.716,0.9446,0.0585,0.5259390022078752
21,21,0.4351,0.7177,0.9453,0.050043957250787696,0.5311580872421906
22,22,0.4239,0.7163,0.9454,0.0522,0.5267161778539554
23,23,0.4094,0.7205,0.946,0.04985754048645474,0.5308067824712511
24,24,0.4,0.7192,0.9463,0.0512,0.5254450983018844
25,25,0.3877,0.7245,0.947,0.053250786845994186,0.5278694618729135
26,26,0.3765,0.7237,0.9473,0.0532,0.5273747141651238
27,27,0.3669,0.7264,0.9479,0.047477496482676344,0.5252243041010715
28,28,0.3553,0.7256,0.9478,0.0497,0.5275888500082165
29,29,0.6385,0.7284,0.9484,0.04208949773716499,0.5272661862932274
30,30,0.4133,0.7008,0.9432,0.0479,0.5338263033972762
31,31,0.3895,0.7012,0.9435,0.0477887373457953,0.5395650616267942
32,32,0.3704,0.705,0.944,0.0485,0.5374081415237169
33,33,0.3596,0.7072,0.9442,0.04745959753938771,0.5428432750609579
34,34,0.3514,0.7045,0.9443,0.0483,0.5445752172867302
35,35,0.3409,0.7112,0.9449,0.04511660439410593,0.5452306122565908
36,36,0.3324,0.7106,0.945,0.0498,0.5482817009230209
37,37,0.324,0.7107,0.9452,0.04337478490627074,0.5477097500331054
38,38,0.3165,0.7139,0.9458,0.044,0.5489944447903785
39,39,0.3099,0.7152,0.9457,0.04288843322342604,0.5513610047965052
40,40,0.3006,0.7117,0.9458,0.0451,0.5456514398889715
41,41,0.2949,0.7131,0.9461,0.04214908732148992,0.5507946698887212
42,42,0.2884,0.7183,0.9468,0.0442,0.5511816295811743
43,43,0.282,0.7158,0.9466,0.04541995228421503,0.5523442286311281
44,44,0.2736,0.7192,0.9471,0.0472,0.5542688251512911
45,45,0.2696,0.7216,0.9473,0.042314609884833494,0.5520066139627395
46,46,0.2662,0.7239,0.9479,0.0451,0.5553261825418676
47,47,0.2561,0.7217,0.9477,0.04828785363948009,0.5525247003805228
48,48,0.2509,0.7226,0.9478,0.05,0.5582259736636502
49,49,0.246,0.7232,0.9483,0.04901562181466879,0.55587899684852
50,50,0.2405,0.7251,0.9482,0.0496,0.558998587865793
51,51,0.2346,0.7254,0.9486,0.04686375023946105,0.557394412878649
52,52,0.2298,0.7283,0.9487,0.0496,0.5553101233512086
53,53,0.2254,0.7278,0.9491,0.04084120423950352,0.5599084420001667
54,54,0.2183,0.7275,0.949,0.045,0.5585894059835677
55,55,0.2143,0.7264,0.9491,0.0408052566557379,0.5593587453374813
56,56,0.2102,0.7309,0.9496,0.0431,0.5557946513538825
57,57,0.2059,0.7259,0.9493,0.044095910138911745,0.5571976322824174
58,58,0.2002,0.7284,0.9498,0.0448,0.5574519693066445
59,59,0.196,0.7294,0.95,0.044628199107315546,0.5638152525056067
60,60,0.1925,0.7299,0.95,0.0485,0.5568963329764856
