step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4417,0.1139,0.4904,0.06986811272206553,0.5166484112908076
1,1,1.3317,0.5205,0.8681,0.07267175765772917,0.5191107875210802
2,2,1.1328,0.5756,0.8902,0.0658678499837611,0.5177215386106712
3,3,1.0213,0.6062,0.903,0.0670994074149095,0.5249039694209569
4,4,0.9352,0.625,0.9115,0.05628823047929513,0.5131311819053398
5,5,0.8689,0.6357,0.9172,0.05173859618448246,0.5196245003687524
6,6,0.8189,0.647,0.9219,0.06093110232471147,0.5213538762786083
7,7,0.7733,0.6559,0.9245,0.05233179329669868,0.5209253659066544
8,8,0.7339,0.663,0.9285,0.056326439787464926,0.5332316013737556
9,9,0.7009,0.669,0.9306,0.05264155476413941,0.5300192781294873
10,10,0.6703,0.6765,0.9324,0.05787589511039673,0.526073120410708
11,11,0.6402,0.6799,0.9342,0.052594566513220434,0.5260398536924775
12,12,0.6192,0.6851,0.9356,0.05146357245960606,0.5286451755003283
13,13,0.5972,0.6892,0.9365,0.05094025265014665,0.5273412405190289
14,14,0.5718,0.6907,0.9379,0.04935004653078986,0.5220354345619244
15,15,0.5582,0.6954,0.939,0.04873259113164279,0.529401567565235
16,16,0.5384,0.6981,0.9401,0.049456778045924306,0.5220572148834812
17,17,0.5201,0.7017,0.9407,0.045062800610332215,0.5281905098272063
18,18,0.5035,0.7018,0.9414,0.04590909512725308,0.5245140605736731
19,19,0.4877,0.7017,0.9421,0.05023146448267322,0.5241102063687383
20,20,0.4754,0.7071,0.9426,0.048762086250189636,0.5280594914055188
21,21,0.4599,0.7091,0.9435,0.049894597443695884,0.5309770477482112
22,22,0.446,0.7125,0.9442,0.04802734944845869,0.5273368258463685
23,23,0.4359,0.7153,0.9441,0.047296566829370036,0.527028319827096
24,24,0.426,0.7101,0.9447,0.04685159751403179,0.5272624355443664
25,25,0.4131,0.7146,0.9451,0.04750728631910855,0.5285516050483019
26,26,0.4031,0.7141,0.9457,0.04932084524732976,0.5278711995948102
27,27,0.393,0.718,0.946,0.043803152565932764,0.5249716175482995
28,28,0.386,0.7179,0.9463,0.045642585121589065,0.525536430246262
29,29,0.6591,0.722,0.9466,0.04597533103880737,0.5251582593028917
30,30,0.4308,0.6849,0.9413,0.046451731646811475,0.527037900457501
31,31,0.4148,0.6903,0.9416,0.04675190684715327,0.5290052640284182
32,32,0.3996,0.6898,0.9417,0.05178238208136724,0.5346770612243047
33,33,0.3893,0.6922,0.9427,0.04812866778904923,0.534746111631179
34,34,0.3758,0.6957,0.9424,0.044743851179149245,0.5284433126951494
35,35,0.3707,0.6957,0.9427,0.04629717104171174,0.5354623936985403
36,36,0.3646,0.6975,0.943,0.047978800370797096,0.539203178737162
37,37,0.3559,0.6937,0.9429,0.04688083116831011,0.538393348192926
38,38,0.3457,0.7009,0.9435,0.04569205378816868,0.5410935948771355
39,39,0.3407,0.701,0.9438,0.046181083752408904,0.5364817212128342
40,40,0.3323,0.7052,0.9443,0.0473919226100363,0.5447182766262877
41,41,0.3257,0.7022,0.9443,0.04474066522644907,0.5364654042632687
42,42,0.3219,0.7012,0.9437,0.05053020500099615,0.5464276203088907
43,43,0.3154,0.7016,0.9439,0.04581799979668124,0.5401168608345961
44,44,0.308,0.7128,0.9456,0.0480311098581722,0.5455089111772244
45,45,0.3011,0.7096,0.9455,0.04896964640433567,0.5456071679234329
46,46,0.2944,0.7074,0.9456,0.04272780867137082,0.5450395009796966
47,47,0.2925,0.7084,0.9448,0.046266759799309026,0.5421106456618094
48,48,0.2862,0.7111,0.9455,0.04836507839427665,0.5480412650094871
49,49,0.2802,0.7125,0.9461,0.042502897793220404,0.5435128404377311
50,50,0.274,0.7139,0.9462,0.04340915436338928,0.5422102812723258
51,51,0.2735,0.7166,0.9463,0.04510892168757049,0.5453125495535308
52,52,0.2641,0.717,0.9467,0.04775693005624153,0.5519708796646985
53,53,0.2633,0.7126,0.9463,0.04735197150080523,0.544966978238928
54,54,0.2575,0.7115,0.9465,0.04724624966458617,0.549708613895935
55,55,0.2522,0.7156,0.9467,0.04206056540258593,0.5504932017925122
56,56,0.2446,0.7185,0.9471,0.04480428221250589,0.5478033384938545
57,57,0.2409,0.7145,0.9473,0.04902179674622672,0.5553435021186169
58,58,0.2394,0.7178,0.9471,0.04744698265891995,0.5497518174835836
59,59,0.2351,0.7195,0.9475,0.05045414184898216,0.547232014192577
60,60,0.2315,0.7178,0.9474,0.04768449785967496,0.5538200957189198
61,61,0.2272,0.7155,0.9474,0.04729949925659897,0.5582413627211236
62,62,0.2204,0.7225,0.9482,0.04790981219195271,0.5537376810514314
63,63,0.2178,0.7224,0.9483,0.04675606759442364,0.5517680378860627
64,64,0.2124,0.7225,0.9484,0.04297065437983584,0.5521402074782559
65,65,0.2098,0.7218,0.9484,0.04381780257424203,0.5510268609771175
66,66,0.2059,0.7207,0.9482,0.04698789888428066,0.5540282034931546
67,67,0.2027,0.7245,0.9487,0.046437823042855264,0.5512623193085077
68,68,0.1976,0.7211,0.9486,0.04711837021620423,0.5508764811500387
69,69,0.1951,0.7225,0.9488,0.04654991151080908,0.5519860984261945
70,70,0.1925,0.7261,0.9494,0.04409542669879366,0.5511325822418608
71,71,0.1903,0.725,0.9491,0.04388022563585153,0.5549230896002512
72,72,0.1889,0.7209,0.9489,0.04577631060286565,0.5530220977471941
73,73,0.1859,0.7238,0.949,0.04279957451782479,0.5521335737245098
74,74,0.1799,0.7262,0.9492,0.04092535450972141,0.5511128692551925
75,75,0.1771,0.7298,0.9497,0.04749147595460283,0.5537506360904004
76,76,0.1744,0.7287,0.9499,0.05067586964404403,0.5556246717584175
77,77,0.1707,0.7266,0.95,0.04579451560764534,0.5510331154158148
78,78,0.1695,0.7272,0.9498,0.04631761313007144,0.5549133552222033
