step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4417,0.1139,0.4904,0.07690034349654488,0.5203100551768562
1,1,1.3242,0.521,0.869,0.07080786352005612,0.5171347603470667
2,2,1.1317,0.5761,0.8913,0.06685664378283974,0.5295671003794009
3,3,1.0213,0.6019,0.9035,0.06378098429866504,0.5243773510869477
4,4,0.9332,0.626,0.912,0.06453734300560361,0.5252005799524476
5,5,0.8694,0.6391,0.9176,0.06178598786873712,0.5278417612502385
6,6,0.8152,0.6502,0.9222,0.06754374631235824,0.5305233625559792
7,7,0.7754,0.653,0.9261,0.06457218099956911,0.5285896568564002
8,8,0.7383,0.661,0.9287,0.05881793702166776,0.5343503560066956
9,9,0.7037,0.6695,0.9316,0.057626457634564816,0.5308575035050747
10,10,0.6746,0.6747,0.9331,0.05526375996280806,0.5324112345962148
11,11,0.6464,0.6852,0.9353,0.056989876012706546,0.5341052495703371
12,12,0.6217,0.6842,0.9364,0.05605288058827786,0.5342346696963934
13,13,0.5983,0.6928,0.9379,0.05331170315382736,0.5300042460150466
14,14,0.5785,0.693,0.9388,0.053596255277768026,0.5311802160847154
15,15,0.5585,0.6951,0.9401,0.05002227311975018,0.529369445649984
16,16,0.5408,0.6968,0.9406,0.05236805407572916,0.5295894789648917
17,17,0.5248,0.7022,0.9413,0.048005795332596045,0.5305142195323859
18,18,0.5077,0.7046,0.9424,0.052306788196057115,0.5309987661517379
19,19,0.4969,0.7047,0.9424,0.04963665033680575,0.5293882041078931
20,20,0.4805,0.7097,0.9438,0.047899200517765576,0.5282711023490454
21,21,0.4679,0.7112,0.9441,0.04805701113493147,0.5276410317077109
22,22,0.4521,0.7086,0.9447,0.051480946831493804,0.528681440105108
23,23,0.4441,0.7149,0.9455,0.05184327081421013,0.5295935349459465
24,24,0.4309,0.7172,0.9456,0.04880104362963966,0.532350394539836
25,25,0.4202,0.7181,0.9461,0.05268323914919673,0.5288779010686359
26,26,0.4094,0.7206,0.9467,0.0510666072147483,0.5331059735772894
27,27,0.4021,0.722,0.947,0.04640763768280941,0.528679162963228
28,28,0.3903,0.7242,0.9474,0.04608483329370176,0.5301203717726752
29,29,0.6838,0.7216,0.9472,0.04609195709518308,0.5291899666831382
30,30,0.446,0.6898,0.9425,0.04996844001213358,0.5313376349674536
31,31,0.4219,0.6932,0.9424,0.05156426760490088,0.5379233032039847
32,32,0.4098,0.6893,0.9417,0.053103613859190026,0.5422181555835931
33,33,0.3989,0.6962,0.9428,0.04742579709666511,0.5411063644701618
34,34,0.3923,0.6961,0.9433,0.048409928385853965,0.5449083996767309
35,35,0.3811,0.699,0.9436,0.04568615677489747,0.5424068595262103
36,36,0.3768,0.7008,0.9437,0.048272383542050476,0.5430909369499257
37,37,0.3661,0.7015,0.9441,0.04960915893381635,0.5395656788588136
38,38,0.357,0.7041,0.944,0.05338412085026833,0.547664170966315
39,39,0.3524,0.7036,0.9448,0.05253759921157346,0.5456755687787421
40,40,0.3437,0.7052,0.9448,0.05343185005564086,0.5447298921330603
41,41,0.3368,0.7061,0.9451,0.04321240820739501,0.5482147495878809
42,42,0.3322,0.7083,0.9452,0.049122416587381784,0.5488269748078979
43,43,0.3246,0.7081,0.9457,0.04727872241680708,0.5469136616592102
44,44,0.3207,0.7091,0.946,0.05483367258945948,0.5511459925613789
45,45,0.3139,0.7098,0.9458,0.04886188167477542,0.5497508776198373
46,46,0.3105,0.7089,0.9458,0.050079495503913884,0.552471539778667
47,47,0.3017,0.7133,0.9466,0.0487695420112343,0.5511300387820228
48,48,0.2953,0.7141,0.9467,0.05398563064949699,0.5543112702252821
49,49,0.2915,0.7105,0.9462,0.04617887070944774,0.5518178440957616
50,50,0.2868,0.7137,0.9467,0.0537906288373452,0.556502442555423
51,51,0.2813,0.715,0.947,0.05364205638330327,0.5565800289741344
52,52,0.2792,0.7138,0.9469,0.0534142629353124,0.557139084073251
53,53,0.2742,0.7136,0.9472,0.04743050170670861,0.5529890566351305
54,54,0.271,0.7147,0.9475,0.05014046375751253,0.5551309459526601
55,55,0.2628,0.7189,0.9477,0.04639528410432885,0.5531089219438149
56,56,0.2602,0.7183,0.9481,0.05331166253206699,0.5571769039882941
57,57,0.2548,0.7213,0.9481,0.04510859809341854,0.5590899050451028
58,58,0.2524,0.719,0.9481,0.04603080826539583,0.5552669699949563
59,59,0.2434,0.7212,0.9488,0.04725406926448764,0.5547932243498929
60,60,0.2397,0.7177,0.9484,0.0490936436364506,0.5569013726672273
61,61,0.2379,0.7242,0.949,0.051579483524476805,0.5623021509644066
62,62,0.2322,0.725,0.949,0.04666432972142998,0.5539882515101007
63,63,0.2295,0.7245,0.9496,0.0513992278449014,0.5618455487551255
64,64,0.2269,0.7254,0.9494,0.04823826651277799,0.5572616836370057
65,65,0.2212,0.7262,0.9497,0.04922493485751241,0.5606548451931004
66,66,0.221,0.7264,0.9497,0.04790173738936265,0.5599382330744552
67,67,0.2169,0.722,0.9498,0.04694993439488716,0.5595466664862437
68,68,0.2122,0.7229,0.9497,0.04457837536097302,0.5616352916705549
69,69,0.2084,0.7242,0.9495,0.05057840368525638,0.5616150864851283
70,70,0.2068,0.7308,0.9502,0.049558150103569606,0.5597674093038139
71,71,0.2023,0.7256,0.9503,0.05252879600863312,0.5655333442561471
72,72,0.1996,0.7287,0.9504,0.04947108758213414,0.5590744888442363
73,73,0.1945,0.73,0.9508,0.046630036386403145,0.5629413937044718
74,74,0.1933,0.7281,0.9505,0.051965163370104955,0.5649215757474814
75,75,0.1886,0.7283,0.9504,0.052105020379297956,0.5648825467136696
76,76,0.1896,0.7268,0.9507,0.04800859785275545,0.5602701210243095
77,77,0.1811,0.7284,0.9511,0.05667301056290281,0.5663381642172616
78,78,0.1815,0.7297,0.9506,0.05601902320312695,0.5699294230758595
79,79,0.1783,0.7346,0.9511,0.0491439023510545,0.5672410943067291
80,80,0.1756,0.729,0.9511,0.05047509110603067,0.5655580632516041
81,81,0.1737,0.7305,0.9511,0.04801888367481225,0.5691788910773272
82,82,0.1695,0.7301,0.9512,0.05189979519902001,0.5704244977781432
83,83,0.1689,0.7322,0.9511,0.050765932974711235,0.5687634026911804
84,84,0.1628,0.7338,0.9516,0.04823327282147637,0.5683120091039964
85,85,0.162,0.7338,0.9513,0.054039543956052156,0.5663186603162542
86,86,0.1587,0.7319,0.9521,0.049339328442341755,0.5652237387464534
87,87,0.1589,0.7364,0.952,0.047375609133969744,0.5664226523325416
88,88,0.1553,0.7329,0.9519,0.049632672280930254,0.5665115914090466
89,89,0.1527,0.7365,0.9521,0.05040558442910356,0.572636229504868
90,90,0.151,0.7367,0.9522,0.053571393562763504,0.5697751566120105
91,91,0.1477,0.7334,0.9525,0.04710585838842371,0.5660435916369311
92,92,0.1465,0.739,0.9526,0.0425678317878261,0.5684003147268891
93,93,0.1423,0.7357,0.9522,0.050588334337676066,0.5679315073504937
