step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.3128,0.0545,0.4232,0.0011581195535005995,0.18649180178024763
1,1,1.9402,0.4036,0.811,0.0030112059069781084,0.38384495951665065
2,2,1.8451,0.4671,0.8917,0.022523507353614105,0.3948647383586343
3,3,2.3235,0.4853,0.8981,0.02075925979462877,0.39037373748851095
4,4,2.4017,0.4509,0.9043,0.012624411225447791,0.4010328839931779
5,5,2.9002,0.4515,0.9042,0.002117290057302233,0.36977612231982326
6,6,2.6832,0.4927,0.9143,0.0021552776662660668,0.39008556654296567
7,7,2.905,0.5134,0.9174,0.0016414663629104541,0.37145873737452917
8,8,2.3173,0.564,0.9283,0.002649465620502103,0.37398647721294653
9,9,2.5098,0.5754,0.9278,0.001919403799887686,0.3225720112530116
10,10,2.7927,0.5739,0.9298,0.0020093958352040203,0.319051830326335
11,11,3.1872,0.5737,0.9272,0.0012473245565670732,0.3116993464754937
12,12,2.5608,0.6003,0.9292,0.006211846452695618,0.294978840819131
13,13,2.8967,0.6087,0.9306,0.006300391148095204,0.3063510727190294
14,14,2.1239,0.6542,0.9415,0.0033747193141660304,0.29516598476095296
15,15,1.911,0.6792,0.9468,0.0025784300832040123,0.2990314638501885
16,16,1.7325,0.7083,0.9518,0.002979203850319276,0.32635128721149215
17,17,1.5461,0.7306,0.956,0.0027450111522117743,0.30596352984560604
18,18,1.3791,0.7515,0.959,0.0024173994873908076,0.3414055238191266
19,19,1.0257,0.7767,0.9694,0.0024342515264875386,0.3719417854673411
20,20,1.1559,0.7719,0.9688,0.002545547646792053,0.38106170526239824
21,21,1.0463,0.7867,0.9706,0.002803832247181916,0.3724521368049913
22,22,1.0755,0.7915,0.9709,0.004589895943066531,0.39289411663851975
23,23,1.1105,0.7934,0.9701,0.004675712023846186,0.3872791317381698
24,24,1.0528,0.8052,0.9703,0.004070353050612779,0.36571131067180046
25,25,1.1142,0.8047,0.9663,0.004867338432863898,0.3734353345016611
26,26,1.0118,0.8168,0.9675,0.001042034750186848,0.3762040166038852
27,27,0.9696,0.8227,0.9696,0.0007790447752111843,0.37173763773391044
28,28,0.9187,0.8233,0.9704,0.0012143000387312064,0.3874532239221281
29,29,1.2481,0.8275,0.9707,0.0009559021059146689,0.3892996502171308
30,30,1.1161,0.8309,0.97,0.0011662609970720323,0.4163890898788589
31,31,1.146,0.8306,0.9695,0.0029655275958172613,0.4762241195246184
32,32,1.0213,0.8262,0.9675,0.0012685078397807103,0.4128604767458166
33,33,1.0614,0.8164,0.9665,0.0015511821993191494,0.3638078993662284
34,34,1.0113,0.8291,0.9696,0.00453377714864573,0.44822450386299806
35,35,1.0145,0.8309,0.9696,0.009556484570691604,0.4866346940571479
36,36,0.9948,0.8234,0.9697,0.01400916571357303,0.5235330429184176
37,37,0.8587,0.829,0.9737,0.024541651077507366,0.5934494455549694
38,38,0.7965,0.8363,0.9748,0.032807236839045836,0.6140395681305175
39,39,0.8774,0.8333,0.9744,0.03680560581992968,0.6063850979579374
40,40,0.7577,0.8501,0.9768,0.037510717457885916,0.5867540616453305
41,41,0.7617,0.8487,0.9769,0.06331461060297384,0.6244821875053621
42,42,0.686,0.8578,0.9802,0.06343961201880782,0.6186098512968512
43,43,0.6194,0.8652,0.9824,0.06518227490522358,0.6233278327704207
44,44,0.6333,0.8669,0.9822,0.0775188846910523,0.6477148164809936
45,45,0.6672,0.8613,0.9812,0.08291159088197482,0.6468720941334104
46,46,0.5986,0.8691,0.9817,0.094686985518891,0.6615748756180904
47,47,0.581,0.8753,0.9819,0.10685970142066038,0.6620121776450151
48,48,0.5848,0.8748,0.9818,0.10262286532939151,0.6635135044961906
49,49,0.6208,0.871,0.981,0.12018796292994224,0.6847570729793893
50,50,0.5656,0.8771,0.9817,0.12016597910046968,0.6826311539212834
51,51,0.483,0.8808,0.9836,0.15731379365608406,0.7178406557654243
52,52,0.4752,0.8837,0.9842,0.16202488921014813,0.7291399130947849
53,53,0.5211,0.8828,0.9833,0.154756472725143,0.7246874418696363
54,54,0.5163,0.8734,0.9821,0.1669578815676944,0.7456887881349386
55,55,0.5197,0.8785,0.9821,0.17123935667359197,0.7483836869567128
56,56,0.4525,0.8854,0.9836,0.16012742821506015,0.7539401013666995
57,57,0.4715,0.8877,0.983,0.16697689216944928,0.75772874644316
58,58,0.4862,0.8889,0.9834,0.16944257406057847,0.7553155654244225
59,59,0.4901,0.8867,0.9842,0.1606036097323952,0.7409994326672569
60,60,0.3916,0.8904,0.9831,0.1641806365256323,0.7482789126382284
61,61,0.3846,0.8948,0.9838,0.16865756503659923,0.7602016748234689
62,62,0.3762,0.8939,0.9835,0.1591145732244364,0.7529954962439048
63,63,0.3855,0.894,0.9835,0.12885009355613475,0.728415563253643
64,64,0.3797,0.8971,0.984,0.14018426446133533,0.7396902732182826
65,65,0.3471,0.8957,0.985,0.15564680117570873,0.7588974249372539
66,66,0.3567,0.8949,0.9843,0.16102836437861281,0.7629800280523823
67,67,0.3796,0.8964,0.9845,0.1568402997661577,0.7538060747312023
68,68,0.3613,0.8983,0.9856,0.16108241791301436,0.7603753030644375
69,69,0.3416,0.8988,0.9857,0.174744727591314,0.764329402927708
70,70,0.3216,0.8988,0.9859,0.164104955220933,0.7532700067147076
71,71,0.3145,0.8979,0.9858,0.18321036180670752,0.763156102558948
72,72,0.3262,0.8972,0.9859,0.18327507364069168,0.7664523917599504
73,73,0.3121,0.8986,0.9861,0.16757268781368118,0.7571643350674477
74,74,0.2862,0.9017,0.9872,0.17101845356886244,0.7531129100334697
75,75,0.2888,0.8994,0.987,0.18125325142678814,0.7592583528203884
76,76,0.3102,0.8985,0.986,0.18296524725348295,0.7554531758201699
77,77,0.2997,0.9002,0.9862,0.17630903765916342,0.7505761211317785
78,78,0.4316,0.8946,0.9817,0.19687793837005269,0.76904595112566
79,79,0.474,0.8909,0.9809,0.18255874235023944,0.762643416598257
80,80,0.4888,0.8877,0.9804,0.1835105194759924,0.7685221610428512
