step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.3128,0.0545,0.4232,0.0017719935663702644,0.21634187665473512
1,1,1.916,0.2915,0.7489,0.03572972646750849,0.6975153039499118
2,2,1.2241,0.592,0.8865,0.01925745864440475,0.525080737071971
3,3,1.114,0.6383,0.9126,0.01907703334567319,0.4330503170121191
4,4,1.0912,0.6483,0.9301,0.019582210251688267,0.3923792925463649
5,5,1.093,0.6526,0.9372,0.01650701281007064,0.40116175904134216
6,6,1.1163,0.6777,0.9429,0.012667927549823757,0.4011352515474458
7,7,1.3019,0.6507,0.9413,0.011408238698636537,0.36790840902654337
8,8,1.2826,0.6683,0.9447,0.009034996043536518,0.34686173231137596
9,9,1.1854,0.6851,0.9478,0.006775597949050013,0.3736490789019967
10,10,1.0916,0.7031,0.953,0.004095074670046091,0.35850815177247464
11,11,1.0087,0.7277,0.9559,0.003001777014301885,0.2881171448682862
12,12,1.0275,0.7324,0.9577,0.0033627972210443914,0.31988338280788803
13,13,1.0737,0.753,0.9596,0.004483917187455112,0.3288103746005151
14,14,1.0906,0.7397,0.9567,0.006604344405722511,0.35615204796085975
15,15,0.9665,0.7528,0.9605,0.0058571561396910865,0.3395404146964313
16,16,0.9746,0.7684,0.9606,0.0050078017214028525,0.33116246380598136
17,17,0.9493,0.7781,0.9629,0.004721545719859333,0.33043443136902295
18,18,0.9005,0.7858,0.9626,0.004364587822796064,0.34529893683799256
19,19,0.912,0.7962,0.9625,0.0052705310588877455,0.37929420333068237
20,20,0.915,0.7987,0.9645,0.005408144238770113,0.3773601420263348
21,21,0.902,0.797,0.9639,0.006492353761043311,0.3788702277291956
22,22,0.9411,0.8034,0.965,0.00634620258607515,0.3773578288262655
23,23,0.8429,0.8111,0.9666,0.005735391931821206,0.3684487071007161
24,24,0.8401,0.8166,0.9676,0.005230788270353201,0.36330224667494226
25,25,0.7602,0.8264,0.9687,0.0047828661328842845,0.3572118908469597
26,26,0.7897,0.8284,0.9686,0.004924625027571796,0.36223781520157117
27,27,0.7705,0.8331,0.9689,0.004318299840011431,0.3387186781792492
28,28,0.7266,0.8424,0.9714,0.00444879493840062,0.3404236360528293
29,29,0.973,0.8476,0.9736,0.005337183098242512,0.361718172088205
30,30,0.9606,0.8501,0.9748,0.006169231074343152,0.3579745693917141
31,31,0.926,0.8499,0.9744,0.00645323021301623,0.36983884811125545
32,32,0.9427,0.8494,0.9748,0.004838860955605433,0.3689754095538543
33,33,0.9221,0.8494,0.9755,0.004306120685424073,0.37304255909786743
34,34,0.8866,0.8465,0.9749,0.00287126464057381,0.3545605232283638
35,35,0.9248,0.8462,0.9748,0.003076011712940385,0.3808213953248014
36,36,0.8224,0.8484,0.9763,0.0022458832102063486,0.3673595557480297
37,37,0.8295,0.8555,0.9775,0.006042870364679099,0.4007389262350925
38,38,0.7631,0.8556,0.9787,0.007539345840095194,0.4231090873475122
39,39,0.7683,0.8597,0.9793,0.007618022122273232,0.4305948731844886
40,40,0.8015,0.8541,0.9781,0.007999984521336682,0.43226105338903253
41,41,0.8153,0.8498,0.9772,0.011031082964506394,0.44607948551814947
42,42,0.8442,0.853,0.9782,0.014876773369044034,0.5015408560186786
43,43,0.8055,0.86,0.9808,0.010285795743427377,0.4816647606392937
44,44,0.7278,0.8681,0.9813,0.011126840231605466,0.49096745993913615
45,45,0.6846,0.869,0.9815,0.010249089755104565,0.4907785771431686
46,46,0.706,0.8711,0.9814,0.01775482317116152,0.5483701397809084
47,47,0.7081,0.8694,0.9818,0.022309630479237237,0.5826047570246491
48,48,0.679,0.8672,0.9816,0.02502590426432875,0.5908666738046572
49,49,0.7261,0.864,0.9805,0.021732799099644987,0.5740965548559251
50,50,0.6882,0.8684,0.98,0.02592582416376778,0.5865000157198835
51,51,0.6342,0.8731,0.9818,0.03153458035507018,0.6025981697473016
52,52,0.576,0.8664,0.9818,0.03505808223595487,0.6184119438747568
53,53,0.5601,0.8739,0.9828,0.03209068194938796,0.601584810562077
54,54,0.5696,0.8806,0.9831,0.03132036278546564,0.6063581506270251
55,55,0.5812,0.8835,0.9829,0.037380885172674544,0.6272858879583953
56,56,0.5925,0.8795,0.9826,0.033821383521890805,0.6155887534134937
57,57,0.5851,0.8793,0.9825,0.042570347388365,0.6412457126227651
58,58,0.5832,0.8804,0.9827,0.03553061014830871,0.6305159336295721
59,59,0.5045,0.8897,0.9843,0.035860411335132805,0.619026199103413
60,60,0.4893,0.8918,0.9844,0.031634368730391084,0.6128988760416649
61,61,0.4849,0.894,0.9845,0.030799651984005427,0.614062668433799
62,62,0.4699,0.8943,0.9852,0.03212489043504149,0.6161221973503105
63,63,0.3895,0.8945,0.9856,0.04054638943204015,0.6348396436903628
64,64,0.4296,0.8953,0.985,0.0430001471921827,0.6407432993129696
65,65,0.4523,0.891,0.9845,0.054617889838646426,0.6686659588163292
66,66,0.4476,0.8915,0.9848,0.060412835962735244,0.6815372053770177
67,67,0.4322,0.885,0.9844,0.061054903410280005,0.6720389402739805
68,68,0.4297,0.8877,0.9849,0.052732859582440554,0.6509984428459006
69,69,0.4352,0.8852,0.9844,0.04440884019840406,0.6324011987742839
70,70,0.5167,0.8819,0.9825,0.04866825221851493,0.6418729999696988
71,71,0.4784,0.8766,0.9831,0.050055507379542966,0.6341184168982175
72,72,0.5165,0.8709,0.9817,0.04882086329641996,0.6305837177117788
73,73,0.5575,0.8673,0.9815,0.04356899977466478,0.6259360652764218
74,74,0.5567,0.8645,0.981,0.05241204465006474,0.6458477450566186
75,75,0.5104,0.8699,0.9799,0.056484439632364325,0.6529473963863894
76,76,0.4716,0.8751,0.9805,0.06849622435109318,0.6713957695517344
77,77,0.4899,0.8803,0.9804,0.06200004257433489,0.6633250421515332
78,78,0.5215,0.8803,0.9787,0.06293069948535375,0.6648600378086718
79,79,0.5393,0.8793,0.979,0.06587999650447472,0.6732100562757928
80,80,0.4632,0.8798,0.9796,0.06861356697360439,0.6861813236787083
81,81,0.4771,0.8838,0.9799,0.06698380259396067,0.687825461809551
82,82,0.4928,0.8831,0.9792,0.06466940476224367,0.6932309138070806
83,83,0.481,0.8851,0.9798,0.06092022727376793,0.6812212776153775
84,84,0.4944,0.8842,0.98,0.05857828635539597,0.6760641683891405
85,85,0.413,0.8836,0.9801,0.0744221987957404,0.6944247550730854
86,86,0.4532,0.8856,0.9795,0.05840482205667924,0.6813481981062383
87,87,0.4557,0.8852,0.9796,0.06432890996212265,0.6876328325099887
88,88,0.4616,0.8884,0.98,0.05717716709102217,0.677382616117501
89,89,0.4266,0.8894,0.9804,0.06397176957810724,0.6842782620228456
90,90,0.4464,0.8899,0.9806,0.06005236869411126,0.6794162899752864
91,91,0.4521,0.8881,0.9814,0.06407093952208091,0.6809294405145897
92,92,0.4559,0.8892,0.9811,0.06757963199459267,0.6899401159383562
93,93,0.4625,0.8879,0.9804,0.07358049503912475,0.7017537379337551
94,94,0.4457,0.8887,0.981,0.06558407850345865,0.6963786162957762
95,95,0.4246,0.8912,0.9823,0.07002755555870616,0.6950446799610446
96,96,0.3422,0.8927,0.9846,0.06768280519380307,0.68759416772309
97,97,0.3454,0.8913,0.9848,0.0678134190205626,0.6850672484586118
98,98,0.3949,0.8904,0.9842,0.07182329717834578,0.6818173249869557
99,99,0.3757,0.8941,0.9845,0.06951174511430741,0.6860505457254157
100,100,0.3707,0.894,0.9843,0.08138519980541777,0.7019693532488602
101,101,0.3551,0.8934,0.9841,0.08563003160386301,0.7113921436180106
102,102,0.3501,0.896,0.9843,0.07861373121830138,0.7022376843784047
103,103,0.3457,0.8936,0.9846,0.0806231107034283,0.7017256656375085
104,104,0.3157,0.8962,0.9846,0.09278729006132402,0.7174860724769128
105,105,0.3166,0.8967,0.9849,0.09399305831489091,0.7177109327850718
106,106,0.3317,0.899,0.9849,0.08053277424725852,0.7021817687840255
107,107,0.3398,0.8963,0.9847,0.08459485444277501,0.7066187605738409
108,108,0.3389,0.8919,0.9847,0.09354587066987366,0.7221325665658989
109,109,0.3429,0.8938,0.9849,0.09417899440732902,0.7182707458522254
110,110,0.3347,0.8988,0.9861,0.08301009154562214,0.710031362258608
111,111,0.3444,0.8994,0.986,0.08827505845450664,0.7224652789312196
