step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4417,0.1139,0.4904,0.0800629198837797,0.5176166227634665
1,1,1.3188,0.5221,0.8697,0.07164649407677298,0.5244989397666224
2,2,1.1225,0.5808,0.8925,0.06384782472094502,0.5243737266214484
3,3,1.0096,0.607,0.9046,0.06723081146610868,0.5270481859603696
4,4,0.9273,0.6297,0.9138,0.06242575068929862,0.5310506982271531
5,5,0.862,0.6436,0.9192,0.056721686388948256,0.5309799812915519
6,6,0.8086,0.6497,0.9244,0.06476519987482789,0.5308999058607634
7,7,0.7659,0.6567,0.9275,0.06409004823569071,0.5327069021817168
8,8,0.7242,0.6664,0.9306,0.06254102696407667,0.5367833820838112
9,9,0.6921,0.6731,0.9334,0.05930406438594028,0.531743219985154
10,10,0.6614,0.6792,0.9351,0.05594026115328559,0.537757094054328
11,11,0.639,0.6798,0.9364,0.05769328375537,0.5356923880341921
12,12,0.607,0.6882,0.9391,0.05160507971219076,0.5298302607064858
13,13,0.5869,0.6925,0.9398,0.052530769151764564,0.5309301212266073
14,14,0.568,0.6947,0.9405,0.05022524035901631,0.5254233564456984
15,15,0.549,0.6986,0.9416,0.05100118367467824,0.5277377186849339
16,16,0.5325,0.7043,0.9422,0.057970196506454845,0.5345615373284861
17,17,0.5174,0.7028,0.9434,0.05121131508535164,0.5400346622749831
18,18,0.5039,0.7047,0.9439,0.04837188425568025,0.5329917574414129
19,19,0.486,0.7091,0.9442,0.05140723538308611,0.5347455599216454
20,20,0.4725,0.7149,0.9447,0.05059235000463883,0.5356152529368603
21,21,0.4628,0.7145,0.9456,0.049311678138526945,0.535941863263425
22,22,0.4497,0.7141,0.9457,0.05040133291848975,0.5283356677569507
23,23,0.4388,0.7138,0.9459,0.05016780535335419,0.5375202814145169
24,24,0.4262,0.7137,0.9464,0.051452666987595694,0.5360190083067334
25,25,0.4182,0.7193,0.9471,0.05108171841059164,0.5454625116977811
26,26,0.4127,0.7192,0.9469,0.05046574844983574,0.5339180717587714
27,27,0.398,0.7226,0.9477,0.047131454148847084,0.5365987269951731
28,28,0.3853,0.723,0.9485,0.0481882026444514,0.5370485594474428
29,29,0.6662,0.7254,0.9486,0.05060153685094534,0.5389776485562819
30,30,0.433,0.6913,0.9435,0.05551939448523013,0.5433276088683974
31,31,0.4186,0.6957,0.9437,0.04724803628352667,0.54847144485923
