step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4417,0.1139,0.4904,0.07369084310001965,0.5193544606910757
1,1,1.3172,0.528,0.8702,0.07562548195772581,0.522919600518828
2,2,1.1308,0.5755,0.8921,0.06894135211274804,0.5274590333353859
3,3,1.0138,0.6081,0.9048,0.06006661295898767,0.5246410053684061
4,4,0.9394,0.6223,0.9128,0.05908839906052375,0.5228185776313375
5,5,0.8755,0.64,0.9191,0.055369109405479074,0.5250106600561325
6,6,0.8205,0.6502,0.9238,0.05717578786807053,0.5264048834462267
7,7,0.7774,0.657,0.9268,0.055473963490260264,0.5270001872875429
8,8,0.7402,0.6646,0.9301,0.055632265055182546,0.5272948146699382
9,9,0.7041,0.6712,0.9329,0.061540200975161115,0.5349055394390846
10,10,0.6736,0.6776,0.9348,0.05199798557945701,0.529296696853159
11,11,0.6451,0.6833,0.9369,0.048902735559227715,0.5275578931746362
12,12,0.6211,0.6878,0.9381,0.057184531863543164,0.5291141146116538
13,13,0.5968,0.6933,0.9395,0.04633862775587311,0.5259926094447757
14,14,0.5788,0.6954,0.9409,0.05364335642865555,0.5318872202187109
15,15,0.5604,0.6973,0.9415,0.051327155293162674,0.5249501143426925
16,16,0.5384,0.7026,0.9427,0.05306100917293645,0.5306747954823376
17,17,0.5211,0.7047,0.9439,0.05595086692766205,0.526409118265221
18,18,0.5035,0.7108,0.9445,0.04965570007428351,0.5281478070386225
19,19,0.4935,0.711,0.9456,0.049410490420876925,0.5237438042570828
20,20,0.4775,0.7111,0.9459,0.04855697096827368,0.5262459696228619
21,21,0.4665,0.7151,0.9467,0.04711648008972201,0.5244872829363579
22,22,0.4555,0.7175,0.9474,0.04799292933810705,0.5231053989131551
23,23,0.4455,0.7154,0.9478,0.048070250504334736,0.5252141348093219
24,24,0.4356,0.7198,0.948,0.048539070335811035,0.5273844006234077
25,25,0.4263,0.7225,0.9488,0.04670001158220737,0.5286751650704252
26,26,0.4176,0.727,0.9493,0.05121791515256092,0.5284432854294044
27,27,0.4105,0.7249,0.9495,0.04614765984384006,0.5296960197327121
28,28,0.3971,0.7281,0.9502,0.050572189968900075,0.5304214369299435
29,29,0.6998,0.7289,0.9496,0.04426012554363209,0.5271895007032104
30,30,0.456,0.6957,0.9446,0.04641462518526006,0.5337773669825728
31,31,0.4365,0.6986,0.9452,0.046877610395312116,0.5352242018887827
32,32,0.4332,0.6977,0.9452,0.04159952893306414,0.5371225864090021
33,33,0.4102,0.6987,0.9453,0.04568853043323562,0.5405290353159433
34,34,0.4101,0.7011,0.946,0.05218347389750831,0.5411727382358162
35,35,0.4003,0.7026,0.9465,0.04626933996111924,0.5356833899130162
36,36,0.3877,0.7024,0.9462,0.05049092521990401,0.5466212230491111
37,37,0.3868,0.7005,0.9459,0.04551558493632149,0.5432905629930431
38,38,0.373,0.7044,0.9469,0.042801986954192794,0.5476781401595728
39,39,0.3685,0.7056,0.9471,0.04730266410908225,0.5506713127450488
40,40,0.3635,0.7085,0.9468,0.05046684524794455,0.5515058529777285
41,41,0.3605,0.7076,0.9471,0.052865629673875016,0.5492768982812636
42,42,0.3495,0.7101,0.9477,0.0464120533307792,0.5541732653623461
43,43,0.3392,0.7108,0.9475,0.04656079601431683,0.5541052585540591
44,44,0.3429,0.7092,0.9478,0.05328468142318612,0.5561236734829162
45,45,0.3375,0.7106,0.9478,0.04663619486507146,0.5503401675102636
