step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4417,0.1139,0.4904,0.07421753034093688,0.5172451656637009
1,1,1.3227,0.523,0.869,0.06871214726011725,0.5181264807023311
2,2,1.1273,0.5815,0.8919,0.06364111601116293,0.5196940989155905
3,3,1.0076,0.6123,0.905,0.058196097138807204,0.5211476360265971
4,4,0.9279,0.6272,0.9131,0.06647772964075203,0.5256671663457131
5,5,0.8671,0.6404,0.9184,0.07005708587904079,0.5252279436958274
6,6,0.811,0.6513,0.9239,0.06406219763278675,0.5306332820041346
7,7,0.7657,0.6616,0.9274,0.06466729587434884,0.5312661209357152
8,8,0.7294,0.6663,0.93,0.0620863578538849,0.5318580808959192
9,9,0.6979,0.6696,0.9319,0.06421293190534227,0.5341523487047979
10,10,0.6673,0.6755,0.9342,0.05680334805299625,0.530684489930563
11,11,0.6386,0.6831,0.9361,0.06137026971341085,0.5318970126486292
12,12,0.6132,0.688,0.9375,0.05289466206494998,0.5317928741643105
13,13,0.5918,0.691,0.9387,0.05590917879155799,0.5302983045001404
14,14,0.5689,0.6968,0.9399,0.05292888923403419,0.5335046144901181
15,15,0.5498,0.698,0.9408,0.05459979679909514,0.5308887354278792
16,16,0.5323,0.7022,0.9419,0.04989747686199516,0.5304617967924493
17,17,0.5177,0.704,0.9426,0.05523946823445484,0.5318541689351453
18,18,0.5014,0.7043,0.9432,0.05040753181304483,0.5281414912388663
19,19,0.4842,0.711,0.9442,0.049095921617525955,0.5285548504007117
20,20,0.4698,0.7119,0.9447,0.048629535394387635,0.5305516466644189
21,21,0.4564,0.712,0.9452,0.050025948032041044,0.5361238221532834
22,22,0.4484,0.7111,0.9456,0.05011460921322702,0.5343826829624877
23,23,0.4329,0.7177,0.946,0.046598050837885485,0.5329198575108821
24,24,0.4214,0.7134,0.9463,0.048974539637784455,0.534742193583851
25,25,0.4115,0.721,0.9472,0.04614010716413861,0.5267519818172002
26,26,0.401,0.7233,0.948,0.044366979509329864,0.5272523563788897
27,27,0.3944,0.7274,0.9479,0.04600045449258666,0.5280712713285614
28,28,0.3794,0.7226,0.9478,0.04578840113036835,0.5268820086348192
29,29,0.6697,0.7245,0.9483,0.04542014330457721,0.5249580105087047
30,30,0.4312,0.6908,0.9432,0.04743337939436868,0.5380385535570319
31,31,0.4097,0.6933,0.9437,0.05142562023498588,0.5404698873423074
32,32,0.3998,0.6941,0.9439,0.04965168213450742,0.5440346806264974
33,33,0.3872,0.6977,0.9442,0.04865950922111501,0.5489665698484522
34,34,0.3815,0.6962,0.9443,0.04916508880299927,0.550163431770358
35,35,0.37,0.7048,0.9445,0.05402492343504645,0.5521162033199828
36,36,0.3668,0.7024,0.9444,0.05042934486013072,0.5512316078010555
37,37,0.3552,0.7048,0.9453,0.052562577037174346,0.5518884732303958
38,38,0.3469,0.7096,0.9455,0.048681165125591994,0.5536440816203809
39,39,0.34,0.7101,0.9458,0.05154797409971768,0.5517636722653155
40,40,0.3286,0.7107,0.9461,0.046468823300788026,0.5584153594823841
41,41,0.3252,0.7121,0.9461,0.055204306735877784,0.55770827272521
42,42,0.3209,0.7117,0.9465,0.04843360132935582,0.5594351228106174
43,43,0.3136,0.7158,0.9468,0.05034222279894209,0.5621063734488445
44,44,0.3081,0.7161,0.9474,0.05546257737872512,0.5635408507093048
45,45,0.3018,0.7093,0.9466,0.0492263269742503,0.5601234737220738
46,46,0.2923,0.7195,0.9471,0.052206575677826245,0.562726542059033
47,47,0.2893,0.7195,0.948,0.049704284408894614,0.562913409295523
48,48,0.2811,0.7216,0.9483,0.046726148496238226,0.5651391710805077
49,49,0.2817,0.7191,0.9482,0.05063329972747682,0.5660078679249675
50,50,0.2729,0.7245,0.948,0.05021781170185656,0.5629626683399392
51,51,0.2677,0.7236,0.9481,0.04660457523557093,0.5632792965642497
52,52,0.2666,0.716,0.9477,0.05301425770482253,0.5648457048157342
53,53,0.2579,0.7223,0.9487,0.04766045805410195,0.5666477852511418
54,54,0.2545,0.7245,0.9491,0.04924470861997478,0.5675245893640106
55,55,0.2531,0.7193,0.9488,0.05221947923133905,0.5681505361027239
56,56,0.2444,0.7248,0.9493,0.04920031309801378,0.5670232345482741
57,57,0.2394,0.7254,0.9494,0.04794522927030403,0.5662865158337445
58,58,0.235,0.7259,0.9496,0.05098310350301752,0.5661137124539476
59,59,0.2323,0.7293,0.9496,0.04795107784940016,0.5682778538197564
60,60,0.2297,0.7285,0.9498,0.04835021930540803,0.5695776233027232
61,61,0.2253,0.7284,0.9498,0.04684764645516752,0.5675744160954436
62,62,0.219,0.7306,0.9503,0.04940127164356908,0.5687571437239923
63,63,0.2149,0.7309,0.9503,0.054328337379896396,0.5695880178364627
64,64,0.2113,0.7304,0.9504,0.052844944686421196,0.5711025245692304
65,65,0.2106,0.7298,0.9505,0.04963466245523258,0.5724768566830287
66,66,0.204,0.7292,0.9507,0.053061135761060474,0.574971070738662
67,67,0.201,0.7346,0.9514,0.05356878820961257,0.574945510976373
68,68,0.1965,0.7282,0.9506,0.05100111285118352,0.5729802627824966
69,69,0.1948,0.7375,0.9512,0.04821631124148682,0.5746330817417699
70,70,0.1907,0.7323,0.951,0.052994176488205806,0.573535172131548
71,71,0.1842,0.7304,0.9513,0.0478417726258154,0.5711229183890877
72,72,0.1818,0.7334,0.9512,0.05516186359351186,0.5759763129478463
73,73,0.1833,0.7326,0.9516,0.057919782594126,0.5747983487277506
74,74,0.1765,0.7339,0.9519,0.050991431668484084,0.5745987693651758
75,75,0.1736,0.7338,0.952,0.05488648317634305,0.576536366170474
76,76,0.1717,0.731,0.9518,0.05044009094753023,0.5820129446832956
77,77,0.1708,0.7316,0.9517,0.05272623400211879,0.5768373904278288
78,78,0.1655,0.7347,0.9518,0.05807063311066422,0.5787243328550097
79,79,0.1624,0.7357,0.952,0.053407479599576146,0.581461860549718
80,80,0.1596,0.7355,0.9524,0.05032726908761067,0.580021813444286
81,81,0.1584,0.7369,0.9524,0.05668597811865629,0.5804724883302259
82,82,0.1522,0.7379,0.9527,0.05923730969852249,0.5790666088733425
83,83,0.1518,0.7354,0.9525,0.0530326617260708,0.5722442185119576
84,84,0.1498,0.7391,0.9526,0.057356425472250006,0.5777221898723347
85,85,0.147,0.7353,0.9525,0.05124192758199217,0.5820805640517988
86,86,0.145,0.7374,0.9526,0.0521489150101588,0.5798001909703252
87,87,0.1404,0.7408,0.9533,0.056452430407371336,0.5810777940344669
88,88,0.1396,0.7388,0.9529,0.056213931134271485,0.583087434735169
89,89,0.1362,0.7403,0.9535,0.05809015179015241,0.5835527267336947
90,90,0.1343,0.7373,0.9534,0.05420612930756219,0.5788462110402646
91,91,0.131,0.7405,0.9535,0.05295539674941595,0.5773734375154846
92,92,0.1301,0.7425,0.9537,0.05756030059736392,0.5794614836489688
93,93,0.1307,0.7397,0.9534,0.05542764213304512,0.5830078412097773
94,94,0.1244,0.7421,0.9541,0.060038368832285166,0.5816941843231094
95,95,0.1252,0.7437,0.9541,0.05626397653398535,0.5783096445677828
96,96,0.1232,0.7423,0.954,0.061225150054353375,0.5803715396174008
97,97,0.1188,0.7431,0.9543,0.052824407427272846,0.5855224636750005
98,98,0.1205,0.7411,0.954,0.05754093600823002,0.5826753441064536
99,99,0.1163,0.7404,0.9537,0.0565163674479823,0.5827529287639099
100,100,0.1109,0.7441,0.9546,0.06112032491981137,0.587677975343632
101,101,0.1107,0.7402,0.9543,0.05641339693079568,0.5854574928472844
102,102,0.1092,0.7428,0.9547,0.054733717321067576,0.5859163098495994
103,103,0.107,0.7468,0.9548,0.052011203068068515,0.5819853885554327
104,104,0.1055,0.7473,0.9546,0.05626665203638678,0.5850412234623694
105,105,0.106,0.7441,0.9548,0.06462432093644291,0.590652462079971
106,106,0.1031,0.7443,0.9544,0.05581528078550938,0.5806739130795917
107,107,0.1021,0.7462,0.9549,0.05959618548174887,0.5862910337348137
108,108,0.1002,0.7456,0.9547,0.06368164478869169,0.5884451631212472
109,109,0.0996,0.7413,0.9546,0.060877745958372656,0.5892217609314193
110,110,0.0965,0.7442,0.955,0.06078658836256994,0.5862005427405762
111,111,0.094,0.746,0.955,0.05686120833085307,0.587570705464196
112,112,0.0937,0.7445,0.9551,0.0638200865258665,0.5854060484383069
113,113,0.0914,0.7482,0.9553,0.05548728443719617,0.5837303839533424
114,114,0.0887,0.7483,0.9555,0.053418904595070676,0.5858651425976232
115,115,0.088,0.7453,0.9552,0.05768720658235883,0.5843267466520987
116,116,0.0848,0.7484,0.9554,0.0632798047388494,0.5898436071106905
117,117,0.0876,0.7489,0.9556,0.055359815182070546,0.588013939949193
118,118,0.0846,0.7453,0.9559,0.0577335685578016,0.5880673008617143
119,119,0.0834,0.7471,0.9552,0.0656299381124508,0.5947193345002268
120,120,0.0805,0.7499,0.9559,0.05991675198373249,0.5862935116239598
121,121,0.0818,0.7486,0.9556,0.06312946852302502,0.5915877961686256
122,122,0.0793,0.7465,0.9557,0.057205855432109654,0.590374204586583
123,123,0.0789,0.7488,0.9558,0.05859786378550036,0.5891422945541771
124,124,0.0772,0.7487,0.9561,0.05713488754202465,0.5929815505783421
125,125,0.0758,0.7489,0.9559,0.06575239044612331,0.5920706681653978
