step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4316,0.1139,0.4904,0.08327829642730543,0.5294302652961819
1,1,1.3749,0.5002,0.8603,0.07561324615427865,0.5269735992698703
2,2,1.2022,0.5548,0.8806,0.07186239461270132,0.525277950922688
3,3,1.1023,0.5761,0.893,0.06464993582786425,0.5314497302990424
4,4,1.0231,0.594,0.9014,0.06532463335034326,0.5270220357684592
5,5,0.9683,0.6067,0.9073,0.06844945518251519,0.5291790313417464
6,6,0.9187,0.6176,0.9119,0.05745866081169276,0.5266725388836049
7,7,0.8769,0.6267,0.9163,0.05916623305317524,0.5287659930243869
8,8,0.8484,0.6352,0.9199,0.057860963212833245,0.5312614130975231
9,9,0.8158,0.6357,0.9221,0.060221696493357145,0.5342375268006009
10,10,0.7898,0.6515,0.9253,0.059775378566714374,0.5290083563952807
11,11,0.7682,0.6465,0.9263,0.058755092131234726,0.5261361824547568
12,12,0.7404,0.6544,0.9279,0.061408036355789314,0.5319685616453848
13,13,0.7253,0.6584,0.9286,0.06368364035300299,0.5337931411706002
14,14,0.7066,0.6623,0.9304,0.06143001322885918,0.533638485362312
15,15,0.6921,0.6641,0.9314,0.053692909742063206,0.5282548680584317
16,16,0.6721,0.6654,0.9321,0.05967924707118912,0.530721340274281
17,17,0.6606,0.6651,0.9327,0.05758979920429979,0.5305222613063246
18,18,0.6446,0.6693,0.9334,0.06122287706545379,0.5397493032354398
19,19,0.6322,0.6763,0.9341,0.05810646224584578,0.5276947833516363
20,20,0.6218,0.6778,0.9351,0.054902894894775664,0.5316246817840652
21,21,0.607,0.6745,0.9349,0.05729872740797038,0.5280759962257229
22,22,0.5949,0.6794,0.9354,0.055073305552126584,0.5323053578295732
23,23,0.5873,0.6782,0.9362,0.05244448114813013,0.5275015565039028
24,24,0.5735,0.6834,0.9368,0.05729191077237913,0.5288604662523146
25,25,0.5652,0.6833,0.9373,0.05569278437490111,0.5302075747130153
26,26,0.5571,0.6847,0.9377,0.04908540968542945,0.5268777523815439
27,27,0.5464,0.6907,0.9386,0.06014455981274575,0.5286790954303777
28,28,0.5384,0.6863,0.9387,0.050606055103270355,0.5261423896456258
29,29,0.5343,0.6867,0.9385,0.05230417407132935,0.5254263494406898
30,30,0.5221,0.6887,0.9388,0.05307579979952224,0.5272656505506321
31,31,0.5164,0.6954,0.9399,0.05574211246270329,0.5295301836423972
32,32,0.5126,0.6942,0.9394,0.05434506761264368,0.5255146595324948
33,33,0.5023,0.6913,0.9394,0.05451005937145448,0.5262126793297858
34,34,0.4941,0.6963,0.9397,0.05290750979753749,0.5295027758646901
35,35,0.4888,0.6884,0.94,0.05587048852707371,0.5277309080111205
36,36,0.4829,0.697,0.9408,0.05673196414623571,0.5349998894690124
37,37,0.4743,0.6973,0.9403,0.0546623810278785,0.5344045115410608
38,38,0.4661,0.698,0.9411,0.05678218827831577,0.5296386632388765
39,39,0.4613,0.6961,0.9409,0.059294358848068274,0.532952965321303
40,40,0.4614,0.694,0.9411,0.05667368601455767,0.5325382093136901
41,41,0.4568,0.6977,0.9419,0.05362193975393894,0.5312345292299991
42,42,0.4466,0.7007,0.9421,0.05079211588832374,0.5299176761938558
43,43,0.4392,0.7024,0.9423,0.053293160040733034,0.5311528302780832
44,44,0.4332,0.7036,0.9425,0.05248987486543815,0.531408822327501
45,45,0.4297,0.7045,0.9426,0.05168073118578657,0.528439582524228
46,46,0.4223,0.7042,0.9431,0.05511149914516675,0.5309547351164953
47,47,0.4203,0.703,0.9426,0.05540165819268087,0.536573264720432
48,48,0.4148,0.7038,0.9431,0.05556712414389207,0.5312770547877212
49,49,0.4093,0.7044,0.9433,0.05258323034040857,0.5327957620722795
50,50,0.4058,0.7068,0.9435,0.05357451169097765,0.5272919289579382
51,51,0.3999,0.7021,0.9433,0.052084800416651915,0.5303429788111353
52,52,0.3965,0.7059,0.9439,0.049328875803774506,0.5335164392123589
53,53,0.3941,0.7071,0.9438,0.05074524900368056,0.5353259775512615
54,54,0.3871,0.7116,0.9443,0.051566274216503644,0.5325195620408641
55,55,0.3821,0.7081,0.9442,0.050368874314025674,0.532547786208418
56,56,0.3779,0.7046,0.9435,0.05378583307344497,0.5296947632815623
57,57,0.3734,0.7095,0.9443,0.051132068432853436,0.5297935628453264
58,58,0.3701,0.7101,0.9444,0.052478877681474606,0.5356442756538815
59,59,0.3671,0.7067,0.9442,0.04941428058303993,0.5302159171634347
60,60,0.3601,0.7111,0.9446,0.049730760057285245,0.5328704182528149
61,61,0.3581,0.7077,0.9446,0.050144150943149515,0.5322284386320024
62,62,0.3544,0.712,0.945,0.05446144265615459,0.5305330920631085
63,63,0.3524,0.7088,0.9444,0.05059201155036189,0.5289556397862556
64,64,0.3456,0.7105,0.9449,0.05275043404424084,0.5310685413548113
65,65,0.3403,0.7119,0.9451,0.05545125889422876,0.5261511122361368
66,66,0.3409,0.7124,0.9452,0.054256392075148534,0.5276689948391913
67,67,0.336,0.7086,0.9454,0.05307687280147873,0.5307011642845575
68,68,0.3333,0.7137,0.9454,0.048487562268998044,0.5335823333034652
69,69,0.3303,0.7089,0.9452,0.052291077364287376,0.5322787863119258
70,70,0.3269,0.7122,0.9455,0.05145947000454392,0.5334891644895108
71,71,0.3254,0.7147,0.9454,0.051408036552842956,0.5317028062460087
72,72,0.3178,0.7139,0.9457,0.053208890402073515,0.5281573997333164
73,73,0.3165,0.7135,0.9462,0.05201595030416094,0.5286785518361733
74,74,0.3151,0.7123,0.9457,0.05610981847281323,0.5305505338162901
75,75,0.3123,0.7131,0.9464,0.05091602291270972,0.5274075782962834
76,76,0.3076,0.7149,0.9466,0.0509232614334896,0.5267151080153182
77,77,0.3039,0.7129,0.9462,0.052266460461956155,0.5287923881686654
78,78,0.3021,0.7154,0.9463,0.05293966111674914,0.5318086624907342
79,79,0.3026,0.7139,0.9463,0.05524879908269025,0.5351446510719735
80,80,0.2958,0.7169,0.9468,0.05337545885559,0.5301381933105004
81,81,0.2909,0.7167,0.9468,0.051964593637534834,0.5303167670078663
82,82,0.2897,0.719,0.9465,0.05507568561377958,0.5286787761772417
83,83,0.288,0.7155,0.9465,0.05274819348711352,0.5316126742215662
84,84,0.2849,0.7182,0.9469,0.049994977154764815,0.5291267799559871
85,85,0.2808,0.715,0.9468,0.05097350287483341,0.5271840302394161
86,86,0.281,0.7175,0.9469,0.05346785818311386,0.5305809881247905
87,87,0.2778,0.7151,0.9469,0.05051953709780325,0.5264298118335424
88,88,0.276,0.7182,0.947,0.05522959880712632,0.5298859876232318
89,89,0.2709,0.719,0.9475,0.0506745945480528,0.5269355662944734
90,90,0.2676,0.718,0.9471,0.05135478820102251,0.5319214675449224
91,91,0.2679,0.717,0.9475,0.052945323527918316,0.5291875994203378
92,92,0.2664,0.7197,0.9475,0.0498599921805725,0.5298108301999098
93,93,0.2598,0.7185,0.9475,0.050030682328303294,0.5281177400764584
94,94,0.2546,0.721,0.948,0.0503023618684829,0.5319414939457177
95,95,0.2581,0.7182,0.9471,0.05209937429793974,0.5324026935890251
96,96,0.2528,0.72,0.948,0.0518656628942048,0.5353281197019146
