step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4316,0.1139,0.4904,0.08942328885871177,0.5571690549408257
1,1,1.3942,0.4969,0.866,0.04962803348703655,0.53555291820676
2,2,1.1392,0.5701,0.8929,0.07014069803331988,0.5529231384756823
3,3,0.9739,0.598,0.907,0.06310633074993889,0.5582877429001212
4,4,0.8914,0.613,0.9121,0.07470989385542286,0.560810615634493
5,5,0.834,0.6231,0.9179,0.05782260556050473,0.5488584239627946
6,6,0.8015,0.6222,0.9201,0.06552317669239133,0.5351995473029383
7,7,0.7415,0.6381,0.9247,0.052007556588383234,0.5287451918218884
8,8,0.7316,0.6448,0.9265,0.049903038547519846,0.5356879297735807
9,9,0.7038,0.6488,0.9289,0.04473798459635959,0.5260357505202322
10,10,0.6755,0.6441,0.9282,0.06161754443803429,0.5362092096981926
11,11,0.6479,0.6604,0.9302,0.05246357546205761,0.5293326550322266
12,12,0.6237,0.6582,0.9309,0.05564124649528762,0.5335429321976725
13,13,0.6029,0.6664,0.9335,0.06166478225352423,0.5452945517690844
14,14,0.5745,0.6613,0.9328,0.056960008600177886,0.5393550715428503
15,15,0.5757,0.6745,0.9347,0.06287174280409859,0.5444536122632225
16,16,0.5682,0.661,0.9336,0.04676168681023228,0.5350181046913908
17,17,0.5432,0.6704,0.9343,0.06144635130386767,0.5481068103627477
18,18,0.529,0.663,0.9347,0.05305392185774688,0.5434027062718532
19,19,0.5032,0.6735,0.9357,0.05691984151361097,0.5429174896350746
20,20,0.4851,0.6825,0.937,0.06057508126416032,0.5448625215905961
21,21,0.4717,0.6752,0.9357,0.0600850788965653,0.541802286303323
22,22,0.4518,0.6754,0.9367,0.05653059610159589,0.5439811749366135
23,23,0.4404,0.6811,0.9373,0.06089882108448723,0.5412861815932458
24,24,0.4377,0.6714,0.9365,0.06046153552466073,0.5426356987731572
25,25,0.4283,0.6804,0.9372,0.06476630097299117,0.5398222705700273
26,26,0.4186,0.6803,0.9377,0.055079997114932326,0.5415600242546
27,27,0.4053,0.6863,0.9389,0.046869433580713125,0.5384709491642543
28,28,0.3948,0.6807,0.9383,0.054274849940230234,0.5467969869395098
29,29,0.3975,0.6934,0.9395,0.05578138332103925,0.5389564013748734
30,30,0.3917,0.6902,0.9398,0.06388645638497548,0.5437600263624583
31,31,0.3717,0.6905,0.9397,0.05658083675214531,0.5422243410274601
32,32,0.361,0.6908,0.9397,0.0628251395221452,0.5568551012674078
33,33,0.3602,0.6884,0.9397,0.06352252919192779,0.5487017015321984
34,34,0.3506,0.6938,0.9403,0.052123120203527266,0.5402844366005128
35,35,0.3436,0.6899,0.9403,0.0704009177512371,0.5478725298274469
36,36,0.3398,0.6913,0.9396,0.054575430797504744,0.5521851963371072
37,37,0.3264,0.6962,0.9407,0.05548197622331508,0.5477403896717881
38,38,0.3164,0.6943,0.9414,0.05471230402084569,0.546074061448681
39,39,0.3193,0.6939,0.9407,0.061907967267331686,0.5524726905953911
40,40,0.3046,0.6929,0.9411,0.05577095296652646,0.5489292660208814
41,41,0.3053,0.6894,0.9405,0.05950429378015037,0.5469853798673857
42,42,0.307,0.6959,0.942,0.054441796488248935,0.5413404027675635
43,43,0.2969,0.6997,0.9425,0.052007099737173164,0.5366429770240113
44,44,0.2921,0.7047,0.9426,0.0577432713972873,0.5501876684562925
45,45,0.2809,0.6986,0.9413,0.055299019465743976,0.5375668526381454
46,46,0.2749,0.6998,0.9427,0.05999514797475058,0.5421757175724669
47,47,0.2716,0.7019,0.9426,0.04982361415670544,0.535125280784486
48,48,0.27,0.7001,0.9425,0.0529867663526505,0.5443719150322512
49,49,0.27,0.6971,0.9425,0.0586632805611053,0.5474455268580808
50,50,0.2646,0.6977,0.9428,0.055352760588679245,0.5446435670211459
51,51,0.2541,0.7052,0.9431,0.04968242494513047,0.5453826814015407
52,52,0.2518,0.6933,0.9427,0.05252874413420458,0.5366013805507305
53,53,0.2431,0.7071,0.9438,0.05824928435775744,0.5426636107626516
54,54,0.2437,0.6972,0.9435,0.04993533238362412,0.5435090994630436
55,55,0.2322,0.7011,0.9432,0.053676049553833656,0.5344205051237724
56,56,0.2362,0.7004,0.943,0.05128571779282281,0.5438774258811089
57,57,0.2277,0.7041,0.9436,0.055796059574046826,0.545385012526155
58,58,0.2265,0.703,0.9436,0.052336317824295465,0.5391109980763599
59,59,0.2219,0.7067,0.9443,0.047473094775232295,0.533365062806484
60,60,0.2162,0.7089,0.9442,0.052433868456970054,0.5408036224866766
61,61,0.2137,0.708,0.9445,0.04986220998201456,0.5425492632848323
62,62,0.2049,0.7083,0.945,0.051521086927134786,0.5445078936691532
63,63,0.2041,0.709,0.9448,0.06271052228085096,0.5471138327094133
64,64,0.2029,0.7098,0.9448,0.05418556921616297,0.5427599587638245
65,65,0.205,0.7088,0.9444,0.05283960129606906,0.5368301115008224
66,66,0.1957,0.7089,0.9448,0.05647319946669486,0.5396883775809531
67,67,0.1959,0.71,0.945,0.04367561447046986,0.5369480319856919
68,68,0.1927,0.7103,0.945,0.04529352007136908,0.5352102817179445
69,69,0.1863,0.7091,0.9445,0.05129315993144736,0.5405220171043603
70,70,0.1845,0.7086,0.945,0.05257384830344691,0.5419217125992778
71,71,0.1802,0.7136,0.9457,0.0524106429599142,0.5395668375329773
72,72,0.1735,0.7119,0.9454,0.05394674124473969,0.5406870624853656
73,73,0.1707,0.7101,0.9457,0.050586530967117176,0.5400946092242127
74,74,0.1754,0.7072,0.9449,0.0519389704702407,0.5403073956603891
75,75,0.1621,0.7121,0.9459,0.049810325158205486,0.5408398204576534
76,76,0.163,0.7155,0.946,0.04960752969731201,0.5378340774088559
77,77,0.1637,0.7135,0.9459,0.056698758745325505,0.5423538929208398
78,78,0.1587,0.7138,0.946,0.05217640495445372,0.5362802598828009
79,79,0.1567,0.7111,0.9461,0.045377078214108066,0.532230064562569
80,80,0.1522,0.7162,0.9467,0.0598079931483477,0.5408774487203222
81,81,0.1549,0.7141,0.9461,0.0506450162985615,0.5425100721969647
82,82,0.15,0.7122,0.9462,0.04789694745637755,0.5341736076727313
83,83,0.145,0.7194,0.9465,0.05353309033715966,0.5351202935366481
84,84,0.1454,0.721,0.9471,0.048062464403483295,0.5277728855656451
85,85,0.1456,0.7158,0.9464,0.05215195315775879,0.5407850295101451
86,86,0.1452,0.7161,0.9466,0.050808852901974955,0.5412628379911076
87,87,0.1382,0.714,0.9465,0.05393011877363316,0.541626918653698
88,88,0.1383,0.715,0.9465,0.049605397705571194,0.5360567785232918
89,89,0.1377,0.716,0.9462,0.04855361160448015,0.5369875310474314
90,90,0.1346,0.7175,0.9467,0.052947252035232095,0.5339672944260091
91,91,0.1324,0.7163,0.947,0.05056695477177577,0.5390076562262464
92,92,0.1329,0.7151,0.9463,0.05387857545691127,0.5442082574277064
93,93,0.1285,0.7186,0.9469,0.053043598087671534,0.5386649338364488
94,94,0.1243,0.7188,0.947,0.048104554813254846,0.5346503373738719
95,95,0.123,0.7183,0.9472,0.05035359391619706,0.5438745559571379
96,96,0.1192,0.7183,0.9471,0.05244557942983135,0.5410545131920113
97,97,0.1202,0.7211,0.9471,0.05139578598586326,0.5299255175703929
98,98,0.1208,0.7166,0.9468,0.04789706694298278,0.5330678089543606
99,99,0.116,0.7164,0.947,0.04730095418616483,0.5390278491067205
100,100,0.1148,0.719,0.947,0.051351301045829266,0.5432003156803656
101,101,0.1148,0.7218,0.9474,0.052114917506387554,0.5353405260885213
102,102,0.1091,0.7232,0.9474,0.055433647497884896,0.5426419463712404
103,103,0.1145,0.715,0.9471,0.054083388103901696,0.543354832870139
104,104,0.1079,0.7215,0.9476,0.04790154069285051,0.538807515833208
105,105,0.1088,0.7157,0.9472,0.05667553549568757,0.5425753454012886
106,106,0.1054,0.7219,0.9479,0.0521367337044335,0.5368371969700165
107,107,0.1018,0.7225,0.948,0.049417659592178725,0.5450548042751807
108,108,0.1032,0.72,0.948,0.055620033410534765,0.5423349603135623
109,109,0.1023,0.7235,0.9483,0.05180283598906138,0.5365816905408519
110,110,0.0967,0.7233,0.9482,0.05651426881821109,0.5481735268061783
111,111,0.098,0.7196,0.9481,0.05515149559479992,0.5453017815655524
112,112,0.0979,0.7229,0.9486,0.05428323886382321,0.5390895043875933
113,113,0.0949,0.7251,0.9482,0.046438867716706654,0.5409501634516837
114,114,0.0967,0.7281,0.9488,0.05217692085278825,0.5441135786995199
115,115,0.1006,0.7261,0.9488,0.05527514731567798,0.5438450448497226
116,116,0.0955,0.725,0.9483,0.05053577712706143,0.5364678735788843
117,117,0.0932,0.723,0.9487,0.047931073889670134,0.537411863922538
118,118,0.0875,0.7237,0.9488,0.049640849402403237,0.5311193312114886
119,119,0.083,0.7217,0.9483,0.053297694527086444,0.539176276618915
120,120,0.0869,0.7188,0.9483,0.05169459127071981,0.5386048859623433
121,121,0.0819,0.723,0.9482,0.050436904972573665,0.5411749778964458
122,122,0.0831,0.7275,0.9488,0.051739048864394,0.5379657193680041
123,123,0.0803,0.7249,0.949,0.049617453403227874,0.535276311392363
124,124,0.0825,0.7232,0.9482,0.04998478651271846,0.5330786149453405
