step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4316,0.1139,0.4904,0.0625057052607758,0.5254798820970074
1,1,1.2434,0.541,0.8865,0.051382184685799914,0.5141805906679244
2,2,1.0065,0.6135,0.9163,0.05375852464481939,0.5198563158158552
3,3,0.8739,0.6559,0.9294,0.050806890784759064,0.5153949006875176
4,4,0.789,0.6787,0.9372,0.053338532405124206,0.5162661414927481
5,5,0.7269,0.6912,0.9417,0.05025612311356243,0.5170057149088583
6,6,0.6773,0.7026,0.945,0.046787765686076885,0.512193021357108
7,7,0.6379,0.7126,0.9469,0.048237555499813144,0.5147297523823587
8,8,0.6055,0.721,0.9489,0.04578215666904913,0.5157576011571806
9,9,0.5747,0.725,0.9502,0.0487832471855701,0.5137768153062133
10,10,0.5511,0.7326,0.9513,0.04695457673351422,0.5170463115765187
11,11,0.5331,0.7344,0.9518,0.04686478900395311,0.5129949323659019
12,12,0.5143,0.7381,0.9531,0.045259787725033675,0.5176093536610834
13,13,0.4957,0.7419,0.9534,0.04607737357239878,0.5179997575214977
14,14,0.4757,0.7441,0.9538,0.0461481825070128,0.5213657713396388
15,15,0.4602,0.7473,0.9545,0.041062455965956944,0.521769940636855
16,16,0.4513,0.749,0.9552,0.04340346579742886,0.5173159050536114
17,17,0.4299,0.756,0.9557,0.04018157124505537,0.5205249536955391
18,18,0.421,0.7509,0.956,0.03987098602042529,0.5200999091470749
19,19,0.4091,0.7537,0.9565,0.03802438609832955,0.5185254808213278
20,20,0.3964,0.7516,0.9566,0.045257992049202944,0.5244266194602759
21,21,0.3893,0.756,0.9567,0.0424388746614671,0.529844630792491
22,22,0.3725,0.7582,0.9573,0.03959626080952232,0.5286008129716612
23,23,0.3634,0.7587,0.9576,0.03856209818268105,0.5315052625981765
24,24,0.3508,0.763,0.9581,0.04348601961775855,0.528081740611306
25,25,0.3441,0.7658,0.9581,0.03823131992098283,0.5259776975233558
26,26,0.3365,0.7605,0.9582,0.03611320963173411,0.5319040846011717
27,27,0.3297,0.7622,0.959,0.03700894557880046,0.5325267556123205
28,28,0.3188,0.7651,0.9588,0.03849954159106994,0.5307797664142907
29,29,0.3092,0.7623,0.9591,0.03850645576652858,0.5326817108550768
30,30,0.2981,0.7683,0.9598,0.03497888160903726,0.5298904337500305
31,31,0.2931,0.7631,0.9592,0.0373959209301482,0.5332899397721254
32,32,0.2953,0.763,0.959,0.036459740748591686,0.5322703611238855
33,33,0.2781,0.7686,0.9599,0.03598746482067187,0.5353857987085532
34,34,0.2737,0.7674,0.9599,0.03674346261445753,0.533179085418892
35,35,0.2614,0.7715,0.9606,0.0393967296860543,0.5324819443373027
36,36,0.2577,0.7691,0.9604,0.04243190629989144,0.5366459853652419
37,37,0.2529,0.7671,0.9604,0.03924246893254955,0.5372382083529043
38,38,0.2453,0.7707,0.9607,0.03291373606170241,0.5351589592031095
39,39,0.2394,0.7717,0.9612,0.03975521043880269,0.5346408658298262
40,40,0.2323,0.7712,0.961,0.037875989512504066,0.5387751245939786
41,41,0.2297,0.7706,0.9613,0.03672316126849525,0.5413918762103747
42,42,0.2206,0.7737,0.9615,0.038837913876088724,0.5415862934728131
43,43,0.2209,0.7706,0.9611,0.0383617300736006,0.5423871180173541
44,44,0.214,0.7715,0.9619,0.039995367798720476,0.5433284283697741
45,45,0.2085,0.774,0.9616,0.03961184051125659,0.5418562581686951
46,46,0.2003,0.7741,0.9621,0.0377338773592324,0.5427460655163112
47,47,0.2007,0.7767,0.9621,0.040920762759724845,0.5459788925430709
48,48,0.1926,0.775,0.9625,0.04026801332643275,0.5465102090672361
49,49,0.19,0.7734,0.962,0.03831876559289014,0.5421808787406478
50,50,0.1864,0.7771,0.9628,0.038145413497409325,0.5439897971506722
51,51,0.1871,0.7755,0.9621,0.04009875505572832,0.5466296437981041
52,52,0.1776,0.7758,0.9629,0.038270004896202976,0.5401622978223127
53,53,0.1705,0.7806,0.9632,0.03660902972523814,0.5406023461029327
54,54,0.168,0.7775,0.9631,0.036361404768110846,0.5416798011941691
55,55,0.166,0.7718,0.9629,0.037192063742282795,0.5401556001418721
56,56,0.1616,0.7766,0.9626,0.03780144058323422,0.5445665535556609
57,57,0.154,0.7766,0.9636,0.03729442034904341,0.544114742894848
58,58,0.154,0.7815,0.9639,0.0396482595700598,0.5450234698858389
59,59,0.1516,0.7758,0.9637,0.03890746145949133,0.5460198800213278
60,60,0.1457,0.7792,0.9634,0.04475916009701159,0.5497785126489875
61,61,0.1435,0.7833,0.964,0.038950384179546674,0.5451482028259622
62,62,0.1373,0.7813,0.9642,0.04070552642994469,0.5471805418793356
63,63,0.136,0.7776,0.9642,0.038569826766769996,0.5441498775995175
64,64,0.1343,0.7775,0.964,0.03969877179734293,0.5454915817485078
65,65,0.1325,0.781,0.9643,0.039193915270379215,0.545640362055471
66,66,0.126,0.7839,0.9645,0.03991532188790919,0.5478126250059785
