tag,file,rounds_seen,best_acc,best_round,final_acc,final_auc,final_train_loss,final_asr,final_attack_auc,mean_acc_last_10,mean_asr_last_10,mean_round_time
C0_baseline_fedrep,C0_baseline_fedrep_20260409_141900.log,801,0.7776298268974701,796,0.7752,0.9633,0.0006,0.053816455725159786,0.5582097462661186,0.77489,0.0527522387919442,20.194328806968812
C1_full_lite,C1_full_lite_20260409_141900.log,801,0.781707723035952,765,0.7777,0.9641,0.0013,0.060860441117685835,0.5870632243926709,0.77916,0.062122970673711295,25.700887796137664
C2_no_cl,C2_no_cl_20260409_141900.log,801,0.777546604527297,772,0.7748,0.9631,0.0012,0.05967279661201627,0.5826323435407383,0.77529,0.06496946745279945,26.314532279670612
C3_no_aug,C3_no_aug_20260409_141900.log,801,0.7754660452729694,800,0.7755,0.9634,0.0014,0.07299290273844988,0.5850235980463172,0.77268,0.07434447725139513,26.095689703313898
C4_no_mask,C4_no_mask_20260409_141900.log,801,0.7801264980026631,785,0.778,0.9635,0.002,0.05141856120689411,0.544228389825539,0.77684,0.05167446536472621,26.093363889891855
C5_no_trim,C5_no_trim_20260409_141900.log,801,0.7860352862849534,794,0.783,0.9654,0.0009,0.06214268483619551,0.5943099156732566,0.78316,0.06026818750352856,26.016156909171116
C6_uniform_trim,C6_uniform_trim_20260409_141900.log,801,0.7813748335552596,793,0.7799,0.9646,0.0013,0.05922219765109897,0.5842137522812787,0.7798999999999999,0.06078007734673273,26.141073576371173
C7_pgd_ctrl,C7_pgd_ctrl_20260409_141900.log,801,0.7797103861517976,790,0.776,0.9633,0.0014,0.052331667161166474,0.5850425909947944,0.77722,0.05505958980353611,28.498740575435605
F0_baseline_fedrep,F0_baseline_fedrep_20260409_141900.log,321,0.9195557770342422,297,0.9149,0.9877,0.0561,0.07796381546527717,0.7962665362814506,0.9166399999999999,0.07755448285543978,7.935097842201637
F1_full_lite_fm,F1_full_lite_fm_20260409_141900.log,321,0.9173489001210223,301,0.9132,0.987,0.1041,0.1776324797034707,0.8185845736211504,0.9126899999999999,0.1883646947566408,9.294751052915863
F2_no_cl_fm,F2_no_cl_fm_20260409_141900.log,321,0.9157115398305689,238,0.9129,0.9872,0.1324,0.0781581568171215,0.7432280605461739,0.9132999999999999,0.08069234772971179,9.276616121006903
F3_no_mask_fm,F3_no_mask_fm_20260409_141900.log,321,0.9189862604114758,290,0.9141,0.9885,0.0731,0.03848650818669792,0.7356577648699727,0.9117,0.03615378343146712,9.070515137223811
