step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4316,0.1139,0.4904,0.06928094623548754,0.5298656353228975
1,1,1.3511,0.5159,0.8642,0.0702969830555154,0.5311474940793609
2,2,1.1632,0.5665,0.8876,0.06621366199468222,0.5310418751816165
3,3,1.0577,0.5908,0.9001,0.06643236915427102,0.5312351771558812
4,4,0.9792,0.6079,0.909,0.06465871820718652,0.5322756790826189
5,5,0.9225,0.6241,0.9155,0.06024811971550249,0.5242258604125044
6,6,0.8793,0.635,0.9197,0.06275139262545044,0.5306718351489058
7,7,0.8351,0.6382,0.9231,0.05504003224367515,0.5262761819717819
8,8,0.8026,0.6526,0.9267,0.058736228853809816,0.528538752721067
9,9,0.7744,0.6591,0.9288,0.05574185896622966,0.5244839985831355
10,10,0.7447,0.6642,0.9312,0.055011056253871475,0.5221808403087035
11,11,0.7222,0.6674,0.9326,0.05580248324860461,0.52792653117634
12,12,0.6996,0.6699,0.9341,0.061378648524991954,0.534923673352781
13,13,0.6794,0.6734,0.9352,0.05583638446603086,0.5253250560918005
14,14,0.6606,0.6808,0.9364,0.060081650692381104,0.5351270330968373
15,15,0.645,0.6821,0.937,0.05608251876537346,0.5334578310824603
16,16,0.6281,0.6851,0.9375,0.05352382671039938,0.5337481320486391
17,17,0.6124,0.6907,0.9388,0.062226351573813114,0.5361410808880016
18,18,0.601,0.69,0.9394,0.0545502931693607,0.5332071849865622
19,19,0.586,0.6941,0.9398,0.05095925986402447,0.53186409943701
20,20,0.5714,0.697,0.9407,0.05537257332700204,0.5344984715031988
21,21,0.5618,0.6958,0.941,0.05474558827531151,0.5304712439441567
22,22,0.5475,0.7012,0.9417,0.05681425392172133,0.5315953414577076
23,23,0.5408,0.7029,0.9419,0.059698317362951656,0.537999025416287
24,24,0.5327,0.7003,0.9419,0.052436958194934845,0.536849480808697
25,25,0.5263,0.7023,0.9425,0.050196353169038775,0.5363900021442417
26,26,0.5112,0.7041,0.9425,0.0521875463445487,0.5341335598578809
27,27,0.5006,0.7069,0.9436,0.04846573186141752,0.5334089751483413
28,28,0.4916,0.7111,0.9443,0.05743782595512387,0.5344718517900146
29,29,0.4898,0.7075,0.9437,0.0549145872809796,0.534956397261927
30,30,0.4792,0.7096,0.9443,0.05450423804971409,0.5342548644352002
31,31,0.4729,0.7089,0.9445,0.05266510949157638,0.5337696781994017
32,32,0.4628,0.7105,0.9447,0.05553748084329397,0.5314077714694374
33,33,0.4553,0.7127,0.9449,0.05327030875253585,0.5359752040452269
34,34,0.4486,0.7115,0.9454,0.05379747868381515,0.537970251706434
35,35,0.4456,0.7135,0.9451,0.05621123389158759,0.537828849958096
36,36,0.4346,0.7114,0.9454,0.0524388333499565,0.5360449068611902
37,37,0.4304,0.715,0.9458,0.0503235492853965,0.5331328623080074
38,38,0.421,0.714,0.946,0.0509807391586563,0.5370401525114612
39,39,0.4162,0.7163,0.9463,0.052045645816894415,0.53449216788741
40,40,0.4109,0.7175,0.9467,0.05205113217950717,0.5338164586327824
41,41,0.4032,0.7194,0.9467,0.05338961257783181,0.5337417300238544
42,42,0.3967,0.7223,0.9469,0.04885284965877641,0.5326687729793006
43,43,0.3943,0.7229,0.9476,0.05545426505065414,0.5381735820265844
44,44,0.3868,0.724,0.9474,0.052368800057605545,0.5380056151114925
45,45,0.3762,0.7239,0.9474,0.052384517127774206,0.5391248853827617
46,46,0.3745,0.7197,0.9478,0.053088776690308086,0.5340769957850421
47,47,0.3681,0.722,0.9473,0.04753851751035177,0.531852218933251
48,48,0.3623,0.7254,0.9482,0.0536791641506108,0.5382683834499414
49,49,0.3611,0.7243,0.9483,0.049508630152759824,0.5387629956294843
50,50,0.3518,0.7235,0.9482,0.046641300920277816,0.5380548977862885
51,51,0.3517,0.7264,0.9488,0.0551623730000847,0.5374873777206582
52,52,0.3446,0.7229,0.948,0.048685583603445576,0.5363679896332769
53,53,0.344,0.7221,0.9482,0.04833476873726103,0.533615411914598
54,54,0.3335,0.7265,0.9486,0.04834067040714478,0.5348553594933568
55,55,0.3308,0.7259,0.9492,0.05195014590932767,0.5364434185152026
56,56,0.3293,0.7266,0.949,0.04713018918660705,0.5366695185461916
57,57,0.3248,0.7296,0.9491,0.04875912097738738,0.5383630923365642
58,58,0.3183,0.7267,0.9489,0.04898193842538957,0.5300543715419208
