step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4316,0.1139,0.4904,0.10715328636082544,0.6387376377410375
1,1,1.7946,0.3375,0.7104,0.08609159951939181,0.5614251994206333
2,2,1.4535,0.4703,0.814,0.08232790144358228,0.5399182729593057
3,3,1.2133,0.5484,0.8791,0.07416096843028484,0.5168373109490496
4,4,1.0999,0.5954,0.9013,0.05250964161576597,0.5095405776035561
5,5,1.042,0.6092,0.9082,0.06539159645080914,0.5133633462390683
6,6,0.9902,0.6227,0.9142,0.06058657245080312,0.5110357909264202
7,7,0.9459,0.6295,0.9199,0.05322064806831894,0.5161573890619906
8,8,0.9103,0.641,0.9244,0.060507263715113384,0.5198737390189025
9,9,0.8802,0.6491,0.9268,0.05082151009783901,0.5194515977160721
10,10,0.8539,0.6564,0.9287,0.05910630398316364,0.5223043451892762
11,11,0.8248,0.662,0.9307,0.059251910654095394,0.5225182341481686
12,12,0.8019,0.6655,0.933,0.05894596650578657,0.5227955227386921
13,13,0.7767,0.6719,0.9348,0.061558906379476246,0.5255342297081418
14,14,0.7607,0.6769,0.9365,0.06043685577829176,0.5261476615963206
15,15,0.739,0.6815,0.9378,0.055993586485845064,0.5210955506180964
16,16,0.7261,0.6838,0.9389,0.05806595873446597,0.5227989686987667
17,17,0.705,0.6873,0.94,0.05202607038539809,0.5160286290556971
18,18,0.6949,0.6908,0.9408,0.05447648066915341,0.5192764688042592
19,19,0.6838,0.6968,0.941,0.05498711544570062,0.5187399673514002
20,20,0.6658,0.7006,0.942,0.056123624445217304,0.5210613315844336
21,21,0.6585,0.7,0.9426,0.05563715204541954,0.5178265479000497
22,22,0.6427,0.7074,0.9436,0.05305866882696622,0.5206658753044339
23,23,0.635,0.7059,0.9438,0.05345604442615129,0.5191994010380654
24,24,0.6283,0.7052,0.9442,0.06387414174040693,0.5273818494562555
25,25,0.6176,0.7073,0.9442,0.056555394452774986,0.5244634903320229
26,26,0.6099,0.7093,0.9446,0.05447923429107763,0.5205680900405389
27,27,0.594,0.7106,0.9455,0.055676824554499904,0.522501243814099
28,28,0.5813,0.7135,0.946,0.05430164173225619,0.5210715338329036
