step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4316,0.1139,0.4904,0.06610495701830418,0.5281125111963645
1,1,1.3152,0.5218,0.871,0.07040990746564318,0.5354243264141421
2,2,1.1189,0.5857,0.8972,0.057988475255635996,0.5315931434104242
3,3,1.0099,0.6134,0.9101,0.06389309321954545,0.5288201457878203
4,4,0.9261,0.6297,0.9187,0.061829055717898755,0.5318835264599907
5,5,0.8662,0.6455,0.9253,0.06506123186700183,0.5330036087527615
6,6,0.8165,0.656,0.9286,0.06281333873438619,0.5263078332629298
7,7,0.7741,0.6675,0.9329,0.057096620267171806,0.5273070645053456
8,8,0.7382,0.6799,0.9358,0.05314476621310248,0.5254204074958303
9,9,0.7109,0.6829,0.9378,0.0609833849355978,0.5306163258106253
10,10,0.6836,0.6892,0.9397,0.05632928265659321,0.5291861086200215
11,11,0.6605,0.6933,0.9409,0.054594910344388715,0.5269677434156422
12,12,0.6392,0.6992,0.9422,0.05440986500172289,0.5312966874306321
13,13,0.617,0.6991,0.9427,0.054031197180380096,0.5285095973369809
14,14,0.5985,0.7033,0.9435,0.05539900685040465,0.5284826442539144
15,15,0.5839,0.7078,0.9444,0.04901077278296125,0.5311175466560774
16,16,0.5635,0.7094,0.9455,0.053871985919568946,0.5333135839257267
17,17,0.5544,0.7121,0.946,0.056354046937902615,0.5323465256279997
18,18,0.5403,0.716,0.9463,0.048447550185746785,0.5307255421698357
19,19,0.5279,0.7178,0.9467,0.055237963032368526,0.5352213455429434
20,20,0.5162,0.7216,0.9472,0.05400378010708684,0.5329934962920564
21,21,0.5056,0.7228,0.9476,0.04698173352104227,0.5267604790443576
22,22,0.4916,0.7223,0.9482,0.05264344608414992,0.5327662470513617
23,23,0.4808,0.7269,0.9486,0.05296842415111926,0.534028611756903
24,24,0.4767,0.7239,0.9482,0.050333540766175425,0.5336561012243278
25,25,0.4603,0.7268,0.9495,0.052048869146623884,0.5333311243185784
26,26,0.4549,0.7347,0.95,0.04808210264784539,0.529746592608011
