step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4316,0.1139,0.4904,0.06003574094108112,0.5400540989000228
1,1,1.2739,0.5256,0.8752,0.0733552136915769,0.5316508900579574
2,2,1.1,0.5815,0.8962,0.04906580014843154,0.5358584633549965
3,3,0.9948,0.6005,0.9068,0.06233167300912201,0.5372472509402687
4,4,0.9084,0.6071,0.912,0.07184866086866853,0.5378728687363352
5,5,0.8469,0.6337,0.919,0.0554113459708279,0.5260065147009549
6,6,0.7967,0.6272,0.9198,0.05940484061175273,0.5393916051645409
7,7,0.7704,0.6402,0.9237,0.06423291877548373,0.5324776516488602
8,8,0.7256,0.6519,0.927,0.056331856011179,0.5265845460490541
9,9,0.6948,0.6614,0.9291,0.05634059099777852,0.5403298539843833
10,10,0.6686,0.6515,0.9297,0.05824502290072521,0.5366399473061794
11,11,0.6478,0.6574,0.9309,0.05330128901544181,0.5314857339344515
12,12,0.623,0.6587,0.932,0.06235221457030099,0.5305766610173624
13,13,0.6,0.6696,0.9337,0.05160257381836867,0.5363518041951453
14,14,0.5895,0.6702,0.9337,0.06125392418014139,0.5363563019354395
15,15,0.5648,0.6785,0.9352,0.04968691964991772,0.5319201402116235
16,16,0.5538,0.6732,0.9357,0.06006294441800701,0.5369471391117231
17,17,0.5367,0.6813,0.9367,0.06119417623510524,0.540764812983579
18,18,0.5287,0.675,0.9363,0.05853400249980121,0.534920323106585
19,19,0.5052,0.6846,0.937,0.05366260145393693,0.5374140498175134
20,20,0.4982,0.6859,0.9373,0.05950093559320327,0.5398122969124364
21,21,0.4858,0.6788,0.9374,0.058830955630793075,0.536963043828811
22,22,0.4695,0.6911,0.9393,0.050346943450881074,0.5311326330156864
23,23,0.4632,0.6896,0.9391,0.06101398384490231,0.5396935583123721
24,24,0.4495,0.6904,0.9392,0.05027658987080075,0.526607452188108
25,25,0.4404,0.6927,0.9398,0.055083605253833226,0.5340860042890014
26,26,0.4351,0.6939,0.9401,0.061666090984687144,0.5412789710366782
27,27,0.4277,0.6956,0.9399,0.05485442583270743,0.5314176434552933
28,28,0.4105,0.697,0.941,0.05170642752495489,0.5347076756236661
29,29,0.412,0.6952,0.9409,0.05121449831937092,0.5353081196223785
30,30,0.3992,0.698,0.9412,0.05928310787408286,0.5426673706039801
31,31,0.3958,0.6972,0.9411,0.049309328694497404,0.5362781901920074
32,32,0.3827,0.7011,0.9417,0.055845277593884274,0.5334663529592565
33,33,0.3771,0.6944,0.9413,0.049739767591292894,0.5339111104833909
34,34,0.3701,0.702,0.9415,0.059445968591189224,0.5396031051056267
35,35,0.3612,0.6981,0.9418,0.05123764745135092,0.5430713378441411
36,36,0.3604,0.7007,0.9418,0.05190176424878914,0.5427521971364986
37,37,0.3488,0.7041,0.9431,0.053839311129934266,0.5394038697680852
38,38,0.3438,0.7006,0.9427,0.04982828512407598,0.5293012431129164
