step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4316,0.1139,0.4904,0.07606878151215878,0.5294142912921419
1,1,1.3036,0.5255,0.8738,0.06772564984858923,0.5273319423664322
2,2,1.099,0.5885,0.8993,0.060866634935946184,0.5276193275858164
3,3,0.982,0.6216,0.9133,0.0640886898062368,0.5186381366248444
4,4,0.9031,0.637,0.9212,0.05698766426276235,0.5221353278095746
5,5,0.8401,0.657,0.9278,0.057910314493700876,0.5237687929065403
6,6,0.7949,0.6629,0.9317,0.05819351991069009,0.5277664009403082
7,7,0.7498,0.6753,0.9349,0.051774489437724266,0.5204598435033747
8,8,0.7146,0.6807,0.9376,0.05049564210163317,0.5243075431470724
9,9,0.6829,0.6897,0.9401,0.054364145049961406,0.5253095460040487
10,10,0.6599,0.6974,0.9416,0.05364102090999784,0.5267526144014518
11,11,0.6352,0.6983,0.9427,0.050665256056251044,0.5275596477387223
12,12,0.6141,0.7013,0.9437,0.054116660484396485,0.5309599951477911
13,13,0.5967,0.7042,0.9441,0.050154637256940734,0.5282563325527923
14,14,0.5752,0.711,0.9455,0.04924610904030457,0.5307746016258632
15,15,0.5618,0.714,0.9463,0.04662608970454886,0.5288961061578012
16,16,0.5481,0.7145,0.9465,0.04982119870706382,0.5308878150115284
17,17,0.5331,0.7201,0.9475,0.05409226029398533,0.5289053722551665
18,18,0.5135,0.7221,0.9477,0.04826500952720514,0.531547914769017
19,19,0.5061,0.7218,0.948,0.04953667352245064,0.5248997926090784
20,20,0.4895,0.7279,0.9489,0.04585118343010864,0.53011536406748
21,21,0.4765,0.7299,0.9497,0.0481575264932388,0.530375809780776
22,22,0.4657,0.7269,0.9497,0.05318594724161817,0.5345101528724866
23,23,0.456,0.7324,0.95,0.049398477138039756,0.535610059342491
24,24,0.4531,0.7294,0.95,0.04455883213413826,0.5310980059231386
25,25,0.4382,0.7339,0.9506,0.048317512218945945,0.5294898441686972
26,26,0.4297,0.7385,0.951,0.04839624851061199,0.5317497685533324
27,27,0.4222,0.733,0.9504,0.04915230133231243,0.5314870445833783
28,28,0.4135,0.7344,0.9514,0.04483737516690624,0.5277289411594202
29,29,0.4038,0.7392,0.9513,0.03977650916603003,0.5305677173497715
30,30,0.3961,0.7381,0.9516,0.045180811669975604,0.5330741995564647
31,31,0.3857,0.7361,0.9524,0.04655303283021832,0.5332481453015054
32,32,0.3829,0.7409,0.9523,0.046154909894477444,0.5334019044599836
33,33,0.3721,0.7389,0.9523,0.04674167843363875,0.5373946960811189
34,34,0.3674,0.7383,0.9525,0.04619029309166959,0.5348496434524049
35,35,0.36,0.7448,0.9532,0.04455980181977201,0.5365859168787039
36,36,0.3504,0.7435,0.9534,0.04618019038208987,0.5388540072852718
37,37,0.343,0.7409,0.9529,0.04452068794437582,0.5361657754416213
38,38,0.3386,0.744,0.9534,0.04686364242184341,0.5385825083394562
39,39,0.3365,0.7453,0.9538,0.04429641042683654,0.538127253406422
40,40,0.3256,0.746,0.954,0.048096865111713086,0.5368883433574122
41,41,0.3179,0.7468,0.9542,0.046343386528156595,0.5337494351731771
42,42,0.3137,0.7479,0.9543,0.04458722360367503,0.5309930331465025
43,43,0.3115,0.7483,0.954,0.04502594050435767,0.5300175120374239
44,44,0.3033,0.7478,0.9546,0.044417144348191544,0.5364825847382172
