tag,file,rounds_seen,best_acc,best_round,final_acc,final_auc,final_train_loss,final_asr,final_attack_auc,mean_acc_last_10,mean_asr_last_10,mean_round_time
hp_anchor,hp_anchor_20260414_231453.log,801,0.7794607190412783,798,0.7752,0.964,0.0214,0.046324378560073085,0.5439038789080705,0.7761199999999999,0.046689080728676856,23.61876283096761
hp_jr_0p25,hp_jr_0p25_20260414_231453.log,801,0.8065079893475366,769,0.8008,0.9707,0.0167,0.049293185131498427,0.5831893918613044,0.8025800000000001,0.04968669203871758,10.627781717667121
hp_jr_0p50,hp_jr_0p50_20260414_231453.log,801,0.793774966711052,730,0.7919,0.9675,0.0113,0.04347606945075198,0.5511110651679542,0.78989,0.04344424213322835,14.844053238072199
hp_lr_0p001,hp_lr_0p001_20260414_231453.log,801,0.739430758988016,789,0.7355,0.9535,0.0208,0.047748360774600936,0.5163710640039062,0.73668,0.047203110502887814,23.94463403811318
hp_lr_0p002,hp_lr_0p002_20260414_231453.log,801,0.7668109187749668,798,0.7641,0.9602,0.0163,0.04546750087840949,0.5278629942878196,0.76387,0.04364061087458831,23.552213574765474
hp_lr_0p005,hp_lr_0p005_20260414_231453.log,801,0.7956890812250332,792,0.7912,0.9682,0.043,0.05132998295443976,0.5468701403761863,0.79169,0.04868624325013793,22.71544329295593
hp_lr_0p008,hp_lr_0p008_20260414_231453.log,801,0.8035952063914781,380,0.7862,0.9697,0.1109,0.05212821617013306,0.5568370045812389,0.7903100000000001,0.05126199911196122,23.299964501467834
hp_lrh_0p005,hp_lrh_0p005_20260414_231453.log,801,0.7925266311584553,708,0.7889,0.9676,0.0166,0.04100540061998378,0.547861169759743,0.7885,0.04212827928071547,23.697929219509035
hp_lrh_0p020,hp_lrh_0p020_20260414_231453.log,801,0.7721371504660453,797,0.7681,0.9618,0.0258,0.04727786440631413,0.5310018373709492,0.76832,0.0459918515721295,22.509504447120257
hp_lrh_0p030,hp_lrh_0p030_20260414_231453.log,801,0.7691411451398136,743,0.7665,0.9571,0.0039,0.0416418529356695,0.5321466899455204,0.76442,0.043840357154740925,23.624423453275035
hp_ls_10,hp_ls_10_20260414_231453.log,801,0.7965213049267643,115,0.761,0.966,0.2655,0.08945965093158409,0.605374991599764,0.75888,0.08574191034972732,117.10975740703006
hp_ls_2,hp_ls_2_20260414_231453.log,801,0.8013482023968043,766,0.7981,0.9692,0.0221,0.04670904064841397,0.563391007569104,0.79794,0.048361317745379696,34.053033385235125
hp_ls_5,hp_ls_5_20260414_231453.log,801,0.8099201065246339,260,0.7885,0.9703,0.1501,0.05825397608411207,0.5845575959581063,0.79203,0.060391403971785315,65.49754010604116
