step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4417,0.1139,0.4904,0.07543023936499313,0.5111323975423224
1,1,1.323,0.527,0.8699,0.07014766960413829,0.5194961755599028
2,2,1.1273,0.5733,0.8911,0.07242534885854231,0.5267246637511844
3,3,1.0071,0.6061,0.9051,0.0670485496312643,0.5237812026228136
4,4,0.9268,0.6259,0.9133,0.06754210529721111,0.5261046138443813
5,5,0.8631,0.6362,0.9198,0.06288786652707823,0.527487487217916
6,6,0.8067,0.6517,0.9241,0.0602615888961899,0.5278241988017093
7,7,0.7672,0.6554,0.9277,0.06069127266223037,0.5215823147400802
8,8,0.7309,0.6674,0.9306,0.0559015387642906,0.5271695310738749
9,9,0.694,0.6731,0.9333,0.05771851155244113,0.5308260118365394
10,10,0.6695,0.6794,0.9351,0.05856869366865043,0.5286980938747736
11,11,0.6414,0.6826,0.9367,0.05280005900129555,0.5251427338580812
12,12,0.6169,0.6883,0.9381,0.052449174252711415,0.5262638757232042
13,13,0.5948,0.6893,0.9393,0.05515343376097576,0.5312224585315626
14,14,0.5725,0.6961,0.9407,0.048889299273630796,0.5300201042923954
15,15,0.558,0.6965,0.941,0.05313724164659928,0.5328613903721819
16,16,0.5425,0.6985,0.9414,0.04810036405586638,0.5288153259093197
17,17,0.5249,0.7026,0.9425,0.05663853647183424,0.5332098224318438
18,18,0.5135,0.7049,0.9429,0.05207620100530231,0.5370920406442067
19,19,0.4954,0.7081,0.9436,0.052612543672116895,0.5343138267518964
20,20,0.4846,0.7102,0.9446,0.055349709345814777,0.5338162495680308
21,21,0.4703,0.7096,0.945,0.050102891398020065,0.5296754580484704
22,22,0.4587,0.7125,0.9449,0.05314606429884336,0.5326279537567598
23,23,0.4469,0.7109,0.9455,0.048163777439770815,0.5315212076431074
24,24,0.4383,0.7136,0.946,0.04908025235779648,0.5311253358161548
25,25,0.4284,0.7166,0.9459,0.047205248444745766,0.5308002588047595
26,26,0.418,0.7181,0.9465,0.048512862381236435,0.53065685541771
27,27,0.4063,0.72,0.9469,0.049355978195374135,0.5339804701755696
28,28,0.3981,0.7215,0.9473,0.05185788303000689,0.5377611679471359
29,29,0.6749,0.72,0.9472,0.05009596781675959,0.5333136770182072
30,30,0.4496,0.6939,0.9427,0.05430048084812641,0.5333571425787947
31,31,0.4314,0.6923,0.9429,0.05315770377096443,0.534529196455224
32,32,0.4176,0.6989,0.9431,0.054344245971197115,0.5447761251524671
33,33,0.4067,0.6957,0.9432,0.04898300015691178,0.5373254455898889
34,34,0.3963,0.7011,0.9435,0.05030549156378945,0.5363631565295425
35,35,0.3888,0.7082,0.9448,0.04737790264969229,0.5394287542151502
36,36,0.3755,0.7058,0.9445,0.04929432395369219,0.5458133911223427
37,37,0.3726,0.703,0.944,0.044021678391130366,0.5439510283965319
38,38,0.366,0.7061,0.9446,0.047194343262003544,0.541477496929124
39,39,0.3578,0.7066,0.945,0.04672446943324194,0.5411323588799963
40,40,0.3479,0.7066,0.9454,0.050269640376304915,0.5503616353398026
41,41,0.3443,0.7106,0.9452,0.05443242131102834,0.5459361358310635
42,42,0.3367,0.7113,0.9462,0.05127120344019115,0.5505376644581313
43,43,0.3324,0.7113,0.9459,0.05197177390318901,0.5497229739482079
44,44,0.3259,0.7121,0.9462,0.050117324194947015,0.5520178451398363
45,45,0.3137,0.7161,0.9465,0.04397311445076459,0.5495600420141298
46,46,0.3135,0.7155,0.9467,0.050718647312706165,0.5525508671023034
47,47,0.306,0.7157,0.9467,0.045066755993617105,0.5513062888761487
48,48,0.2997,0.719,0.9475,0.05432178727641466,0.557896225567157
49,49,0.298,0.715,0.9471,0.05169230196843662,0.552430064970015
50,50,0.2923,0.7204,0.9478,0.051241598129122344,0.5570586773037761
51,51,0.286,0.7177,0.9473,0.04976819051681134,0.5555298753084084
52,52,0.282,0.7211,0.9479,0.04307146858140202,0.5497476435761574
53,53,0.2764,0.7206,0.9481,0.05344130735195797,0.5579904308885243
54,54,0.2718,0.7239,0.9483,0.04859874289567871,0.5522846180680497
55,55,0.267,0.7185,0.9484,0.048781922921467005,0.5582530697429334
56,56,0.2635,0.7235,0.9486,0.04989506710444502,0.5593095565654634
57,57,0.2601,0.723,0.9486,0.050302781101883735,0.5557234210160793
58,58,0.2549,0.7226,0.949,0.05102337790775853,0.5514281641418572
59,59,0.2491,0.7259,0.9492,0.04866077698848698,0.5527791039921158
60,60,0.2454,0.7296,0.9493,0.050168097016009654,0.5567373769044904
61,61,0.2395,0.7215,0.9491,0.04908450065297245,0.5582593353664983
62,62,0.2357,0.7266,0.9493,0.04523125006954783,0.5574210344499664
63,63,0.2359,0.729,0.9498,0.05018392358354599,0.5547741841746983
64,64,0.2295,0.7259,0.9497,0.05029939497004571,0.5568969899769637
65,65,0.2275,0.7264,0.9499,0.05265873348783232,0.5546754751079569
66,66,0.2208,0.7284,0.9505,0.050540083625510344,0.5603975863268186
67,67,0.2173,0.7306,0.9501,0.05007074009903937,0.5555233632089526
68,68,0.2135,0.7263,0.95,0.049216686222361125,0.5588989452764987
69,69,0.2129,0.7317,0.9507,0.04971679607813283,0.5617063720521291
70,70,0.2041,0.7286,0.9506,0.05059008008169002,0.5611742966952649
71,71,0.2045,0.7312,0.9505,0.05045369712738006,0.5627548666152418
72,72,0.2012,0.7314,0.9507,0.048992618073664555,0.5593933524458571
73,73,0.1977,0.7289,0.9509,0.046652366045415575,0.5588331276430558
74,74,0.1938,0.7309,0.9509,0.04792950358405848,0.5574816283151044
75,75,0.1896,0.7316,0.9508,0.04924193919875089,0.5593217488946499
76,76,0.1899,0.7299,0.9511,0.04901202344410971,0.5574283128471278
77,77,0.1867,0.732,0.9513,0.04480010048144218,0.554986203240968
78,78,0.1845,0.7329,0.9511,0.047337802419059716,0.5618316517385427
79,79,0.1783,0.7346,0.9516,0.0506119905850976,0.5575067186886968
80,80,0.1772,0.7335,0.9514,0.04672704244016048,0.5600754561001817
81,81,0.1736,0.7359,0.9516,0.048825618946947986,0.5575102034493754
82,82,0.1703,0.7349,0.9519,0.053356602654452974,0.5588752260170234
83,83,0.167,0.7346,0.952,0.04750414173486746,0.5623643887809376
84,84,0.1641,0.735,0.952,0.04555829836942829,0.5631050244421275
85,85,0.1635,0.7362,0.952,0.04753608768053958,0.5664744084147681
86,86,0.1613,0.7374,0.9523,0.04908251025246999,0.5639041698107818
87,87,0.159,0.7354,0.9524,0.04472538499417628,0.5618088280339304
88,88,0.1555,0.7388,0.9528,0.04776868965966347,0.561317319165279
89,89,0.1501,0.7389,0.953,0.05272821100244729,0.5645571577436517
90,90,0.1515,0.739,0.9524,0.04951297266680778,0.5641067260463284
91,91,0.1495,0.7383,0.9528,0.045199796115857026,0.5608647711778799
