step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4417,0.1139,0.4904,0.0733012517214899,0.5145973355511447
1,1,1.3237,0.5236,0.8684,0.07835019834938291,0.528590002189077
2,2,1.1334,0.5744,0.8903,0.07851039182110396,0.5331719636375821
3,3,1.0194,0.6024,0.9026,0.0511192434618604,0.5190061013818453
4,4,0.9355,0.6257,0.9114,0.07038515005462706,0.5324099337447098
5,5,0.8711,0.6381,0.9178,0.06140371115008942,0.5278554976735245
6,6,0.8239,0.6477,0.9219,0.06360441073865775,0.5289917348491043
7,7,0.7773,0.657,0.9256,0.06471103356942476,0.5259526167702967
8,8,0.7384,0.66,0.9285,0.05326394016852528,0.5259817382656424
9,9,0.7083,0.671,0.9309,0.055972203239461005,0.5306798245601755
10,10,0.6771,0.6744,0.9325,0.05203906978745103,0.5313349077911588
11,11,0.6483,0.6783,0.9343,0.053655884972603894,0.5303539199108933
12,12,0.6268,0.683,0.9359,0.05123861369325535,0.5261110481314709
13,13,0.6046,0.6905,0.9375,0.05986112112419147,0.5315909806120153
14,14,0.5814,0.6912,0.9384,0.05768256367316433,0.5334746638878204
15,15,0.5604,0.6979,0.9395,0.051918824054684454,0.5311914160058498
16,16,0.5424,0.6983,0.9407,0.05575155546571806,0.5322852952832501
17,17,0.5308,0.7039,0.9413,0.05522038577332709,0.5310315257750707
18,18,0.5108,0.7037,0.942,0.04931759479221826,0.5329646726292865
19,19,0.4943,0.705,0.9429,0.05432015016354553,0.5301851215269445
20,20,0.4821,0.7065,0.9434,0.05319314585786259,0.531816308906945
21,21,0.4724,0.7075,0.9439,0.053890379346712834,0.5302985485417012
22,22,0.4579,0.7108,0.9451,0.0529311782673797,0.5334786447064623
23,23,0.4461,0.7134,0.9451,0.05126711614766313,0.5284038102541313
24,24,0.4365,0.7141,0.9451,0.05306881079667481,0.5245254243318414
25,25,0.4215,0.719,0.9463,0.0503254763991723,0.52887765431902
26,26,0.413,0.7197,0.9462,0.04955439385566407,0.5318769726379108
27,27,0.4031,0.7193,0.947,0.05361342597965221,0.5363682927802421
28,28,0.392,0.7215,0.9472,0.05252508449444373,0.535382614506701
29,29,0.6752,0.7189,0.9474,0.04620218825876129,0.5338289441063448
30,30,0.4451,0.6897,0.9421,0.05141547243663641,0.5354191616257769
31,31,0.4265,0.6904,0.9427,0.053072082211605746,0.5366581086503115
32,32,0.4135,0.6898,0.9426,0.04707698837783301,0.5362557046414035
33,33,0.4017,0.6953,0.9431,0.05002042506367044,0.5408385794369343
34,34,0.3917,0.6978,0.9434,0.055790133732212206,0.5457439900855482
35,35,0.3879,0.6944,0.9435,0.050109094334822676,0.5444023965693154
36,36,0.3732,0.7019,0.9441,0.0501439913962761,0.5477036724957226
37,37,0.3679,0.6996,0.9438,0.04934015090686655,0.5433521915428711
38,38,0.3606,0.704,0.9445,0.050154081901357166,0.5461423512190633
39,39,0.3541,0.706,0.9445,0.05037889743352827,0.5436953332367048
40,40,0.3456,0.706,0.9451,0.05243233086325276,0.5504931299012087
41,41,0.3416,0.7031,0.9451,0.04646031016732181,0.5478073832032427
42,42,0.3344,0.7126,0.9459,0.052873930527708946,0.5511199890242192
43,43,0.3301,0.7051,0.9454,0.05037090573813195,0.5523518245201119
44,44,0.3226,0.7134,0.9463,0.052447011536373316,0.551917687299182
45,45,0.3111,0.7127,0.9462,0.052828100334637,0.5547147881720776
46,46,0.3112,0.7165,0.9469,0.052065026375376716,0.5532741229275324
47,47,0.3061,0.716,0.9469,0.0478241789546399,0.5513044626532588
48,48,0.2982,0.7116,0.9467,0.050207635359102554,0.5543153749319026
49,49,0.2942,0.7114,0.9466,0.05272010370723422,0.5539090093474442
50,50,0.2896,0.7195,0.9473,0.04808526316179364,0.552814553271071
51,51,0.2847,0.714,0.9467,0.04796416659341001,0.55240575838681
52,52,0.2777,0.7179,0.9477,0.04751026458993294,0.5536000270023949
53,53,0.2734,0.7191,0.9474,0.052580985851310914,0.5583203838381026
54,54,0.2679,0.7179,0.9477,0.050247093748142055,0.5571177855984976
55,55,0.2639,0.7204,0.9479,0.045914882979665395,0.5565406366133611
56,56,0.262,0.7254,0.9483,0.049302424821414344,0.5540608945386108
57,57,0.2539,0.7207,0.948,0.05055292899630266,0.5553094976675408
58,58,0.2521,0.7203,0.9484,0.05445619222469659,0.558469487301009
59,59,0.2487,0.7235,0.9484,0.047923782034657594,0.5563119999521411
60,60,0.2479,0.7207,0.9479,0.05346313671098031,0.564539918460438
61,61,0.2429,0.723,0.9486,0.052861834504605104,0.5606317854253678
62,62,0.2387,0.7245,0.949,0.05221197961019105,0.560452721447482
63,63,0.2309,0.7252,0.9494,0.05219808072159296,0.5584613586959181
64,64,0.2297,0.7218,0.9489,0.05058586141217978,0.5604674764990353
65,65,0.2274,0.7258,0.9492,0.05060581326685087,0.5638211993506462
66,66,0.2186,0.7267,0.9497,0.05347950129143921,0.563367212622817
67,67,0.216,0.7282,0.9494,0.0521605848124461,0.5617477511963835
68,68,0.2129,0.7267,0.9499,0.044944633230308846,0.5607573791628611
69,69,0.2079,0.7298,0.9499,0.057194617894165245,0.5654820728600014
70,70,0.2109,0.726,0.9496,0.05276474791189366,0.5620841960571217
71,71,0.2063,0.7308,0.9502,0.052448213202183486,0.5646066087856539
72,72,0.203,0.7314,0.9505,0.04902392955237597,0.5679363212020252
73,73,0.2,0.7313,0.9502,0.05086852996679239,0.5591808472950238
74,74,0.1942,0.7303,0.9502,0.050892686904778335,0.564956352618209
