step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4417,0.1139,0.4904,0.08088519136064254,0.518342418940301
1,1,1.3313,0.5236,0.8687,0.08159294547715774,0.5266364480669561
2,2,1.1334,0.5747,0.8898,0.06912953990336113,0.5246718379420304
3,3,1.0213,0.603,0.9027,0.07085042801815748,0.5251428544858583
4,4,0.9419,0.624,0.9114,0.06916626059369949,0.5319992205864077
5,5,0.8754,0.6362,0.9171,0.06677085527060744,0.5312522855679058
6,6,0.824,0.6459,0.9213,0.06175781579119004,0.5296559808540312
7,7,0.7805,0.656,0.9244,0.06448201032642548,0.5339668158126204
8,8,0.7405,0.666,0.9285,0.060481706431276004,0.5280935843777984
9,9,0.7043,0.6672,0.9302,0.05478355148002512,0.5334049243322097
10,10,0.6757,0.6731,0.9325,0.049018713698546726,0.531265928823419
11,11,0.6454,0.6796,0.9341,0.057300662315769774,0.5282436708601492
12,12,0.6226,0.6883,0.9359,0.05312894634663317,0.5296277403432549
13,13,0.603,0.6861,0.9365,0.05173871493745142,0.527798422585921
14,14,0.5803,0.6917,0.9383,0.05037712268450512,0.5289578769377652
15,15,0.5613,0.6937,0.9393,0.05268756443618464,0.5271253663067021
16,16,0.5432,0.6966,0.9402,0.04967968235479267,0.5293130140714271
17,17,0.5246,0.7011,0.9406,0.04946072021685798,0.5252917110680327
18,18,0.5101,0.7019,0.9414,0.05196576193178715,0.5310671647599432
19,19,0.4969,0.7037,0.9423,0.049774367366035646,0.53068677559093
20,20,0.4809,0.7066,0.9427,0.053085764559993795,0.5314459396266279
21,21,0.4711,0.7065,0.9435,0.052572708093403045,0.5317746598661058
22,22,0.4552,0.7099,0.9444,0.04927250821543404,0.5304098633935643
23,23,0.4458,0.7156,0.9452,0.04888878350030231,0.525397181410378
24,24,0.4339,0.7116,0.9452,0.053966950097121894,0.5261395980972123
25,25,0.424,0.7145,0.9456,0.04743466554263028,0.5261417675160092
26,26,0.4113,0.7184,0.9459,0.05276181859388048,0.5326525371385068
27,27,0.4022,0.718,0.9456,0.04715173315352904,0.5319203787280282
28,28,0.394,0.7216,0.9464,0.05085136444218215,0.5363118719187822
29,29,0.6803,0.7205,0.9468,0.042682374492071955,0.5297739855779332
30,30,0.4425,0.6849,0.9417,0.04909415105692994,0.5325399319131389
31,31,0.4277,0.6888,0.9421,0.051072471253502706,0.5370157434671385
32,32,0.4116,0.6877,0.9417,0.056311190954651334,0.5346204989778192
33,33,0.3997,0.6982,0.9424,0.047538050293685054,0.5368642292868294
34,34,0.3928,0.6955,0.9426,0.05420297244351524,0.540458837909373
35,35,0.3838,0.6979,0.9434,0.04799150284718116,0.5421179021343661
36,36,0.3754,0.6988,0.9428,0.0493475244485881,0.5387719074680741
37,37,0.3703,0.6968,0.943,0.05063622662351633,0.5417282164915824
38,38,0.3578,0.6982,0.9432,0.04452791136820664,0.5461634952741562
39,39,0.352,0.6984,0.9437,0.04679291706063483,0.5490327450219018
40,40,0.3458,0.7025,0.9445,0.047292916631161905,0.5466533979756063
41,41,0.3413,0.7014,0.9436,0.04651227385832711,0.5450385451311927
42,42,0.3354,0.7064,0.9448,0.05061171928587235,0.550732317879391
43,43,0.3256,0.7084,0.9448,0.04594366553263018,0.5477260761681931
44,44,0.3207,0.7021,0.9449,0.04761862040425093,0.5504846297757064
45,45,0.3132,0.7056,0.9453,0.048048728249006516,0.5488489930949717
46,46,0.3086,0.7104,0.9451,0.05056054927208303,0.5534036528361326
47,47,0.3027,0.7127,0.9455,0.05209495624703609,0.5541670077849643
48,48,0.2969,0.7135,0.9463,0.04388108586798694,0.5476516854218375
49,49,0.2913,0.7142,0.9461,0.05049449838078413,0.5545424106193575
50,50,0.288,0.7121,0.9458,0.047754528086568694,0.554023730329228
51,51,0.283,0.7144,0.9463,0.05278702239002048,0.5569597006457989
52,52,0.2773,0.7165,0.9468,0.05005562909613082,0.5528339259671705
53,53,0.2759,0.7142,0.9466,0.0456596990713841,0.5553343461305096
54,54,0.2668,0.719,0.9473,0.05078723630877778,0.5582919198058307
55,55,0.2619,0.7153,0.9468,0.04555189944170508,0.5527706785369786
56,56,0.2577,0.7169,0.9473,0.04722996818749411,0.556263732164875
57,57,0.2536,0.7199,0.9473,0.04927875876581019,0.5559271884177166
58,58,0.2539,0.7175,0.9475,0.046604704390377075,0.5607528331039019
59,59,0.2476,0.723,0.9485,0.05166694223687561,0.555154587415979
60,60,0.2419,0.7238,0.9478,0.04621816040153657,0.556535572602614
61,61,0.2414,0.7198,0.9479,0.04770353595827578,0.5548129988669958
62,62,0.2335,0.7175,0.9477,0.04655620317138207,0.5558698949446277
63,63,0.23,0.7225,0.9484,0.046638001264519134,0.5560309636607412
64,64,0.2244,0.7231,0.9493,0.05639446006269176,0.5639942348156416
65,65,0.2252,0.7204,0.9487,0.05326130033996518,0.5595316842103356
66,66,0.2209,0.7224,0.949,0.053317330411894424,0.5605090692647077
67,67,0.2152,0.7267,0.9492,0.050604638513700735,0.5597500491382605
68,68,0.2123,0.7236,0.9489,0.04914434918803615,0.5559510498813846
69,69,0.2092,0.726,0.949,0.04610169947113372,0.5579494187216073
70,70,0.2043,0.7244,0.9494,0.046978021724490907,0.5602578522920746
71,71,0.2012,0.7261,0.9495,0.04758787206607193,0.5625990706908434
72,72,0.2016,0.7175,0.9491,0.047679920022128536,0.5599815922701006
73,73,0.1959,0.7248,0.9496,0.05429900080852788,0.5626987000624224
74,74,0.1939,0.7259,0.95,0.051848042169085735,0.562115151278922
75,75,0.1893,0.7236,0.9494,0.05155570850452577,0.5614001424361754
76,76,0.1878,0.7319,0.9499,0.04806403902555059,0.5638859733798489
77,77,0.1839,0.727,0.9498,0.04832045907535013,0.5588345572142455
78,78,0.1811,0.7316,0.9502,0.0518763737708495,0.5637086217829713
79,79,0.1766,0.7274,0.9502,0.051108684513161196,0.565332349566804
80,80,0.1761,0.7275,0.9499,0.04868000021374602,0.5619360322324137
81,81,0.1759,0.7281,0.9503,0.05132524966483393,0.562873543380714
82,82,0.1703,0.7299,0.9506,0.05717374764322979,0.5669583093262206
83,83,0.1717,0.725,0.9499,0.050078308216233616,0.5629590480484518
84,84,0.1649,0.7329,0.951,0.05259506885455271,0.5638545184985205
85,85,0.1613,0.7307,0.9507,0.05313704205703076,0.5657757495257485
86,86,0.1601,0.732,0.9507,0.05280791589828267,0.5661912312071158
87,87,0.1579,0.7316,0.9508,0.0557859418821213,0.5656255858746903
88,88,0.1555,0.7285,0.951,0.05058786241255445,0.562433824692007
89,89,0.1515,0.7319,0.9513,0.05418826928732377,0.5670864974341812
90,90,0.1517,0.7361,0.9514,0.05669249872424966,0.5668935205130518
91,91,0.1462,0.7377,0.9515,0.053242924453894294,0.5709694012956577
92,92,0.1463,0.7311,0.9513,0.05041533637484533,0.5640045341195612
93,93,0.1449,0.7359,0.9515,0.052400790005370755,0.5647686806349074
94,94,0.1417,0.736,0.9516,0.05672466933500324,0.5677315892496231
95,95,0.1412,0.7359,0.9517,0.05349550668450563,0.5620830294363678
96,96,0.1387,0.7374,0.9521,0.05226668397173979,0.5675541773636789
97,97,0.1364,0.7359,0.9519,0.05172324235405912,0.5644608411333981
98,98,0.1346,0.7374,0.952,0.05474959781761871,0.5662496572594137
99,99,0.1349,0.733,0.9515,0.05139862537200426,0.5642656234207143
100,100,0.1298,0.7414,0.9523,0.04989677408027543,0.5663500762949417
101,101,0.1301,0.7322,0.9516,0.0564875974978616,0.567810019445381
102,102,0.1263,0.7364,0.9522,0.05598288388303173,0.5685265205851672
103,103,0.1255,0.7337,0.9525,0.05022945122061732,0.5719249745779097
104,104,0.1264,0.7369,0.9523,0.053403156256815895,0.5674015744283557
105,105,0.1208,0.7382,0.9527,0.058416456167696855,0.5719583392512713
106,106,0.1209,0.7385,0.9525,0.0590828924654322,0.5741780880229661
107,107,0.1173,0.7402,0.9528,0.05862774325980136,0.571572073821987
108,108,0.1166,0.7374,0.9527,0.05546119717731429,0.5703947765237327
109,109,0.1156,0.7354,0.9521,0.056597716369643655,0.568556326945526
110,110,0.1151,0.7388,0.9526,0.05470337940600021,0.5673520018174439
111,111,0.1119,0.7408,0.9529,0.05313218488775923,0.5683203640168616
112,112,0.1107,0.7377,0.9525,0.05471341954759986,0.5684669130536351
113,113,0.105,0.7397,0.9526,0.05722810724492918,0.5730654373176911
114,114,0.1092,0.7384,0.9525,0.05052385302490584,0.5683915998070911
115,115,0.1041,0.7405,0.953,0.05691695294367017,0.5724456880681493
116,116,0.1021,0.7359,0.9528,0.05679172652684518,0.5700527962234714
117,117,0.1003,0.743,0.9535,0.06198839216871345,0.576284416155817
118,118,0.1001,0.7397,0.9533,0.05600445308827907,0.5763998800732348
119,119,0.0988,0.7415,0.9537,0.05556926734331691,0.5728659366800886
120,120,0.0979,0.7421,0.9529,0.05624608499400709,0.5718374994522979
121,121,0.0956,0.7424,0.9539,0.05210590850224059,0.5676590076621614
122,122,0.0938,0.7403,0.9536,0.05607368636904562,0.5742206912578762
