step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4417,0.1139,0.4904,0.06587244272271986,0.5085842395500316
1,1,1.3319,0.5226,0.8688,0.07970347261536444,0.5276388581903824
2,2,1.1356,0.5791,0.8899,0.05577787625364581,0.5240136669063459
3,3,1.0215,0.6043,0.9026,0.06706930459176971,0.5259050386561566
4,4,0.9404,0.623,0.9107,0.06162195158456502,0.5247271688568691
5,5,0.8739,0.637,0.9171,0.06437689278890105,0.527243951063515
6,6,0.8228,0.6481,0.9215,0.05452364968625791,0.526718803869515
7,7,0.7763,0.6555,0.9256,0.06337125849646993,0.5327945076736327
8,8,0.7391,0.6608,0.9279,0.055989726419114066,0.5355641389938891
9,9,0.7053,0.6693,0.9309,0.05334790527177856,0.5235084550345095
10,10,0.6782,0.6739,0.9323,0.058816494082390404,0.5390299687843811
11,11,0.6524,0.6787,0.9339,0.05406207059072414,0.532763842909897
12,12,0.6251,0.6835,0.9352,0.05366567127606928,0.5314249066448382
13,13,0.6095,0.6853,0.9369,0.048115575547794026,0.5317803537740277
14,14,0.5878,0.6898,0.9375,0.058126851301978685,0.5368542213171777
15,15,0.5671,0.6931,0.9386,0.056847129459363314,0.5321967439233295
16,16,0.552,0.6968,0.9393,0.054082981165934275,0.5372027661075117
17,17,0.5354,0.6964,0.94,0.054094770199492104,0.5336250995701717
18,18,0.5173,0.6994,0.9411,0.05405080171135986,0.5360888594841878
19,19,0.5056,0.7014,0.9411,0.056135220542483245,0.5355378505589287
20,20,0.4899,0.7045,0.9426,0.052470989454558935,0.5320280840152749
21,21,0.4768,0.7086,0.9434,0.05224508667691528,0.5337520448581002
22,22,0.4639,0.7115,0.9431,0.048923932094147984,0.5334049643049333
23,23,0.4542,0.71,0.9435,0.051623130040944126,0.5383479285198697
24,24,0.4435,0.7124,0.9441,0.04988868165188719,0.5329117735526567
25,25,0.4301,0.7156,0.945,0.04869003648675475,0.5329388974264865
26,26,0.4202,0.718,0.9453,0.05400855751498873,0.534065199424375
27,27,0.4107,0.7175,0.9454,0.047712686793292484,0.5276658733258687
28,28,0.3993,0.7212,0.9455,0.0497717776644105,0.5341374312538233
29,29,0.6668,0.7209,0.9461,0.051222100401770866,0.5349085450903855
30,30,0.4545,0.6911,0.9412,0.05134927864310428,0.5387178093256552
31,31,0.4328,0.6963,0.9415,0.04753957849351619,0.5352709625625925
32,32,0.4169,0.6971,0.9419,0.0500332131636424,0.5408161888486809
33,33,0.407,0.6985,0.9419,0.05343597070362018,0.548211894436329
34,34,0.4009,0.6959,0.9422,0.0440791075713099,0.5395516678790441
35,35,0.387,0.6996,0.9423,0.052400436207156544,0.5470490986908474
36,36,0.3827,0.6972,0.9426,0.051658918656879785,0.5438933475260181
37,37,0.3718,0.7037,0.9429,0.05454161983348867,0.5464698784682311
38,38,0.3643,0.7013,0.9431,0.050061875522534424,0.5438522853797094
39,39,0.3539,0.7015,0.9433,0.04812901095690588,0.545980320634935
40,40,0.3511,0.7062,0.9439,0.05057242696739863,0.5472243563885192
41,41,0.3453,0.706,0.9443,0.04779531360011085,0.5491134460738604
42,42,0.3419,0.71,0.9445,0.052409974132282475,0.5494244543966282
43,43,0.3348,0.7089,0.9441,0.047707719920284136,0.5503782988047389
