step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4417,0.1139,0.4904,0.070752241776728,0.5179802447847136
1,1,1.3196,0.5224,0.8694,0.06625577548449733,0.5211826560118495
2,2,1.126,0.5801,0.8922,0.06929087135177196,0.5265564471062263
3,3,1.008,0.6111,0.9044,0.07049243008545433,0.5232869152397951
4,4,0.9304,0.6257,0.9121,0.06638473759763619,0.5356616616690445
5,5,0.8622,0.6396,0.9188,0.06752969155038276,0.5348054642020946
6,6,0.8124,0.6518,0.9239,0.0636046139544714,0.5314623272859028
7,7,0.7657,0.6595,0.9272,0.06740004493882047,0.5304081882010004
8,8,0.7292,0.6667,0.9304,0.06233615356394593,0.5336926454435268
9,9,0.6965,0.6699,0.932,0.05476009514197981,0.5319290696651704
10,10,0.6716,0.6754,0.9341,0.04599258935870501,0.5239828527468291
11,11,0.6378,0.6823,0.9363,0.056545164707208495,0.528153061020913
12,12,0.6148,0.6851,0.9374,0.05773163314935072,0.5317634699509188
13,13,0.5906,0.6956,0.939,0.05831509359409251,0.5304830730501244
14,14,0.572,0.6956,0.9399,0.05462923621854617,0.5300794689866165
15,15,0.5507,0.6989,0.9409,0.05011043651867257,0.5335820288064234
16,16,0.5333,0.7009,0.9419,0.04695994125528207,0.5300015829963453
17,17,0.5151,0.7029,0.9422,0.05108084378656882,0.5313556711780602
18,18,0.4983,0.7073,0.9432,0.055785718841394216,0.5300265732277617
19,19,0.4859,0.7083,0.9436,0.049043123453788216,0.5258243782342896
20,20,0.4707,0.7102,0.9446,0.04894394555127156,0.5336270271608425
21,21,0.4611,0.7103,0.9453,0.04796760141073616,0.5296926151416788
22,22,0.4455,0.7138,0.9458,0.05209713843591631,0.5315663235024063
23,23,0.4351,0.7162,0.9462,0.0472127851059701,0.5294248730835518
24,24,0.4217,0.7178,0.9466,0.05016626642319814,0.5315118337806476
25,25,0.4149,0.7185,0.9467,0.04672743248282989,0.5348165122466575
26,26,0.4044,0.723,0.9473,0.054197986707287385,0.5369034712957348
27,27,0.3916,0.7207,0.9476,0.04732455769269778,0.5317471972343473
28,28,0.3849,0.721,0.9479,0.049606524122960634,0.5326995998437352
29,29,0.6604,0.725,0.9483,0.04791631314284961,0.5331367395191056
30,30,0.4317,0.6954,0.9437,0.045014348359078846,0.5333385419231984
31,31,0.4139,0.6944,0.9434,0.04887504300141468,0.5387421504495133
32,32,0.4002,0.6936,0.9436,0.04927323702493093,0.5442744722244957
33,33,0.3884,0.6972,0.9436,0.052363865241233015,0.54475388610387
34,34,0.3819,0.6992,0.944,0.04896669361285746,0.5466742873505486
35,35,0.3728,0.7031,0.9444,0.05579661088845581,0.5507781360635692
36,36,0.3653,0.6984,0.9447,0.0431491022025017,0.5472193458503192
37,37,0.3545,0.7041,0.9449,0.048006746117760186,0.5511382713694627
38,38,0.3471,0.7031,0.9453,0.052531763508503825,0.5522961326861193
39,39,0.343,0.7077,0.9457,0.05094911973911852,0.5531423019756274
40,40,0.3324,0.7115,0.9463,0.04676208308468569,0.5497800909209757
41,41,0.3247,0.7103,0.9465,0.054143606877211904,0.5649323568962387
42,42,0.3233,0.7134,0.9466,0.05337086149952105,0.5580055467788898
43,43,0.3138,0.7116,0.9464,0.05021347369089756,0.5547733965014255
44,44,0.3117,0.7116,0.9464,0.05110286549110332,0.5564499747506341
45,45,0.3014,0.7121,0.9471,0.0518458279940011,0.5564303151453489
46,46,0.2978,0.7187,0.9476,0.053207935674841216,0.5637086944478533
47,47,0.2909,0.724,0.9478,0.053237795648064405,0.5624882640108396
48,48,0.2864,0.7207,0.9477,0.046708460039711915,0.5562246932572795
49,49,0.2779,0.7193,0.9479,0.04772918724698946,0.5611784822157461
50,50,0.2735,0.7231,0.9481,0.04797339631275778,0.5606330444946382
51,51,0.2671,0.7231,0.9489,0.051005486007418006,0.5653336505651043
52,52,0.2614,0.7223,0.9485,0.04311628074650255,0.5602466147582464
53,53,0.2598,0.7247,0.9488,0.051255222266225677,0.5679270892405593
54,54,0.2547,0.7256,0.9492,0.051216164373308226,0.5660583370593465
55,55,0.2489,0.7225,0.9487,0.050110399808670165,0.568273638547056
56,56,0.2475,0.724,0.949,0.051705819677204376,0.5643433355874837
57,57,0.2396,0.7218,0.9495,0.05222550403088103,0.5700645345367121
58,58,0.2369,0.7225,0.9496,0.05483277633877363,0.5683825158499166
59,59,0.2328,0.7249,0.9492,0.052446263608266194,0.5671839097256586
60,60,0.2297,0.7278,0.9496,0.04620345833698724,0.5643785019957493
61,61,0.2248,0.7301,0.9499,0.053894543415351645,0.5719599989847857
62,62,0.2177,0.7266,0.9502,0.052412548154011335,0.5738241070977247
63,63,0.2159,0.7308,0.9503,0.053366436150375104,0.5683945811645874
64,64,0.2149,0.7274,0.9502,0.050275551099298155,0.5681608336596089
65,65,0.2069,0.7302,0.9508,0.04712724099657484,0.5669016348356875
66,66,0.2023,0.7339,0.9509,0.05745955768623772,0.5752364026607328
67,67,0.2017,0.7304,0.951,0.05077362378393903,0.5637805786302813
68,68,0.1969,0.7315,0.9509,0.051053076706301805,0.574786656674279
69,69,0.1955,0.7299,0.9505,0.04916344610050334,0.5658518718769515
70,70,0.1888,0.7345,0.9515,0.05160301694040043,0.5706905367081146
71,71,0.1843,0.7317,0.9511,0.050946953636164076,0.570280608052307
72,72,0.1816,0.7331,0.9513,0.05258362526841978,0.5712210786887322
73,73,0.1816,0.7339,0.9513,0.05252958308378557,0.5704005196367158
74,74,0.1778,0.7355,0.952,0.052721838513675,0.5748929203112662
75,75,0.1774,0.7342,0.9514,0.0503187934077084,0.5678415886495451
76,76,0.1703,0.7327,0.952,0.05263184113379675,0.5737753820764951
77,77,0.1699,0.7323,0.9514,0.050561902889169515,0.5713281345746964
78,78,0.1639,0.7374,0.9524,0.05316008887345835,0.5728463440871593
79,79,0.163,0.7366,0.9523,0.049560828071489635,0.5755670271295359
80,80,0.1592,0.7392,0.9527,0.04992055772326662,0.5750688747313731
81,81,0.1542,0.7374,0.9524,0.04990152097684185,0.5691956559252889
82,82,0.1519,0.7353,0.9523,0.059098389385497364,0.5755833606920848
83,83,0.1545,0.7341,0.9522,0.05749122548332828,0.5732043028916652
84,84,0.1465,0.7375,0.9532,0.05049040644275815,0.5743966917245801
85,85,0.147,0.737,0.9525,0.05244188879260086,0.5770244405549146
86,86,0.1452,0.7385,0.953,0.053769637331103584,0.5782239984483949
87,87,0.1402,0.7391,0.9531,0.04585550432115663,0.5740067103169427
88,88,0.1393,0.7378,0.953,0.051632412046235636,0.577439815233632
89,89,0.1373,0.7405,0.9534,0.06025193381197391,0.5793926940566811
90,90,0.1372,0.7374,0.9529,0.0502987109813061,0.5775024405416257
91,91,0.1317,0.7413,0.9533,0.05365777411655376,0.5792913621997137
92,92,0.1288,0.7438,0.9536,0.052677062515453794,0.5772673938712894
93,93,0.128,0.737,0.9531,0.06025083552508064,0.5812245262900249
94,94,0.1269,0.7448,0.9542,0.05623387008546603,0.5807407612306407
95,95,0.1224,0.7423,0.9539,0.056676953914881,0.5806734530568062
96,96,0.1227,0.7415,0.9538,0.050816972997909944,0.5762063198768399
97,97,0.1204,0.742,0.9538,0.05556759421761194,0.5788761224513443
98,98,0.1185,0.7378,0.9538,0.05635074541982074,0.5781153377782622
99,99,0.1141,0.7433,0.954,0.06056010458369116,0.580244287059687
100,100,0.1147,0.7424,0.9541,0.053644004070760046,0.5787271088757702
101,101,0.1116,0.742,0.9543,0.056014133439828945,0.5797521021959618
102,102,0.1096,0.7452,0.9545,0.0579611178737039,0.581909600805725
103,103,0.1089,0.7438,0.9544,0.05497456677716292,0.584214900373797
