step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4417,0.1139,0.4904,0.08464498156056316,0.5208219580247986
1,1,1.3313,0.5175,0.8677,0.08830702353773225,0.5358225877624019
2,2,1.1383,0.5715,0.8889,0.0790423017959776,0.5357285105979617
3,3,1.0252,0.6039,0.9019,0.06839361794768047,0.535367087408997
4,4,0.9463,0.6191,0.9097,0.06620157603095758,0.5288434293041991
5,5,0.8813,0.6345,0.9163,0.06542324249858329,0.5319869246270772
6,6,0.8329,0.6456,0.9203,0.06008106719989911,0.5373737708814029
7,7,0.7888,0.654,0.9233,0.05452870912383028,0.5319888656889604
8,8,0.7516,0.662,0.9269,0.059100391586765506,0.5338640064479726
9,9,0.7219,0.6661,0.9289,0.06928621826058665,0.5332970514084191
10,10,0.6908,0.6729,0.9309,0.0559272534950157,0.5327957393007681
11,11,0.6691,0.6798,0.9318,0.058087888857655035,0.5338802757509086
12,12,0.6425,0.6813,0.9338,0.05556781224880246,0.531695696304644
13,13,0.6192,0.6864,0.9351,0.057512603001202936,0.5367867866969263
14,14,0.6009,0.691,0.9363,0.055525228360140594,0.534061516673398
15,15,0.5821,0.6964,0.9375,0.052227572918936586,0.5338867512982921
16,16,0.5664,0.6987,0.9385,0.04646273802636907,0.5298782239426038
17,17,0.5506,0.6988,0.939,0.0540416172710306,0.5316580633201917
18,18,0.5311,0.7048,0.9402,0.05326889844464462,0.5321183860243703
19,19,0.5184,0.7021,0.9409,0.04740525543624297,0.5317239959910642
20,20,0.5048,0.7091,0.9417,0.046052689471175086,0.5325516102527251
21,21,0.4905,0.7136,0.9423,0.061254594255625086,0.5385033882691084
22,22,0.4819,0.7096,0.9425,0.045813951908186414,0.5313477294844867
23,23,0.4688,0.7128,0.943,0.0453942773372416,0.5331502492935877
24,24,0.4607,0.7157,0.9441,0.04996697356383412,0.5344524077323777
25,25,0.4458,0.7199,0.9446,0.04678443625533668,0.5313730475578746
26,26,0.4376,0.7165,0.9442,0.04605448591380588,0.5339759247227887
27,27,0.4284,0.7218,0.9451,0.045894978581346633,0.5413900545779827
28,28,0.4201,0.7195,0.9453,0.04535886466918362,0.5301835685103358
29,29,0.7104,0.7197,0.9457,0.04686195710985912,0.5322501128271366
30,30,0.4775,0.6873,0.9402,0.04197095086380283,0.5339540877182102
31,31,0.452,0.6896,0.9405,0.044032175369821486,0.5331508134435664
32,32,0.4369,0.6982,0.9407,0.050177646966024364,0.5414778399844061
33,33,0.4316,0.6946,0.941,0.045995414370362475,0.5421517330787071
34,34,0.4201,0.7001,0.9418,0.04957865530193001,0.5442802850135179
35,35,0.4093,0.6982,0.9415,0.051520742535020855,0.5431396777761368
36,36,0.4087,0.6988,0.942,0.04502246005194718,0.5413951922387994
37,37,0.3965,0.7015,0.9424,0.04806072104487818,0.5449018951886836
38,38,0.3928,0.6982,0.942,0.04841085617440409,0.5458405991453688
39,39,0.381,0.7042,0.9435,0.04440605468795901,0.5467564071504477
40,40,0.376,0.7045,0.9434,0.0473663969873697,0.5443115592162977
41,41,0.3682,0.7111,0.944,0.0498218382593116,0.5508232366886011
42,42,0.3643,0.7113,0.9441,0.05075049394628274,0.5541000557559029
43,43,0.3594,0.7128,0.9443,0.051229351470823366,0.5519331474160654
44,44,0.3553,0.7098,0.9441,0.04598735864286411,0.5455468757328071
45,45,0.3454,0.7175,0.9451,0.04750034209839824,0.5521000447989786
46,46,0.3397,0.716,0.9447,0.0480706056968612,0.5560025823897615
47,47,0.3336,0.7154,0.9449,0.04386725268974163,0.546935531382993
48,48,0.3275,0.716,0.9451,0.04698840348308005,0.5519222354427988
49,49,0.3218,0.7188,0.9456,0.05176530978411049,0.5507044547446859
50,50,0.3181,0.7197,0.9452,0.04551111910871059,0.5507885037595123
51,51,0.3146,0.7186,0.9461,0.04644846059021646,0.5484985063301318
52,52,0.3124,0.722,0.9458,0.04855854351348033,0.5527791398671426
53,53,0.3083,0.7185,0.9462,0.04718076224300978,0.5522416743724663
54,54,0.2978,0.7235,0.9463,0.04512559973625445,0.549470993901302
