step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.3128,0.0545,0.4232,0.0002,0.1901073490131597
1,1,1.7664,0.4114,0.7709,0.0013368722615436468,0.44076450651724464
2,2,1.2843,0.5287,0.883,0.008,0.36671162349683495
3,3,1.2717,0.5337,0.9023,0.008675695327543516,0.34213383950258025
4,4,1.3598,0.5905,0.912,0.005,0.3225141212065814
5,5,1.2834,0.6156,0.9233,0.003114518967509957,0.25874193232468307
6,6,1.2609,0.6474,0.9326,0.0038,0.3284102328993436
7,7,1.2835,0.6557,0.9368,0.0031349377024319455,0.2834830238952206
8,8,1.24,0.6782,0.9427,0.0018,0.24194798250428562
9,9,1.136,0.7048,0.9481,0.0017618814706122116,0.24377256500879405
10,10,1.1358,0.7207,0.9516,0.007,0.2736208390293044
11,11,1.1165,0.7263,0.954,0.007268738792003322,0.27309928233041464
12,12,1.141,0.712,0.9556,0.0093,0.29426912921951415
13,13,1.0368,0.714,0.9566,0.009548641615150111,0.27856824118560375
14,14,1.1511,0.7139,0.9567,0.0101,0.2911866154689334
15,15,1.2001,0.7074,0.9554,0.010158091044224524,0.2841263063717006
16,16,1.296,0.6779,0.9553,0.0088,0.2971684410433908
17,17,1.278,0.7012,0.9583,0.008930817474483562,0.30377350465914177
18,18,1.1549,0.7142,0.9616,0.0079,0.3271693267842679
19,19,1.5407,0.6836,0.957,0.008024011666751436,0.33996341822667026
20,20,1.8366,0.6633,0.9529,0.0085,0.31036183258975053
21,21,1.4565,0.7033,0.9584,0.008362924897474576,0.3070345903255222
22,22,1.4629,0.7196,0.9601,0.0088,0.31307120954747913
23,23,1.2478,0.7387,0.9634,0.0010558623610331017,0.3235222927057085
24,24,1.2924,0.7449,0.964,0.0019,0.3250966729152966
25,25,1.0784,0.7459,0.9625,0.002209510965505415,0.30504060375463715
26,26,1.2262,0.7616,0.9649,0.0018,0.32865104711580995
27,27,1.314,0.7611,0.965,0.002033311365544605,0.351735752788918
