step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.3128,0.0545,0.4232,0.0008112474683809549,0.1985367795270488
1,1,1.3993,0.498,0.8984,0.16246687968026632,0.5585680754001194
2,2,1.1313,0.5329,0.9203,0.1086321035402188,0.5075101225491192
3,3,1.3126,0.4989,0.9182,0.04420772399614348,0.4323540491768351
4,4,1.4827,0.5017,0.9221,0.04021684373228963,0.42028874608100353
5,5,1.5246,0.5321,0.9276,0.034341403233072124,0.40223278266668144
6,6,1.6874,0.5324,0.9268,0.015971296290480712,0.36180330481167555
7,7,1.6782,0.5539,0.9322,0.006077141062844378,0.36141015573506413
8,8,1.6536,0.576,0.9341,0.005202292323892505,0.3643820968188707
9,9,1.5632,0.6152,0.9385,0.003527014204770501,0.34543434314838667
10,10,1.4978,0.6326,0.9453,0.0012083285575957882,0.3437958034006473
11,11,1.2746,0.6668,0.9495,0.002512109277889773,0.32557116975775136
12,12,1.5647,0.6591,0.9501,0.0023538670179814917,0.3296814806539827
13,13,1.6032,0.6725,0.9522,0.0011858420229958308,0.32488196593832147
14,14,1.8266,0.6711,0.9504,0.002339557664264567,0.3271753039586991
15,15,1.8058,0.677,0.9518,0.0017645964401462797,0.36786666032695353
16,16,1.9895,0.6866,0.9523,0.0017561307940189964,0.3463277161844965
17,17,1.6182,0.714,0.9581,0.0005821262910019044,0.2988653373240936
18,18,1.4837,0.7375,0.9623,0.0020780743598605013,0.33507933214447777
19,19,1.3833,0.7555,0.9646,0.0013359273149155908,0.32205765728872643
20,20,1.3336,0.7656,0.9664,0.001609094326046357,0.3437298525417492
21,21,1.354,0.7717,0.967,0.0013359273149155908,0.3457533115602113
22,22,1.308,0.775,0.9668,0.0018008137534877586,0.3367032857125602
23,23,1.2184,0.7754,0.967,0.0010395515293423073,0.3291776779708573
24,24,1.2814,0.7765,0.9658,0.0013564995396578188,0.31003204746712404
25,25,1.1489,0.7943,0.9685,0.002481779551297531,0.3522342986761784
26,26,1.0201,0.8116,0.9704,0.0021004111641207274,0.34078443654772894
27,27,1.0049,0.8148,0.9696,0.0028293135512216195,0.3432698518639868
28,28,1.0773,0.808,0.969,0.002357158864926764,0.35111458416043645
29,29,1.2391,0.8178,0.9708,0.002805369317810634,0.3544941587124922
30,30,0.9709,0.828,0.9741,0.0016842956563585044,0.3156408741829088
31,31,1.0522,0.8322,0.9744,0.005951118713241827,0.45961934317590153
32,32,0.9523,0.8422,0.9774,0.003738313575120178,0.4542065826797853
33,33,0.9849,0.8419,0.977,0.0026925260172183958,0.41310667414075164
34,34,0.8003,0.8487,0.9774,0.0025938149137824267,0.43762005971923446
35,35,0.7394,0.8468,0.9767,0.002058224889360588,0.40806329489572607
36,36,0.7722,0.8506,0.9777,0.0017959380822030096,0.43283217981351324
37,37,0.701,0.8622,0.9791,0.0033354377682697518,0.46371187284549775
38,38,0.7095,0.8606,0.9789,0.004509891047136321,0.46630244857670794
39,39,0.7769,0.8569,0.9784,0.004561436623808888,0.4674146320608907
40,40,0.7345,0.867,0.9796,0.0040099120848376005,0.4990366952973534
41,41,0.6556,0.8772,0.9824,0.004705879074203426,0.51032857429935
42,42,0.6757,0.8803,0.9826,0.00448275333923693,0.5083301451984883
43,43,0.6965,0.8775,0.9821,0.006132956108847434,0.5321839773838182
44,44,0.6297,0.8808,0.9827,0.006455409085046481,0.5217714093187691
45,45,0.6845,0.8789,0.9826,0.005601987063275488,0.5046860902720975
46,46,0.6891,0.8795,0.9827,0.005803817667245985,0.4828642578264403
47,47,0.694,0.8806,0.9822,0.00756434472407718,0.47874710782715935
48,48,0.6377,0.8802,0.9833,0.008596643127478609,0.503620924535937
49,49,0.6886,0.8761,0.9821,0.008887686509002053,0.5105116860864014
50,50,0.6018,0.8794,0.9827,0.012964020212162808,0.5437522373655242
51,51,0.6086,0.8751,0.9824,0.012005182318005042,0.5451534523078156
52,52,0.6216,0.8721,0.9819,0.01802464275446205,0.5626775802196499
53,53,0.6097,0.8759,0.9825,0.013802004400766966,0.5619682339571098
54,54,0.6218,0.8766,0.9824,0.016055886831499205,0.5660919981543978
55,55,0.5895,0.8691,0.9816,0.0177430129871688,0.5573249359386894
56,56,0.6182,0.8721,0.9819,0.00951278436254396,0.5474732956417762
57,57,0.6087,0.8749,0.9821,0.020402417076015814,0.596831649245442
58,58,0.6157,0.8742,0.9821,0.02121438592045853,0.5956059036973025
59,59,0.6079,0.8743,0.9823,0.02045012139747527,0.596771440214291
60,60,0.5451,0.8763,0.9829,0.01959553840875768,0.5890925405572262
61,61,0.5249,0.8847,0.9832,0.02400310956084327,0.6087298506895322
62,62,0.56,0.8817,0.9829,0.022267483556708278,0.596701131765155
63,63,0.5914,0.8801,0.9822,0.023823069604867665,0.6026166110162348
64,64,0.5656,0.8852,0.9822,0.02612090557678165,0.6098945137904564
65,65,0.5608,0.8799,0.9812,0.02262846413266137,0.5962809177687332
66,66,0.6023,0.8812,0.9815,0.018458067817701766,0.5841843347283328
67,67,0.5373,0.8828,0.9816,0.020711819259800986,0.5922384045817201
68,68,0.5191,0.8852,0.9812,0.01856248208559047,0.5896785925455973
69,69,0.4653,0.8907,0.9825,0.014612098271014931,0.5775024225860739
70,70,0.4599,0.8938,0.9825,0.0159553560577132,0.5773993472376563
71,71,0.4783,0.8905,0.9827,0.017810260943799686,0.5910981272399435
72,72,0.4234,0.8919,0.9834,0.01746643589128788,0.5935690049298991
73,73,0.4528,0.8849,0.9837,0.020287537401171545,0.5983551712200916
74,74,0.4557,0.8853,0.9837,0.02731927597798304,0.6256580203274106
75,75,0.452,0.8864,0.984,0.026489399496783486,0.6199810742171226
76,76,0.4634,0.8894,0.9836,0.025575143500558926,0.6379942696592966
77,77,0.4204,0.8934,0.9842,0.028326234705095595,0.6496218844437209
78,78,0.4462,0.8926,0.9843,0.025899961806014307,0.6421462451267439
79,79,0.3858,0.8966,0.9838,0.027865571342267713,0.6505868073643414
80,80,0.3986,0.8968,0.9845,0.027838052871922234,0.6444940615267404
81,81,0.3707,0.8953,0.9847,0.027969620170826267,0.6352416846218769
82,82,0.3561,0.8944,0.9848,0.026352924810121008,0.6428653164453634
83,83,0.361,0.8963,0.9847,0.028998932907959206,0.6480150378112174
84,84,0.3343,0.8991,0.9854,0.02810832109111435,0.6433836891007354
85,85,0.3556,0.8988,0.9857,0.02589902972178029,0.6319990277431392
86,86,0.3277,0.8969,0.9853,0.02881714447141432,0.6393957967568143
87,87,0.3526,0.8949,0.9854,0.029505097950439502,0.6474134220818077
88,88,0.3591,0.8972,0.9857,0.026880105613307833,0.6416830782840697
89,89,0.3748,0.8939,0.9848,0.02747831743574614,0.6349688565053168
90,90,0.3325,0.8983,0.9851,0.026813847081020855,0.6500366333578129
91,91,0.3404,0.9008,0.9846,0.026427364354658693,0.6405992088962645
92,92,0.3236,0.9002,0.9857,0.025226959330646725,0.6443048782124196
93,93,0.3363,0.9,0.9857,0.024794841485172067,0.6327371039536367
94,94,0.3312,0.8976,0.9848,0.02725556363771292,0.6495779635047463
95,95,0.3534,0.8975,0.9847,0.029877547854721253,0.6570378936781693
96,96,0.3858,0.8934,0.9842,0.025895333871794952,0.6476642475978813
97,97,0.4359,0.8895,0.9839,0.02974255099559289,0.6531924787675102
98,98,0.3433,0.8937,0.9858,0.028974091232881794,0.6579565468652486
99,99,0.3498,0.8965,0.9848,0.026443462860737618,0.6468293619071899
100,100,0.3553,0.8997,0.985,0.026629568875075484,0.6515194473747058
101,101,0.37,0.8987,0.9849,0.028166002900817222,0.6431619463730087
102,102,0.3655,0.8949,0.9841,0.03158519336441124,0.643554528031196
103,103,0.3502,0.899,0.9847,0.029946913793872904,0.6390495483999753
104,104,0.3091,0.8997,0.985,0.027333314128233414,0.6335883666910062
105,105,0.3042,0.8982,0.985,0.028765506656568792,0.6423399856628348
106,106,0.3038,0.8984,0.9849,0.030218669769053363,0.6484370063910215
107,107,0.304,0.8993,0.9854,0.031159580114771837,0.6520233728962167
108,108,0.3193,0.8973,0.9846,0.03198266170219322,0.6581864932953485
109,109,0.3021,0.9011,0.985,0.03815522506789217,0.6758654741492148
110,110,0.2987,0.9028,0.9852,0.03136001327465961,0.6616464423798456
111,111,0.3068,0.9013,0.9853,0.03173974973064265,0.663858308237265
112,112,0.3181,0.8966,0.9844,0.030960822638717814,0.6679679885767099
113,113,0.3048,0.9036,0.9849,0.03345054835243956,0.6794959387640515
114,114,0.2896,0.9039,0.9854,0.0342602380953986,0.6758056614414925
115,115,0.2739,0.9057,0.9857,0.031695286060888374,0.6744050342401728
116,116,0.2574,0.906,0.9861,0.030970021940608734,0.6728180563333056
117,117,0.2516,0.9041,0.987,0.02925397228454428,0.6642447565430786
118,118,0.2908,0.9043,0.9866,0.027663473324320027,0.656619042122738
119,119,0.2983,0.9008,0.9861,0.027527495120027338,0.657648496132836
120,120,0.302,0.9008,0.9857,0.02930504913910614,0.6665162625388842
121,121,0.2372,0.9042,0.9865,0.027599884036761037,0.6551361130035479
122,122,0.2291,0.9016,0.9862,0.03227211572454387,0.6716496058907683
123,123,0.2432,0.8991,0.9858,0.03354907779727252,0.6768009189534719
124,124,0.2499,0.8995,0.9857,0.032967647632662314,0.6812381514392596
125,125,0.2401,0.902,0.9863,0.032423111653306046,0.6789866233760077
126,126,0.2382,0.902,0.9864,0.03205728355656163,0.6752128108682974
127,127,0.2303,0.9048,0.9867,0.03294305181483385,0.6746233743872624
128,128,0.2863,0.903,0.986,0.036695236371078487,0.6885782841222696
129,129,0.2878,0.9048,0.9854,0.037577633290265644,0.6822859813713481
130,130,0.2977,0.905,0.9856,0.033823235246807616,0.6777463246352334
131,131,0.2906,0.9059,0.9856,0.03437277886311213,0.6764509474835425
132,132,0.2885,0.9069,0.9856,0.03233437596125221,0.672033139702641
133,133,0.2911,0.9062,0.9858,0.0328485965607512,0.6702916934496591
134,134,0.3044,0.9047,0.9857,0.032662516962946746,0.6678869373375952
135,135,0.2999,0.9044,0.9851,0.03834755568941083,0.6834567162406646
136,136,0.2864,0.9027,0.9848,0.043960171941122596,0.7055912717724706
137,137,0.2797,0.906,0.9854,0.042161938910340147,0.6993771947410379
138,138,0.2585,0.9065,0.9852,0.041333470407267744,0.6954460885878531
139,139,0.254,0.9065,0.9859,0.036810651639466695,0.6889644215673483
140,140,0.2548,0.9082,0.9861,0.03649804922238796,0.687062091143866
141,141,0.2679,0.9072,0.9861,0.035638985867468345,0.6859411007254514
142,142,0.2517,0.9092,0.9862,0.036737165781968506,0.6848382707131322
143,143,0.2866,0.9053,0.9851,0.0436581535612574,0.7120413510203639
144,144,0.3069,0.9066,0.9854,0.0376782085749785,0.6968582687322508
145,145,0.3105,0.906,0.9853,0.03690133126088263,0.6952437740004461
146,146,0.2335,0.9097,0.9864,0.03834728484238947,0.7018720883943594
147,147,0.2305,0.9097,0.9865,0.03336364728286395,0.6865913869859452
148,148,0.2621,0.907,0.9864,0.03369227964050384,0.6893608112117338
149,149,0.2806,0.9073,0.9863,0.034479566167675,0.6890472106307576
150,150,0.2835,0.9047,0.9853,0.037652047075153156,0.699217335557893
151,151,0.2964,0.9044,0.9852,0.035375711048432894,0.7028142086997894
152,152,0.3105,0.905,0.9854,0.034775876308487816,0.6981385657689912
153,153,0.3102,0.904,0.9856,0.03607133088130879,0.7029920410164077
