step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4417,0.1139,0.4904,0.08541599077478446,0.5242154196712655
1,1,1.3248,0.5189,0.8696,0.07406343835887517,0.521751545918283
2,2,1.1229,0.5801,0.8937,0.07190043829259307,0.5234238084741379
3,3,1.0087,0.6093,0.9054,0.0720332532056487,0.5216000077291081
4,4,0.9296,0.6282,0.9136,0.06433807944535107,0.5240169432026943
5,5,0.8633,0.6386,0.9201,0.05902890345018078,0.527426263052775
6,6,0.8096,0.6519,0.9249,0.059124692342818974,0.5285194644457529
7,7,0.7616,0.6607,0.929,0.055699443867806384,0.5316994879314383
8,8,0.7243,0.6663,0.9313,0.05900790294391266,0.5353605288526769
9,9,0.6928,0.6729,0.9337,0.060077656709635656,0.5329293117519031
10,10,0.6635,0.6782,0.9355,0.05330620532760268,0.5247794256807334
11,11,0.6368,0.682,0.9374,0.05741554299997066,0.5305843209513266
12,12,0.6136,0.6863,0.9384,0.05320806124844204,0.5298920901408022
13,13,0.5905,0.6921,0.9399,0.054119007623091554,0.5250261622657028
14,14,0.5693,0.6968,0.9407,0.04856437803147541,0.5261369147406447
15,15,0.5563,0.6987,0.9414,0.04844651383901363,0.5348813876855864
16,16,0.5415,0.7008,0.942,0.05231512596829538,0.5316680242189058
17,17,0.5228,0.7039,0.9426,0.050226276925522256,0.5304925701439916
18,18,0.5087,0.7031,0.9431,0.0510494246388159,0.5309861395829915
19,19,0.4896,0.7065,0.9437,0.05486216196489175,0.534866194687716
20,20,0.4807,0.7134,0.9448,0.051532848284884795,0.5364795448590814
21,21,0.4687,0.7113,0.9454,0.05171031758684805,0.5378536936465992
22,22,0.4573,0.7123,0.9452,0.04790730071822735,0.5382266522217818
23,23,0.4421,0.7177,0.9463,0.046053131979767854,0.5312155173417722
24,24,0.4314,0.7168,0.9463,0.05128857128709308,0.5390821142625708
25,25,0.4228,0.7149,0.946,0.04794459632205855,0.5350954580146071
26,26,0.4097,0.7192,0.9468,0.05061193538515244,0.5353032706012116
27,27,0.4046,0.72,0.9471,0.05077289392037242,0.5353307801291391
28,28,0.3924,0.7231,0.9473,0.04928238856089598,0.5318606228807767
29,29,0.6864,0.7245,0.9484,0.04644074720014183,0.5378193852695272
30,30,0.4444,0.6889,0.9421,0.05041719717762224,0.5431653194596477
31,31,0.4209,0.6879,0.9428,0.05783596951402968,0.5486081978271772
32,32,0.4133,0.6942,0.9427,0.051482082675192054,0.5446963183954069
33,33,0.4008,0.7,0.9435,0.049876525100970265,0.5457857789211078
34,34,0.3903,0.6974,0.9438,0.05157284269580374,0.547397005654944
35,35,0.3776,0.6961,0.9435,0.05158913288417578,0.5487916425645978
36,36,0.3734,0.7031,0.9442,0.05830650420116437,0.5540586546736023
37,37,0.3668,0.7,0.9439,0.055210736549531514,0.5562936977495859
38,38,0.3575,0.701,0.9448,0.053845235204654444,0.5570499560082885
39,39,0.3482,0.704,0.9447,0.05136459176720067,0.5545862958579226
40,40,0.3455,0.7041,0.945,0.0490316572570883,0.5588031912716532
41,41,0.3371,0.7036,0.9456,0.05241511228235295,0.5573861941612673
42,42,0.3307,0.7058,0.9451,0.04354520998319869,0.5524194829950885
43,43,0.3227,0.7081,0.9459,0.05528720214297042,0.5573798098443805
44,44,0.3177,0.7069,0.9455,0.05400122855248661,0.5560541045728827
45,45,0.3118,0.7093,0.9464,0.05181180753051222,0.5518855294174809
46,46,0.3057,0.7122,0.9466,0.05900134851114991,0.5592581982767854
47,47,0.2986,0.714,0.9467,0.05319738615261785,0.557585474386701
48,48,0.2963,0.7127,0.9468,0.05522560601928029,0.5610134785562545
49,49,0.2859,0.7146,0.9467,0.04982783015391787,0.5574305605104255
