step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4417,0.1139,0.4904,0.07376400765204914,0.5169422489130984
1,1,1.3287,0.5187,0.8688,0.06154429529344721,0.5212343455388174
2,2,1.1242,0.5806,0.8913,0.07000609113967363,0.5251816053204074
3,3,1.009,0.6031,0.904,0.06777736644968757,0.5273714716526994
4,4,0.9297,0.6259,0.9126,0.06335792666666057,0.5250134858886314
5,5,0.8595,0.6431,0.9193,0.06261302746055135,0.5307571165411096
6,6,0.8092,0.6481,0.9233,0.05984153018897743,0.5277886181746463
7,7,0.7657,0.6596,0.9266,0.058656446428248646,0.5269720090092412
8,8,0.7248,0.6653,0.93,0.06572621893508022,0.5357411258406474
9,9,0.6947,0.6732,0.9323,0.054482423499169395,0.5264382893475226
10,10,0.6663,0.6779,0.9336,0.06215135361122092,0.5387928730790399
11,11,0.6388,0.6829,0.9354,0.051294338061442075,0.5289901201455401
12,12,0.612,0.687,0.9376,0.049570657193967284,0.5341417662654141
13,13,0.5908,0.6914,0.9386,0.06036107605154722,0.5383393659715502
14,14,0.574,0.6942,0.9397,0.05381323341932735,0.5332403768172663
15,15,0.5537,0.6972,0.9404,0.055559221294502366,0.5313149795075055
16,16,0.5346,0.7031,0.9418,0.05262513741133672,0.5371038734657602
17,17,0.5187,0.7009,0.9419,0.05453329608523459,0.5328598007147287
18,18,0.5034,0.7026,0.9425,0.055954368123869815,0.5363399399519959
19,19,0.4895,0.7083,0.9433,0.052278093023868655,0.5329234854331428
20,20,0.4724,0.7127,0.9445,0.055128857610975315,0.5320886905053255
21,21,0.4619,0.711,0.9447,0.0566506480980967,0.5382135740316571
22,22,0.4517,0.713,0.945,0.05280695618169018,0.534098267131754
23,23,0.4375,0.7121,0.9454,0.050508814930510584,0.5322509465633573
24,24,0.4263,0.718,0.946,0.050119997916851164,0.537255102833165
25,25,0.4163,0.717,0.9464,0.04763892971826334,0.5302251934964798
26,26,0.4064,0.7207,0.9472,0.04570167800764511,0.5351044863854189
27,27,0.3971,0.7185,0.9468,0.04493519518697375,0.5306305764508595
28,28,0.3869,0.7219,0.948,0.05085717932921366,0.5403236390909812
29,29,0.6656,0.7246,0.9478,0.0496362303968037,0.5347459586343999
30,30,0.4376,0.695,0.9428,0.0497766268025254,0.5367661443462645
31,31,0.4163,0.6946,0.9432,0.049994583505627854,0.5361343412792482
32,32,0.4003,0.6969,0.9435,0.048883618925194654,0.5410716912296222
33,33,0.3919,0.7009,0.944,0.04473965117910043,0.5444550630565193
34,34,0.384,0.6983,0.9434,0.05269442455154959,0.5466124241314988
35,35,0.3717,0.7035,0.9442,0.046339483418768306,0.5492502182924847
36,36,0.3651,0.7021,0.9446,0.04984429347626897,0.5474197039239742
37,37,0.3567,0.7077,0.9446,0.04764381471881656,0.5493462817396034
38,38,0.348,0.7102,0.9454,0.05011479672005575,0.5479074658537075
39,39,0.3438,0.7084,0.9454,0.05522554526871233,0.5530938438988697
40,40,0.3367,0.71,0.9455,0.0587898238240168,0.5552002502943468
41,41,0.3291,0.7145,0.9464,0.04810345748482275,0.551295714741506
