step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4417,0.1139,0.4904,0.08150334948480586,0.5259952956946383
1,1,1.3273,0.5231,0.8691,0.07372403510125086,0.5200158556827235
2,2,1.1315,0.5745,0.8911,0.06759112016416237,0.5297974211736184
3,3,1.0214,0.6037,0.9022,0.07059335107306475,0.522355718869685
4,4,0.9326,0.6281,0.9119,0.060886322256958114,0.5299313834014182
5,5,0.8682,0.6381,0.9179,0.056955166828053176,0.5269265274504457
6,6,0.8173,0.6471,0.9225,0.06949495029652424,0.5321088943704415
7,7,0.7765,0.657,0.9259,0.058737477032425774,0.5294806999214812
8,8,0.7359,0.6627,0.9287,0.05654347898600458,0.5307271898440575
9,9,0.7024,0.6733,0.9317,0.05872693066544659,0.5344785318346544
10,10,0.6724,0.6733,0.9333,0.06060325976525713,0.5357594801284222
11,11,0.6463,0.6821,0.9349,0.05771384362554911,0.5280006839081628
12,12,0.6203,0.6847,0.9365,0.05765502448666544,0.5365525283191438
13,13,0.5989,0.6868,0.9376,0.05884047658750229,0.5351772250138037
14,14,0.5799,0.6907,0.9388,0.05054222661819739,0.5305371430259199
15,15,0.5595,0.6954,0.9398,0.049237819728231345,0.5254446633739468
16,16,0.5403,0.7001,0.9408,0.052666977139259205,0.5331565001230635
17,17,0.5242,0.7021,0.942,0.04825751570285803,0.5229834713508292
18,18,0.5077,0.7051,0.9429,0.050484943905586006,0.5261136423013916
19,19,0.4937,0.7025,0.943,0.05155464931862328,0.5310567506807037
20,20,0.4826,0.7061,0.9437,0.051689775615985485,0.5308720936858462
21,21,0.4685,0.7101,0.9439,0.053282883510833955,0.5282114873997729
22,22,0.4532,0.7125,0.9447,0.04984044497918758,0.5251914716693016
23,23,0.4452,0.7113,0.9454,0.04684289605180668,0.5260956191232664
24,24,0.4293,0.7135,0.9458,0.05266826428488687,0.5284053838885319
25,25,0.4215,0.716,0.9461,0.04911887864773756,0.5281150729824478
26,26,0.4107,0.7185,0.9471,0.046460514167791477,0.5287115565399253
27,27,0.4034,0.7146,0.9467,0.046690421052939496,0.5325758428946669
28,28,0.3931,0.724,0.9475,0.0480890169407723,0.5273164639714312
29,29,0.6716,0.7184,0.9474,0.050279587160574526,0.5307928130009419
30,30,0.4387,0.6934,0.9427,0.04907367894984664,0.5356323319831632
31,31,0.4252,0.6887,0.9425,0.04783135014053727,0.533900400467228
32,32,0.4074,0.6937,0.9424,0.047834028014972184,0.5385489662776209
33,33,0.4004,0.6963,0.9431,0.05244145410377869,0.5417071778584601
34,34,0.3915,0.7019,0.9438,0.05200993196027608,0.5438100964972221
35,35,0.3817,0.6977,0.9436,0.05021511264595371,0.543716514314601
36,36,0.3716,0.6996,0.9438,0.047009856283834944,0.5459464276824221
37,37,0.3644,0.7005,0.9442,0.04538389300084404,0.5452129461537258
38,38,0.3588,0.7056,0.9448,0.04953032760119634,0.5505404744537189
39,39,0.3494,0.7069,0.9447,0.05215039997248087,0.5464840238286024
40,40,0.342,0.7026,0.9452,0.050827221990525515,0.5493117704736784
41,41,0.3379,0.7051,0.9453,0.04459863699537281,0.5455508513078062
42,42,0.3326,0.712,0.9454,0.04676800763024562,0.5476686400754264
43,43,0.3235,0.7086,0.9456,0.051332723737948754,0.5472010864960253
44,44,0.3163,0.7119,0.9462,0.05152532549934145,0.552540915768765
45,45,0.3141,0.7112,0.946,0.04828286848947335,0.5492052891700883
46,46,0.3077,0.7114,0.9463,0.04996038134081057,0.5537741677493513
47,47,0.3018,0.714,0.9467,0.04854424026610258,0.5556054393865223
48,48,0.2995,0.7144,0.9468,0.0511765399073373,0.5552321277831394
49,49,0.2934,0.7183,0.9468,0.05206203806252865,0.5589711866561071
50,50,0.2845,0.7155,0.9472,0.04950681275066043,0.5566766593088351
51,51,0.2826,0.7167,0.9471,0.050822220890911075,0.5606943329007947
52,52,0.2809,0.72,0.9471,0.04777227878653412,0.5577076471593662
53,53,0.2705,0.7202,0.9475,0.053861329640958015,0.56228952215633
54,54,0.269,0.718,0.9475,0.048281593599440974,0.5537105458919208
55,55,0.2601,0.7209,0.9484,0.050451564368729274,0.5631705080060165
56,56,0.259,0.7195,0.9485,0.04643548995115957,0.5579839947915091
57,57,0.2527,0.7212,0.9485,0.04738032090227521,0.5587942533572503
58,58,0.2505,0.7238,0.9484,0.05067240997278283,0.5623233947228373
59,59,0.2448,0.7214,0.9485,0.052768215291468024,0.5628564312377389
60,60,0.2417,0.7225,0.9483,0.05177250767435885,0.5622332608026408
61,61,0.2392,0.7243,0.9489,0.047656890048040336,0.5620508228517355
62,62,0.2314,0.7252,0.9492,0.05219054373628093,0.5612860838962088
63,63,0.229,0.7242,0.9487,0.04890272131752923,0.5573548341081105
64,64,0.2268,0.7237,0.9492,0.054295339119885294,0.5622190910199868
65,65,0.2212,0.7205,0.9492,0.04613161421509985,0.5647392111044435
66,66,0.2185,0.7247,0.9494,0.04877495119778266,0.5670916095970987
67,67,0.2122,0.7279,0.9498,0.05239849669059897,0.567786140794025
68,68,0.2108,0.7303,0.9505,0.05028934781989073,0.5677805849471614
69,69,0.2093,0.7277,0.9502,0.050570318414057125,0.5686585518249408
70,70,0.2034,0.7304,0.9503,0.05861707625260614,0.5651509736663421
71,71,0.2027,0.7265,0.9499,0.05494648423392076,0.5651840938591068
72,72,0.1991,0.7309,0.9506,0.05206272561116108,0.565249704971048
73,73,0.1963,0.7286,0.9503,0.04954971516311629,0.562819762264496
74,74,0.1929,0.7317,0.9507,0.05306576917504139,0.5671679870374394
75,75,0.1893,0.7274,0.9505,0.05123882429007134,0.5682867146946146
76,76,0.1878,0.7275,0.9504,0.04990227297030625,0.5661912164767603
77,77,0.1831,0.7275,0.9503,0.05677535612344098,0.5685921690727526
78,78,0.1788,0.7323,0.9508,0.047869733129334846,0.5678965649360332
79,79,0.178,0.7287,0.9508,0.0496209643691764,0.5661939441440763
80,80,0.1745,0.7318,0.9514,0.05820978097093333,0.5730868780759641
81,81,0.1722,0.7276,0.951,0.052564423530597114,0.5697568773147146
82,82,0.17,0.7324,0.9518,0.05411032028682364,0.569913037513416
83,83,0.168,0.7292,0.951,0.049143073066879706,0.5710963499619673
84,84,0.1659,0.7322,0.9516,0.04893154281822288,0.5709175748604656
85,85,0.1613,0.7328,0.9517,0.05502463556504329,0.5702222303496585
86,86,0.1587,0.7374,0.9518,0.04560187005696755,0.5702463287911149
