tag,file,rounds_seen,best_acc,best_round,final_acc,final_auc,final_train_loss,final_asr,final_attack_auc,mean_acc_last_10,mean_asr_last_10,mean_round_time
alpha_0p70,alpha_0p70_20260410_145723.log,801,0.7839547270306259,781,0.7828,0.9649,0.001,0.06330568883864027,0.5901156169305191,0.78094,0.06194583264050897,25.788640166936297
alpha_0p80,alpha_0p80_20260410_145723.log,801,0.7837050599201065,791,0.7826,0.965,0.0009,0.0640694743753362,0.6031137593539144,0.78156,0.06264345851602315,25.688284171208014
alpha_0p90,alpha_0p90_20260410_145723.log,801,0.7837050599201065,797,0.7819,0.9651,0.001,0.06540587737580768,0.5942651180406001,0.78178,0.06533098890920544,25.939703553505755
alpha_0p95,alpha_0p95_20260410_145723.log,801,0.7862017310252996,783,0.7817,0.9656,0.001,0.06994201682606861,0.5991047846937112,0.78286,0.07053436335887787,26.21822860773732
tau_10,tau_10_20260410_145723.log,801,0.7842043941411452,795,0.7825,0.9651,0.001,0.0715940906162504,0.5941812025632867,0.7819499999999999,0.06351098486718078,25.98713550793842
tau_12,tau_12_20260410_145723.log,801,0.7830392809587217,789,0.7782,0.9647,0.0009,0.06385662739143835,0.5941264642706405,0.77995,0.06133887781108742,25.93504827269603
tau_16,tau_16_20260410_145723.log,801,0.784953395472703,784,0.7829,0.9653,0.0009,0.0694193965118398,0.6050636967636683,0.78088,0.070608201358634,25.37032743190856
tau_6,tau_6_20260410_145723.log,801,0.7851198402130493,758,0.7778,0.964,0.0039,0.06984661267079309,0.6019231039240864,0.78054,0.06711687976388545,26.295888200978958
tau_8,tau_8_20260410_145723.log,801,0.7832057256990679,780,0.7778,0.9648,0.0016,0.06553775674704639,0.5865695811580783,0.77973,0.0627584961525526,26.252859571899815
trim_0p00,trim_0p00_20260410_145723.log,801,0.7856191744340879,797,0.7813,0.9654,0.0009,0.06408857938084687,0.5997659658059259,0.783,0.06562113767653802,26.153344392181186
trim_0p05,trim_0p05_20260410_145723.log,801,0.7829560585885486,799,0.7804,0.9646,0.0012,0.05946101830836406,0.5888835820854512,0.7808900000000001,0.06082673999729945,25.832312790195594
trim_0p10,trim_0p10_20260410_145723.log,801,0.7812916111850865,781,0.7788,0.9643,0.0013,0.06668620004303574,0.5924962473447322,0.7794800000000001,0.06420162766932355,26.010321288221935
