step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.015149758454106281,0.7303945252746429
1,10,4.9441,0.3087,0.7247,0.8437971014492753,0.8812945821741359
2,20,2.5643,0.4261,0.8205,0.7870610123613219,0.8355318582573692
3,30,2.1791,0.4615,0.8455,0.7193055151234465,0.8054711351389091
4,40,1.7316,0.5125,0.8779,0.6186588059065277,0.7366861076535846
5,50,1.2529,0.5394,0.898,0.5578227815902888,0.692314935160788
6,60,1.2002,0.569,0.9052,0.5109801271296297,0.6571753751850716
7,70,1.3313,0.5305,0.8915,0.4706018373642095,0.6297665606261964
8,80,1.1692,0.5794,0.9094,0.4237947212558793,0.6170758677975606
9,90,1.1574,0.5825,0.9108,0.39224995086627773,0.5821799567399608
10,100,1.1319,0.5818,0.9116,0.356672342385875,0.5421513441596236
11,110,1.1469,0.6011,0.9146,0.2981006588782686,0.49326784636931215
12,120,1.2036,0.5988,0.913,0.2729422315659633,0.47625304428072146
13,130,1.0686,0.6206,0.9212,0.249950399534068,0.4678851017105845
14,140,0.9863,0.6368,0.9271,0.23198108273778822,0.44101108049728427
15,150,0.9727,0.6413,0.9281,0.194244895595762,0.4314200023935475
16,160,0.9813,0.6471,0.9283,0.1844097645070752,0.41731819479962906
17,170,0.9364,0.6684,0.9313,0.18914046194022574,0.4228151286505091
18,180,0.9088,0.657,0.9334,0.14944371133478043,0.3925955940628434
19,190,0.8816,0.6697,0.9362,0.14467702116713255,0.3920192186151988
20,200,0.8787,0.6771,0.9366,0.1496775582226681,0.4088447902261296
21,210,0.8933,0.6713,0.9353,0.14125708380064805,0.41161383217381287
22,220,0.8899,0.6863,0.9392,0.1306546257538267,0.4071014999676031
23,230,0.8201,0.7016,0.9417,0.14024390294297112,0.4237797501233091
24,240,0.8167,0.7038,0.9425,0.14210228748132397,0.43194203515401386
25,250,0.7762,0.7103,0.9439,0.11834269393363843,0.4015301827013349
26,260,0.7887,0.7104,0.9445,0.11004827534557798,0.41761028047495785
27,270,0.7647,0.7182,0.9463,0.10960918503643388,0.43388694924248616
28,280,0.733,0.7199,0.9486,0.11209463302720124,0.4270550287443245
29,290,0.7245,0.7293,0.9488,0.1107699793767496,0.4410923149986822
30,300,0.7343,0.7283,0.9475,0.1025985508909961,0.4389654645580358
31,310,0.714,0.7211,0.9481,0.10496291664531987,0.4495685258916016
32,320,0.6856,0.7309,0.9492,0.10200732687879067,0.44171418437958054
33,330,0.677,0.7315,0.951,0.10725984715454286,0.44367500897985174
34,340,0.6722,0.7376,0.9512,0.10524553881005962,0.4545294193813335
35,350,0.6843,0.7357,0.9488,0.10679879203582454,0.4637380895937264
36,360,0.6065,0.7445,0.9529,0.09012906830342556,0.4532656205681748
37,370,0.5577,0.7556,0.9566,0.0969649074005364,0.4703575127944829
38,380,0.5681,0.7582,0.955,0.09431400693550995,0.4704924035768754
39,390,0.5947,0.7614,0.9548,0.09878884239018164,0.4826469712791176
40,400,0.5779,0.7614,0.9518,0.09946839844452023,0.48299416946955054
41,410,0.5508,0.7593,0.9533,0.09130289344098297,0.464234735161803
42,420,0.5735,0.7575,0.955,0.05560085351321848,0.437317348572864
43,430,0.5647,0.7586,0.9545,0.05956534219393775,0.43558090261034144
44,440,0.5163,0.7702,0.9579,0.04556650566978849,0.4221718687495551
45,450,0.5698,0.768,0.956,0.05643488560738717,0.4518064440222625
46,460,0.4947,0.7754,0.958,0.050496164124762995,0.441554043812601
47,470,0.4444,0.7795,0.961,0.04567509304145994,0.448619329259354
48,480,0.4949,0.7769,0.9595,0.0572636727781469,0.4678202672709422
49,490,0.4546,0.7774,0.9598,0.05814236593648398,0.4591093559269018
50,500,0.4524,0.7809,0.9597,0.05470605094168856,0.4627677655397834
51,510,0.4179,0.7788,0.9612,0.052541837794297996,0.45842332849278083
52,520,0.4205,0.7811,0.9602,0.06140252256557441,0.4738613482227047
53,530,0.4044,0.7792,0.9594,0.058562034951122846,0.447165027752965
54,540,0.4249,0.7767,0.9597,0.05654884863644618,0.43785983380272764
55,550,0.4023,0.7776,0.9615,0.05859624553453252,0.4496194561812596
56,560,0.4172,0.7714,0.962,0.05497068361370453,0.4529770679727901
57,570,0.4907,0.7599,0.959,0.05087216864133985,0.4327935251749854
58,580,0.4969,0.7664,0.9579,0.05522246277188975,0.4403696172970642
59,590,0.3767,0.7857,0.9628,0.06680655581019398,0.47108458543173026
60,600,0.362,0.7804,0.9599,0.053573243164535926,0.4451164733136069
61,,,,,0.05143009721025172,0.4431467191376804
62,,,,,0.0562336843691477,0.45060419718389766
63,,,,,0.05763628329785217,0.4459487397200143
64,,,,,0.05137825051269859,0.4467540636261663
65,,,,,0.048177787312454444,0.4389799375080206
66,,,,,0.056555157657676595,0.44300199960977116
67,,,,,0.058085127884603446,0.450645409015005
68,,,,,0.06562482096234652,0.47679037447945993
69,,,,,0.04233445375173354,0.4375971794480059
70,,,,,0.03895057349611646,0.42928539122419673
71,,,,,0.04621943466861902,0.45920508282326106
72,,,,,0.04564344168813498,0.4714055753411786
73,,,,,0.052853701252416764,0.47300190904141437
74,,,,,0.04835308637176296,0.4676402251387003
75,,,,,0.05426860928564968,0.4857726499302643
76,,,,,0.05360597125698364,0.4866627002154221
77,,,,,0.04878558922378324,0.48050322572119136
78,,,,,0.05529148655660051,0.4985640579709422
79,,,,,0.04652052213823935,0.4804389661253152
80,,,,,0.05320701711371015,0.4831410778125126
81,,,,,0.05631273450489894,0.4829728833929129
82,,,,,0.06327399514230983,0.48868154567182953
83,,,,,0.07236540946670098,0.5044417173760816
84,,,,,0.08499573303084497,0.5179243105587006
85,,,,,0.06602780588017917,0.5166645056518826
86,,,,,0.05890788173896069,0.4974159117494371
87,,,,,0.06093388578914112,0.4911026616533265
88,,,,,0.05332802729333297,0.4822708484908021
89,,,,,0.051167271644552946,0.47203384316304564
90,,,,,0.058146792751216786,0.4883593785446403
91,,,,,0.05727677232136476,0.4704317059157231
92,,,,,0.06256370734208241,0.4923540299205139
93,,,,,0.06663414880997891,0.5089674494562826
94,,,,,0.06885702878509543,0.511900785871825
95,,,,,0.06678321697664011,0.5147481753687847
96,,,,,0.06130385000889414,0.5061811650281497
97,,,,,0.059381810109324015,0.5005444452707978
98,,,,,0.052326877331530686,0.49075489016339763
99,,,,,0.04961210564450141,0.4759894585461255
100,,,,,0.05360305185020479,0.4865431359274922
101,,,,,0.05629807858920456,0.4864170446652519
102,,,,,0.06603815567563713,0.497800766709212
103,,,,,0.06125600923343016,0.5024313029332262
104,,,,,0.06043139145282936,0.49951478677499855
105,,,,,0.05157095384593434,0.479907213439325
106,,,,,0.05492242733152542,0.4898956631463207
107,,,,,0.06184206637010721,0.4941488846051239
108,,,,,0.06674421839166522,0.4926892585049414
109,,,,,0.06626296458677478,0.49007995413460786
110,,,,,0.0619298458752334,0.4909949919644381
111,,,,,0.05562019112118873,0.4735670074113058
112,,,,,0.06413607607498023,0.4785128633474765
113,,,,,0.06231223832962924,0.4808867178137121
114,,,,,0.06474812996239346,0.4786752771667315
115,,,,,0.05478411681436943,0.4729534550918536
116,,,,,0.06264390771331779,0.4798196886545282
117,,,,,0.059122527170254104,0.4853383376147268
118,,,,,0.06065936230624781,0.48386598184711527
119,,,,,0.0691811411863765,0.4885968821191446
120,,,,,0.06127191302273742,0.49044769618769823
121,,,,,0.06354012124831551,0.5010204589175649
122,,,,,0.0667616194735264,0.5053383502354337
123,,,,,0.049784598033289995,0.48800554899688364
124,,,,,0.05470797233146053,0.4964735847036987
125,,,,,0.05937610090588492,0.5012105725603938
126,,,,,0.05757560870279107,0.4896403294027545
127,,,,,0.06534721814151528,0.5036444938350045
128,,,,,0.06414133106050704,0.49924085175947924
129,,,,,0.05900675148145684,0.4911319232191824
130,,,,,0.05588411056498192,0.4936389406182594
131,,,,,0.05499247348432503,0.4983343604075895
132,,,,,0.06409809193462014,0.49944042975167924
133,,,,,0.06828293365027982,0.4949159151054394
134,,,,,0.07117455661745233,0.4989794257084504
135,,,,,0.06389160099741381,0.4877241766637647
136,,,,,0.06049140559860227,0.4858804847653891
137,,,,,0.06280132176437819,0.5018524871457504
138,,,,,0.06246384236760116,0.5009705807128664
139,,,,,0.060430643680812274,0.4982129545572042
140,,,,,0.06223911341396678,0.4957982336431099
141,,,,,0.06541471836356706,0.5007575656379919
142,,,,,0.06635683448232589,0.5022768034494797
143,,,,,0.05654107141767129,0.4954831609045213
144,,,,,0.05729983001291128,0.499617783906185
145,,,,,0.04619729752333045,0.48879279157064914
146,,,,,0.05039345867642283,0.48313051568472043
147,,,,,0.0543277682813626,0.4926823955853866
148,,,,,0.05793668046512507,0.49730744687033346
149,,,,,0.05565916436738117,0.4992997318601355
150,,,,,0.05630799548691977,0.49897994757927894
151,,,,,0.0593342479792177,0.5056515922137269
152,,,,,0.05420471887153843,0.505159457457743
153,,,,,0.06212844183859994,0.5132831649899643
154,,,,,0.06065762843696374,0.5064444572515026
