step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.016606929510155317,0.7257648997414695
1,10,3.4335,0.3058,0.7192,0.01845767511836807,0.722888267756885
2,20,1.9184,0.4008,0.8029,0.01848466558305674,0.7931461265639287
3,30,1.5032,0.4822,0.8589,0.020586298716982414,0.7638424663468577
4,40,1.4753,0.49,0.8624,0.03145948486166728,0.6802821721491742
5,50,1.4058,0.5081,0.8762,0.5363758721304447,0.6985738225556852
6,60,1.2384,0.5459,0.8981,0.40967483498116686,0.6683922130123103
7,70,1.2134,0.5546,0.9031,0.41684101842777915,0.6440617612089562
8,80,1.137,0.5738,0.9116,0.44974505330765824,0.6339985565351726
9,90,1.0932,0.581,0.9143,0.2977130637561294,0.5836795036795941
10,100,1.0608,0.6093,0.9203,0.3818176032008711,0.6014470191255519
11,110,1.0506,0.6105,0.9216,0.017020749085517244,0.5677718356988002
12,120,1.0253,0.6144,0.9237,0.026784543665640585,0.5276674065776055
13,130,0.9614,0.6358,0.9286,0.014766296785689019,0.4971101465529746
14,140,0.9397,0.645,0.9322,0.017724938350331874,0.4654925118540507
15,150,1.0671,0.6276,0.9243,0.01798074329896713,0.41675298514331005
16,160,0.9605,0.6394,0.9293,0.021933344632987125,0.4112183973970842
17,170,0.9452,0.6452,0.9292,0.031465364977940405,0.46754818712625984
18,180,0.8813,0.6566,0.9353,0.03177820703742651,0.47988269928577093
19,190,0.8801,0.6619,0.9351,0.0467450070203112,0.4967233463038693
20,200,0.9129,0.6586,0.935,0.058794215376941406,0.5119326410780843
21,210,0.9049,0.6514,0.9356,0.054855125857048236,0.5010466101130029
22,220,0.8528,0.6677,0.9385,0.05781549532533085,0.5110384825938165
23,230,0.7755,0.6954,0.9445,0.039601171407864545,0.4746715708129102
24,240,0.7834,0.6902,0.9435,0.04321393906686578,0.4900655486468818
25,250,0.8233,0.6857,0.9417,0.04026583683073247,0.4815085582641301
26,260,0.7925,0.7005,0.943,0.045708727396408674,0.48578685751249545
27,270,0.8171,0.6963,0.9424,0.04787366577727774,0.4797543231403537
28,280,0.7915,0.6903,0.9414,0.039458403619506054,0.4693085534140236
29,290,0.7434,0.7045,0.9454,0.03680112473122484,0.47073508507763934
30,300,0.8509,0.7036,0.943,0.037977672243268645,0.46135830736942146
31,310,0.7279,0.7176,0.9472,0.0426947416809172,0.4541364174632712
32,320,0.7933,0.7119,0.9432,0.04124274549260258,0.4604913015866585
33,330,0.7027,0.7288,0.9487,0.05043842476240186,0.48864418009914873
34,340,0.6435,0.7432,0.951,0.04139121679160171,0.46405110524174764
35,350,0.6175,0.7424,0.9546,0.03939266087432671,0.464617878274515
36,360,0.7089,0.7255,0.9481,0.0365293968315935,0.45335611913281604
37,370,0.6203,0.7428,0.9524,0.026256128013059862,0.41684034318335905
38,380,0.6287,0.7392,0.9527,0.03152324450546272,0.4243457680874229
39,390,0.6328,0.7458,0.9528,0.02303414608688757,0.4437307709980354
40,400,0.5417,0.7566,0.9566,0.031421501891279034,0.4408703488141659
41,410,0.6667,0.7289,0.949,0.03503578190107737,0.45934831246335284
42,420,0.6295,0.7354,0.952,0.05131447736379858,0.48011256500646765
43,430,0.5871,0.7419,0.9553,0.0418683347499737,0.45723106028909144
44,440,0.6348,0.7255,0.9492,0.0543882434117518,0.4763289577951412
45,450,0.535,0.7494,0.9561,0.05973102218166291,0.4772887499556312
46,460,0.6873,0.7589,0.9547,0.05552659418428134,0.476197126091318
47,470,0.4972,0.7656,0.9593,0.05217256788594058,0.4663162281468959
48,480,0.5486,0.7505,0.9556,0.05404920900160123,0.4640166719313912
49,490,0.4565,0.7701,0.9606,0.0602070320621667,0.467849674149701
50,500,0.4923,0.7691,0.9574,0.05463721564551683,0.4574368469915278
51,510,0.5448,0.7598,0.9559,0.050540784132575046,0.45126064251688736
52,520,0.8608,0.7387,0.9439,0.04279039329580778,0.4536020976002461
