step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.0,0.7063307892103033
1,10,3.3687,0.3214,0.7235,0.00010683760683760684,0.7501651932866145
2,20,1.7574,0.4469,0.8297,0.0037037037037037034,0.701850737833476
3,30,1.5618,0.4767,0.8634,0.003681395681395682,0.7379268401343277
4,40,1.3537,0.5171,0.8909,0.004212962962962963,0.5316898695763884
5,50,1.409,0.5212,0.8955,0.019478891572205764,0.5857205720422424
6,60,1.3714,0.5404,0.8967,0.017226432476308066,0.629877784962867
7,70,1.2163,0.5497,0.9009,0.01832414543975859,0.6045102697257444
8,80,1.0931,0.5844,0.9125,0.41650065233732236,0.6403393139519967
9,90,1.0545,0.6072,0.9175,0.3698225225802248,0.6134526811018151
10,100,1.011,0.6218,0.9195,0.33549663450513173,0.5802176652404426
11,110,0.9596,0.6374,0.9257,0.3414659333489446,0.561167475549865
12,120,0.9384,0.6462,0.9316,0.2963525936751032,0.5195021863053118
13,130,0.9096,0.6644,0.9309,0.2437480453582787,0.4699130787746169
14,140,0.9147,0.6487,0.9289,0.20144969638741542,0.4677260128166615
15,150,0.9207,0.6413,0.9283,0.17470314820119492,0.44100236386526337
16,160,0.8574,0.6669,0.9326,0.15593995839515984,0.4288964576068548
17,170,0.8381,0.6749,0.937,0.12391779612765295,0.4089656563278633
18,180,0.8139,0.6869,0.9411,0.12212228393580811,0.4221068591562848
19,190,0.7927,0.6947,0.9411,0.11060279752445587,0.43106572417343875
20,200,0.8337,0.6804,0.9396,0.10478427868156374,0.4355128329592826
21,210,0.7616,0.6928,0.9423,0.10679451485078312,0.4378736528710976
22,220,0.7254,0.7106,0.9465,0.08630114058915764,0.4294335683949844
23,230,0.6661,0.7215,0.9471,0.0748385771908719,0.4349420349818604
24,240,0.6426,0.7314,0.9492,0.06414412544791347,0.43141247573515173
25,250,0.6753,0.7151,0.9477,0.06467948368579737,0.4217481970418375
26,260,0.6203,0.7297,0.9515,0.06806608444939714,0.4451074947112935
27,270,0.6081,0.7294,0.9508,0.046315183469099845,0.4348807317069502
28,280,0.6574,0.7139,0.9486,0.055732667539174614,0.4481121474286744
29,290,0.5899,0.7299,0.9516,0.06815027872330609,0.4421098032829131
30,300,0.5606,0.7384,0.9521,0.06108886106294029,0.4404026835319673
31,310,0.5143,0.7492,0.956,0.05999358813467388,0.4530839697666724
32,320,0.4721,0.7608,0.9587,0.05771176393499612,0.46661610077959226
33,330,0.5232,0.7479,0.9541,0.05463765772411498,0.44213184881641915
34,340,0.4708,0.7591,0.9577,0.06166110253673547,0.4687555160359521
35,350,0.5774,0.7289,0.9476,0.0646760229501446,0.4707516432308323
36,360,0.4784,0.7505,0.9554,0.06767296767026362,0.4741935605663729
37,370,0.4299,0.7578,0.9577,0.07195367766330914,0.48822715256605104
38,380,0.401,0.7625,0.9581,0.0762496738897299,0.5031408894556594
39,390,0.4302,0.7569,0.9564,0.0717090972741811,0.48897290231938206
40,400,0.4326,0.7499,0.9568,0.07217262311806033,0.4948175416649428
41,410,0.3747,0.7535,0.9576,0.07425936749806372,0.48692262178190177
42,420,0.334,0.7622,0.9588,0.08637290545707856,0.5105158477041758
43,430,0.3452,0.7572,0.9575,0.07435534898329808,0.47481903227404587
44,440,0.2841,0.7672,0.9607,0.07274022416988216,0.467141504940459
45,450,0.2815,0.769,0.9598,0.058022096657324905,0.47222115191826675
46,460,0.2806,0.7642,0.9593,0.06675940972767024,0.4872482474013818
47,470,0.322,0.7555,0.9573,0.07481342922689384,0.4978393078671502
48,480,0.2843,0.7638,0.9592,0.07797649062340681,0.5131648470706799
49,490,0.2591,0.7734,0.9605,0.08994834024669918,0.5206327568634935
50,500,0.2277,0.7712,0.9603,0.07921799119662866,0.5035652922770055
51,510,0.2012,0.7702,0.9602,0.07327081029490173,0.5193516223136817
52,520,0.2145,0.7585,0.9598,0.07220303119798294,0.5078068321480121
53,530,0.1867,0.7711,0.9611,0.06717913141181223,0.5224478039970913
54,540,0.1236,0.7822,0.9636,0.07510874412627254,0.5158556784861813
55,550,0.1927,0.7653,0.9589,0.0774230375221974,0.5136651312646264
56,560,0.2063,0.76,0.9595,0.06677071800879544,0.4966182816303396
57,570,0.177,0.7663,0.9603,0.06934535843006608,0.5120322797811239
58,580,0.2454,0.7525,0.9567,0.07233212070253958,0.5093808120535553
59,590,0.1729,0.7662,0.9591,0.07762151146459707,0.5165691305838128
60,600,0.1503,0.7704,0.9605,0.0614113299329866,0.49033287388715957
61,,,,,0.07087712302502229,0.5144717862242535
62,,,,,0.07330991922535965,0.5189897813385881
63,,,,,0.05731915624220662,0.48934770926403853
64,,,,,0.05653470511813097,0.47876799835400374
65,,,,,0.05787877832884558,0.512334146625148
66,,,,,0.04819948429599759,0.49997569087343385
67,,,,,0.0571977258514677,0.4727678830936233
68,,,,,0.061878360580440085,0.4743960015094437
69,,,,,0.050729400603402176,0.4559581452583279
70,,,,,0.051145240476042776,0.45910224478692696
71,,,,,0.05401270099859167,0.475021859525746
72,,,,,0.05526365762460026,0.47244187471336513
73,,,,,0.06824466634232478,0.48797642097563504
74,,,,,0.06419780134931286,0.5127484783918068
75,,,,,0.06198640483463408,0.5020166650105243
76,,,,,0.06540691109369369,0.5127901574024399
77,,,,,0.05912307211977133,0.5139798554241459
78,,,,,0.061852450729333736,0.5175657135491182
79,,,,,0.07078636973998989,0.5294500470820315
80,,,,,0.06483429785387561,0.5176694519782424
81,,,,,0.05936599636256782,0.5009402412817126
82,,,,,0.06393616838834904,0.5154939352139145
83,,,,,0.0609735900207972,0.5188707412659307
84,,,,,0.06220233828565403,0.517795824530316
85,,,,,0.06186055980293666,0.5179883369519739
86,,,,,0.06824041369672232,0.5251789262932621
87,,,,,0.06331313777009652,0.5146503556542567
88,,,,,0.05765135688791617,0.5013999850850561
89,,,,,0.057918421204213824,0.5035698786992394
90,,,,,0.05472754886137366,0.4927534773278255
91,,,,,0.05962897521046128,0.5213573043236034
92,,,,,0.054449710729484374,0.5149610085875671
93,,,,,0.04995501516493481,0.5087849772298004
94,,,,,0.054433025340215276,0.5205723317915667
95,,,,,0.046353696151619446,0.5209658414057662
96,,,,,0.04443592933655581,0.5034878033491895
97,,,,,0.04862985606378002,0.5158549422534341
98,,,,,0.05858762170294366,0.5357563712095056
99,,,,,0.05473325765084246,0.5214503029264913
100,,,,,0.03694789795816842,0.4997493562468746
101,,,,,0.03426466198970794,0.4998264801033518
102,,,,,0.036092698566735595,0.4913433728282941
103,,,,,0.04746221162810911,0.5293673403674932
104,,,,,0.054181010302781385,0.5240044586454433
105,,,,,0.045623588644823285,0.5264320769594026
106,,,,,0.05144625479674583,0.5410943669626324
107,,,,,0.0455330255508809,0.5283625077935536
108,,,,,0.04859955266652526,0.5293559665738388
109,,,,,0.04277933790724,0.5169664231157749
110,,,,,0.03651609468757987,0.5237724010395145
111,,,,,0.035736066269296395,0.5139468798317365
112,,,,,0.036782425079796136,0.5228315623424503
113,,,,,0.037225533729440326,0.5247773359623337
114,,,,,0.034368544832590886,0.5249077094778685
115,,,,,0.04675114646911287,0.5320896169204563
116,,,,,0.04603167891862999,0.5331044685448592
117,,,,,0.047895246291540135,0.5325747187869464
118,,,,,0.04898786856917392,0.5315543526880846
119,,,,,0.04895953136147898,0.5336631275691549
120,,,,,0.040732099062794375,0.5092707634373483
121,,,,,0.04478227828628357,0.5198396451066359
122,,,,,0.04053486673955814,0.49640275241217124
123,,,,,0.04612632438461558,0.5276979016406663
124,,,,,0.05105645776152486,0.5478005931563632
125,,,,,0.047100823835210914,0.542893587970456
126,,,,,0.05461760972445409,0.5538107710902178
127,,,,,0.05755406152644757,0.564252915030975
128,,,,,0.051193291263216,0.5465716404083527
129,,,,,0.04797739911350392,0.5538296812172798
130,,,,,0.04409698681642998,0.5378120326764414
131,,,,,0.049243349380539085,0.5541543714182428
132,,,,,0.0629184012617204,0.5709757406443939
133,,,,,0.06115175553470131,0.5663833875479379
134,,,,,0.056341691307576755,0.5629969928361687
135,,,,,0.06358091697114959,0.5697226284157354
136,,,,,0.06353223623319636,0.5691571304565619
137,,,,,0.06037668633444392,0.5653933866374665
138,,,,,0.05782876688712412,0.5576802524448042
139,,,,,0.05583487109174226,0.5694055909867324
140,,,,,0.05411319638325596,0.5627985068443337
141,,,,,0.051504657346001084,0.5529545525081567
142,,,,,0.058941518814413354,0.5572861678787757
143,,,,,0.05028427309468922,0.5624699736422446
144,,,,,0.046653352184925556,0.5448518914759884
145,,,,,0.05344629748914491,0.5512040576361492
146,,,,,0.054842401396771816,0.5526765528699583
147,,,,,0.05517830563430652,0.5436171973460903
148,,,,,0.05489155548111247,0.5376752393096251
149,,,,,0.05232042480409783,0.5343302180371927
150,,,,,0.049312877506196215,0.5410460151269298
151,,,,,0.05792358469742407,0.5668496758056337
152,,,,,0.0591866804245345,0.5726057238402176
153,,,,,0.05398348205099384,0.5610961732165001
154,,,,,0.05995509110808544,0.5653524264846328
155,,,,,0.05581998095822674,0.5607764555962471
156,,,,,0.06236481988716756,0.5601103684724908
157,,,,,0.061523119306272404,0.5600935914773892
158,,,,,0.05870181811124043,0.5504815278610293
159,,,,,0.06997364300437042,0.575705270231513
160,,,,,0.06397914578260905,0.5635782567995049
161,,,,,0.060873806765784404,0.557304306981268
162,,,,,0.05945272738110337,0.5579977087416853
163,,,,,0.05854336007192224,0.5575791096159534
164,,,,,0.05545308722950247,0.5457952140230661
165,,,,,0.059045497556250374,0.5637162896574996
166,,,,,0.0521645288152042,0.5526405446675228
167,,,,,0.05547445510862692,0.5634331623123667
168,,,,,0.06009185766141234,0.5804805272397111
169,,,,,0.06104941646765737,0.576595482384888
170,,,,,0.05675496199607682,0.5639335198501739
171,,,,,0.05849021633937939,0.5618588333248191
172,,,,,0.059113341033998935,0.5687822355339989
173,,,,,0.06507338375014568,0.5833442789194918
174,,,,,0.058339042100229735,0.5736886812433012
175,,,,,0.05497303843404882,0.5652067031397271
176,,,,,0.06089739549413243,0.5812865610676113
177,,,,,0.05691771405975655,0.5704329879944053
178,,,,,0.04794343631612798,0.5502160034047293
179,,,,,0.051065073724866454,0.5501495043766326
180,,,,,0.05797266166801203,0.5811797562816599
181,,,,,0.05509582106744454,0.5713807431873631
182,,,,,0.055671426141768336,0.576435461462216
183,,,,,0.055137808751620325,0.5787413326781732
184,,,,,0.053010173299092966,0.569707774125657
185,,,,,0.06737741416243512,0.5940536020773927
186,,,,,0.06048671888189136,0.5836008194856901
187,,,,,0.057431805172092225,0.57749451605409
188,,,,,0.05790648246348323,0.5731037330964603
189,,,,,0.05024368538181718,0.553536360753031
190,,,,,0.04983609672571071,0.5671615383214834
191,,,,,0.05546055251877723,0.5813762286226775
192,,,,,0.06435576172559254,0.5983390190192802
193,,,,,0.055878054281041686,0.5795852854333529
194,,,,,0.07875777675703768,0.6204503232522344
195,,,,,0.08431061829387781,0.6414693641491231
196,,,,,0.07341776581770895,0.6101575370813179
197,,,,,0.06989851252640893,0.6031389622726409
198,,,,,0.08421024545564716,0.6199755813824129
199,,,,,0.09009609309314419,0.6322739592315215
200,,,,,0.0883178084327729,0.6258435497067286
201,,,,,0.0783280361929278,0.614736111405803
202,,,,,0.07595158714090028,0.6101562318243281
203,,,,,0.0695958709570863,0.5979857312125875
204,,,,,0.07508706800401656,0.5992216213898206
205,,,,,0.08374933692071573,0.610833238574079
206,,,,,0.08965190360825487,0.6276187600559725
207,,,,,0.09366095458478016,0.6421098458063313
208,,,,,0.08890837157684021,0.6418929573659642
209,,,,,0.08944388895760279,0.6457433888360533
210,,,,,0.1056171186761014,0.6519061079940395
211,,,,,0.11417601713232656,0.668261345488593
212,,,,,0.09721346470204362,0.6450384266767916
213,,,,,0.10868998819151257,0.6608138865506195
214,,,,,0.12999485666976035,0.6837117339825393
215,,,,,0.12302520761826669,0.6676904424999622
216,,,,,0.14257833671388986,0.6951513358628442
217,,,,,0.1270026735275108,0.6779144750364645
218,,,,,0.1195670273831407,0.6638801729457959
219,,,,,0.1449778288651353,0.6859414472369102
220,,,,,0.1315287299757893,0.6737163973114352
221,,,,,0.12336229404047791,0.6766247281499795
222,,,,,0.13024847303514173,0.6812903328453332
223,,,,,0.12405824849621543,0.6767594096658428
224,,,,,0.1385354703227822,0.6916604193459925
225,,,,,0.144911919352783,0.6862998014572964
226,,,,,0.1460452006030515,0.69114233645961
227,,,,,0.14591090662571174,0.6916764641011892
228,,,,,0.15635883148407964,0.7074991413923344
229,,,,,0.19387119659898808,0.7313515001037637
230,,,,,0.1980552735305262,0.7329643922578504
231,,,,,0.17793669891031863,0.7139000772964471
232,,,,,0.154642883952372,0.693877347830603
233,,,,,0.14121472567500234,0.6872456212515773
234,,,,,0.12495909978282795,0.6722184867844333
235,,,,,0.15277270772497195,0.6972264695578194
236,,,,,0.139783400989612,0.696852812739919
237,,,,,0.18463753637415597,0.7245986000445555
238,,,,,0.18660914626450492,0.7203285609730159
239,,,,,0.18997201083116974,0.722036956928612
240,,,,,0.16959166038062412,0.7092475262838581
241,,,,,0.17187779507863757,0.710554446447822
242,,,,,0.18811774573940845,0.7199602152496888
243,,,,,0.195375516160839,0.7264764875875633
244,,,,,0.19818875644103473,0.7275495884886346
245,,,,,0.21401615258202666,0.7344565799850601
246,,,,,0.18004151257124315,0.7150411337095309
247,,,,,0.19187239073507178,0.7219293911882563
248,,,,,0.19079787327030898,0.7257714171235354
249,,,,,0.20781569065377967,0.7369775251272275
