step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.011111111111111112,0.7120146785423735
1,10,3.6746,0.2813,0.7035,0.8111861861861862,0.8601262735622299
2,20,1.975,0.415,0.8114,0.7583333333333333,0.825837456483226
3,30,1.625,0.4845,0.8608,0.6651205173427397,0.7725437454074982
4,40,1.4363,0.5247,0.8849,0.6046431871431872,0.7404841208644951
5,50,1.4235,0.545,0.8879,0.3552222220272473,0.6944226828100946
6,60,1.3954,0.5311,0.8855,0.05689678242793551,0.652928003399835
7,70,1.1892,0.555,0.9048,0.03635884447981732,0.6324852485121957
8,80,1.1008,0.5875,0.9119,0.026745398019605068,0.6256699154283066
9,90,1.0275,0.608,0.9187,0.030147569903136058,0.6046754502315246
10,100,1.0226,0.6108,0.9207,0.016363374396964406,0.5762349085681657
11,110,0.9538,0.6383,0.9273,0.010275898025992967,0.5454526506375236
12,120,0.9444,0.6425,0.9279,0.01694383009527926,0.5233954218618938
13,130,0.8805,0.6586,0.9337,0.012911638420682343,0.5276247254826162
14,140,0.8501,0.6651,0.9367,0.0178369508048466,0.516792167797832
15,150,0.8505,0.6675,0.9348,0.01850162236548684,0.5024672174561626
16,160,0.848,0.6725,0.9358,0.02727289847154605,0.5257762588912933
17,170,0.8259,0.677,0.9385,0.20411651229303002,0.5261958579273156
18,180,0.8166,0.6846,0.9395,0.027495851675146465,0.5147360181182948
19,190,0.821,0.6862,0.94,0.0488952556956179,0.5283059953540687
20,200,0.82,0.6829,0.9393,0.1617503411327666,0.5236575104288772
21,210,0.749,0.6957,0.9417,0.05671275693415326,0.5200538970690862
22,220,0.8052,0.682,0.9367,0.05148465463952115,0.5131363390800084
23,230,0.7557,0.6974,0.9393,0.040374771781322406,0.5193647247199483
24,240,0.698,0.7112,0.9434,0.1339934454100999,0.5195145662413075
25,250,0.6353,0.7236,0.9465,0.12352492144749107,0.5150599581846257
26,260,0.6599,0.7161,0.945,0.12525602343974696,0.5109061889992105
27,270,0.5989,0.7291,0.9487,0.13971575815096898,0.5191191242634674
28,280,0.5923,0.7292,0.9476,0.11620638818672477,0.5023848298427941
29,290,0.537,0.7353,0.9516,0.13163153216494555,0.503015037406785
30,300,0.565,0.7278,0.9499,0.13765488103024304,0.5229209307542464
31,310,0.5133,0.7392,0.9525,0.06900532686449115,0.5232373209312398
32,320,0.5051,0.737,0.9518,0.14080320703917776,0.5385441921787351
33,330,0.4319,0.7566,0.9561,0.12085947422459774,0.5302401341375464
34,340,0.4085,0.7578,0.9561,0.07928793426920214,0.5161210693638367
35,350,0.3978,0.7571,0.9587,0.06785959454240059,0.5028180126680846
36,360,0.404,0.7507,0.9571,0.0654744223540649,0.5040774788813251
37,370,0.4088,0.7538,0.9572,0.06284974707161296,0.5112888045381966
38,380,0.3867,0.7516,0.9578,0.07660133091173592,0.4952941510958493
39,390,0.3894,0.7462,0.9552,0.07856303017953163,0.49442123264856225
40,400,0.3554,0.7556,0.9582,0.06244886827451164,0.5040525428832661
41,410,0.3205,0.7551,0.9572,0.06951886223042046,0.5201351203502089
42,420,0.344,0.749,0.9568,0.08971668910526771,0.5089314186818714
43,430,0.3187,0.756,0.9575,0.10579945713299913,0.5073590823836404
44,440,0.2858,0.7568,0.9581,0.11242542336921847,0.508914314702947
45,450,0.2952,0.7585,0.9576,0.10984025452444832,0.5171763276367437
46,460,0.2819,0.7573,0.9574,0.09935174463007423,0.4980677760861439
47,470,0.2931,0.7559,0.957,0.10166377909582863,0.5165283902881831
48,480,0.2869,0.7504,0.9569,0.09166287183425141,0.5151268391232083
49,490,0.2707,0.7554,0.9562,0.09430085793730929,0.5117859647836993
50,500,0.2464,0.7633,0.9586,0.0778154620155075,0.47342554549208715
51,510,0.2757,0.7547,0.9576,0.07634658771327678,0.47518388795383554
52,520,0.285,0.747,0.9568,0.07357605111797165,0.4735507868661396
53,530,0.2417,0.7548,0.9582,0.0690839932620746,0.47258901539907966
54,540,0.317,0.7468,0.9549,0.0738386807416981,0.4754218912421499
