step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.011111111111111112,0.7270033820063659
1,10,1.8528,0.3183,0.7407,0.014445537884818387,0.7544052034210345
2,20,1.5856,0.4183,0.82,0.018525432532837324,0.7384997292007092
3,30,1.4476,0.4607,0.8569,0.019901214067637805,0.7794000064758145
4,40,1.3927,0.483,0.87,0.017217731442465398,0.7568624303960365
5,50,1.3533,0.4901,0.8766,0.01994946457870863,0.714959376257153
6,60,1.3963,0.4856,0.8699,0.023819729880679017,0.7002409407573685
7,70,1.3932,0.4883,0.8694,0.024991685905714035,0.6675920966022265
8,80,1.4044,0.4794,0.8697,0.028536690294856257,0.6578427481967098
9,90,1.4589,0.4689,0.8617,0.03924537629913699,0.6412531921788386
10,100,1.3985,0.4865,0.8712,0.048407766930020954,0.6333038585009894
11,110,1.3382,0.5091,0.8786,0.05102086646339584,0.6165432534956717
12,120,1.4829,0.4714,0.8623,0.054307809164410484,0.6072306201247281
13,130,1.2814,0.535,0.8902,0.049657224596293514,0.5921756304477419
14,140,1.2794,0.542,0.8955,0.053058335510121325,0.5849575379420847
15,150,1.2591,0.5424,0.8955,0.05772803004513469,0.562308470482227
16,160,1.1979,0.5485,0.8989,0.05089642363049889,0.5677796011218545
17,170,1.1426,0.5685,0.9051,0.05459318652817667,0.5720205182894598
18,180,1.1283,0.5796,0.9048,0.06056160994091324,0.5581545958637113
19,190,1.0282,0.5987,0.9141,0.062147148781076376,0.5556983790569668
20,200,1.0475,0.599,0.9127,0.0577472648746493,0.545435478892417
21,210,1.0049,0.6079,0.9149,0.05530248916475202,0.526801099463817
22,220,0.974,0.6212,0.9183,0.05610442019232,0.5359086423066942
23,230,1.007,0.6183,0.9188,0.059946421799698155,0.5307874103414353
24,240,0.9451,0.6323,0.9225,0.05805196120959082,0.5264126246193842
25,250,0.9347,0.6292,0.9209,0.06499387255381145,0.5351539842205342
26,260,0.8765,0.6498,0.9254,0.058974938979466734,0.5509739801531585
27,270,0.9011,0.6408,0.9228,0.05668465695066357,0.5241729958942947
28,280,0.8759,0.6462,0.9252,0.05905183431252057,0.5225637404949569
29,290,0.856,0.6594,0.9283,0.06474632763800373,0.5214089405308073
30,300,0.8725,0.6511,0.9267,0.06044885806314609,0.5135867981887986
31,310,0.847,0.6555,0.929,0.06874664700720795,0.5406625343099418
32,320,0.8174,0.6661,0.9307,0.06277461843826145,0.5152460970377137
33,330,0.9402,0.641,0.9273,0.05083146188112759,0.4853839229506691
34,340,1.0053,0.6317,0.9232,0.05337110875891056,0.4892805081655404
35,350,0.835,0.6672,0.9335,0.050543304725107076,0.47836220514325284
36,360,0.7943,0.6788,0.9349,0.06181644029185242,0.49092127520390627
37,370,0.7691,0.6837,0.936,0.06437203837231126,0.5097177205382522
38,380,0.6897,0.7001,0.9419,0.05937398893034444,0.48973201019493173
39,390,0.685,0.7015,0.9441,0.052706864147513195,0.47368093451436116
40,400,0.6441,0.703,0.9437,0.054402810655965465,0.4771665460621051
41,410,0.6304,0.7016,0.9445,0.049160145183167754,0.45824970456952824
42,420,0.5695,0.7242,0.948,0.05185339408730532,0.4609364043635135
43,430,0.546,0.7236,0.9487,0.05672598364482483,0.473773044164159
44,440,0.5185,0.7256,0.9495,0.0399297343047778,0.4471320202945557
45,450,0.484,0.7389,0.9509,0.06067887600374939,0.4864528040090913
46,460,0.4587,0.7388,0.9521,0.04905578792565973,0.46791673790767213
