step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.022383252818035427,0.7339838798587452
1,10,1.8362,0.3144,0.7368,0.03553553553553554,0.7624866804660982
2,20,1.5264,0.4351,0.8431,0.04460547504025765,0.7490047783849074
3,30,1.4447,0.465,0.8632,0.04763441735565721,0.750669143643925
4,40,1.3471,0.5027,0.8775,0.048911261772187825,0.770062550974778
5,50,1.4078,0.4696,0.8697,0.049418449916952184,0.7191095261856842
6,60,1.4241,0.4704,0.8653,0.053630988846299854,0.7073955323561482
7,70,1.3783,0.4843,0.8704,0.05431074698904216,0.6631000705000888
8,80,1.297,0.509,0.8824,0.05728980771506772,0.6475410297748219
9,90,1.3445,0.4978,0.8771,0.056308015004690244,0.621546282722165
10,100,1.3272,0.4994,0.8787,0.059654646833262555,0.6136135290320309
11,110,1.4146,0.4797,0.8688,0.053458941263799895,0.6256977906104353
12,120,1.5339,0.4573,0.8548,0.044837090905297396,0.5965697667280372
13,130,1.3738,0.5014,0.8788,0.05265782516034662,0.5752536489835115
14,140,1.2745,0.5341,0.8923,0.05313396982124665,0.5393532545379338
15,150,1.2125,0.5612,0.9016,0.052885915621101405,0.5319052626588748
16,160,1.1464,0.5723,0.9051,0.055575991554652565,0.521743122231596
17,170,1.0863,0.5948,0.9105,0.060699277857797364,0.5206360677530848
18,180,1.1012,0.5879,0.9092,0.06159616657888926,0.5168108605356762
19,190,1.0237,0.5995,0.9144,0.06564965144295422,0.5302068148569921
20,200,0.9948,0.6047,0.9157,0.06809956685745398,0.5251211994682966
21,210,0.9651,0.614,0.9181,0.06478977156981186,0.519121643706209
22,220,0.9496,0.6315,0.9211,0.05654323552279992,0.5101001492726055
23,230,0.9392,0.6261,0.9195,0.057265102912773355,0.5195898897563312
24,240,0.9434,0.6305,0.9206,0.05057788770517665,0.4891304120313041
25,250,0.9006,0.6514,0.9253,0.05032620429954636,0.46988213861284445
26,260,0.8965,0.6573,0.9265,0.051638755763346714,0.46726877490391533
27,270,0.911,0.6447,0.9234,0.05546207850163412,0.45883932983464565
28,280,0.8886,0.6479,0.926,0.04919704519738642,0.45251010643910117
29,290,0.8438,0.6547,0.9279,0.04802049332558057,0.4517837439096325
30,300,0.8274,0.6602,0.9297,0.047613706477550484,0.4539793183056291
