step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.020969605082665512,0.7331981769640651
1,10,1.9399,0.2872,0.7072,0.03339117646221052,0.7379900479780185
2,20,1.6003,0.402,0.815,0.03421072614707235,0.73734894943285
3,30,1.4462,0.4598,0.8502,0.037103664511071915,0.7270959884278692
4,40,1.4201,0.4668,0.8648,0.032764041869562485,0.7113332130738472
5,50,1.3599,0.4861,0.8725,0.03241522744667399,0.6776803969699856
6,60,1.3624,0.4806,0.8721,0.039559202447716074,0.6935325040170394
7,70,1.3577,0.4919,0.8761,0.028533280396345746,0.6714959803798549
8,80,1.3336,0.5006,0.879,0.04553226281379927,0.6613556265030376
9,90,1.3234,0.511,0.8804,0.04613260416065415,0.6512395368748639
10,100,1.2232,0.5322,0.8918,0.04998135797066643,0.6528253662214014
11,110,1.2659,0.5227,0.8864,0.0516288884038621,0.6508832840096587
12,120,1.2003,0.5429,0.8931,0.053112211517430986,0.6423035571546432
13,130,1.2005,0.5448,0.8936,0.055549831085498436,0.6310271919521528
14,140,1.1973,0.545,0.8931,0.05778607322145412,0.6241019672507654
15,150,1.2965,0.5076,0.8805,0.06167795532434895,0.5994579226227612
16,160,1.2057,0.5389,0.8927,0.06413614844269036,0.6007146948753063
17,170,1.1481,0.555,0.8993,0.05601664779168398,0.5624464029543147
18,180,1.2205,0.5387,0.8901,0.06095191994984094,0.5602351177176353
19,190,1.1551,0.5551,0.8969,0.052808617248916875,0.5410396868682147
20,200,1.1785,0.5464,0.896,0.05780364476014031,0.5362382202801187
21,210,1.2065,0.538,0.8917,0.06186135591271783,0.52803458070423
22,220,1.2561,0.5191,0.8863,0.06164269935179685,0.5299198156471197
23,230,1.2284,0.5406,0.897,0.062243354619127396,0.5084784834134731
24,240,1.1983,0.5492,0.9015,0.06592338027657899,0.5119607541867662
25,250,1.1937,0.5574,0.9026,0.06800242537124976,0.517707207890222
26,260,1.1293,0.5747,0.9068,0.06932997098627648,0.5170477601157899
27,270,1.0233,0.6059,0.9132,0.0708594300445467,0.5216917149287705
28,280,1.0283,0.5995,0.9148,0.06358968724100285,0.5064317830629063
29,290,1.0084,0.609,0.9155,0.06445969593873142,0.4999353177270307
30,300,0.9839,0.6158,0.9175,0.05737956492986215,0.5002526438005304
31,310,0.9799,0.6141,0.9164,0.05772049001589732,0.5011734493525704
32,320,0.9878,0.6189,0.9177,0.05664444516680456,0.4878733670278821
