step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.010699588477366255,0.7353721111846453
1,10,1.9183,0.2787,0.7178,0.028265141511873038,0.7531922905719077
2,20,1.8083,0.3519,0.7929,0.018655692729766804,0.6471803033500084
3,30,1.7992,0.362,0.8022,0.018381344307270234,0.661963633935408
4,40,1.7767,0.3646,0.8078,0.027747951741323013,0.6706743639667191
5,50,1.6633,0.3826,0.8275,0.03186906367501566,0.6402090531112334
6,60,1.6536,0.3721,0.8241,0.0343741426611797,0.6035729339177988
7,70,1.6364,0.3918,0.8302,0.029660293155504613,0.5653569005126245
8,80,1.6472,0.3814,0.8293,0.03810958387649209,0.5606214427389861
9,90,1.6483,0.3795,0.8312,0.03689868291383103,0.5544470268115391
10,100,1.6192,0.3891,0.8361,0.06403386377748377,0.5756842611994794
11,110,1.6296,0.3783,0.8346,0.05677261040034526,0.5592523796537758
12,120,1.6331,0.3718,0.8346,0.049220916516849844,0.533710431300769
13,130,1.6259,0.374,0.8339,0.040787564515952515,0.508774835894439
14,140,1.6291,0.3711,0.8323,0.035349996324595206,0.5057250076741542
15,150,1.6125,0.3876,0.8401,0.030624446910678796,0.4968219788277643
16,160,1.6179,0.3867,0.8372,0.03990256791182717,0.5122505135560366
17,170,1.6181,0.3656,0.8374,0.03606574622762435,0.5323064602950313
18,180,1.6095,0.3688,0.8394,0.036117816956108335,0.5243367199616092
19,190,1.5942,0.3846,0.8431,0.046209905777983576,0.5287250994134899
20,200,1.5696,0.3931,0.8465,0.04331251132991328,0.5152146716423401
21,210,1.564,0.4014,0.8507,0.04418915434284494,0.5408710118353515
22,220,1.5484,0.4183,0.8546,0.03963754068930037,0.4774490565353001
23,230,1.5455,0.4156,0.8554,0.04218246232345053,0.46665734975504347
24,240,1.4936,0.4244,0.8606,0.03561464690496948,0.4477397268452075
25,250,1.5061,0.4148,0.8584,0.03766669895702154,0.4610209977688097
26,260,1.479,0.4399,0.8622,0.05229285793095614,0.46396041164661905
27,270,1.5082,0.4258,0.8593,0.03785728174217383,0.461729804146077
28,280,1.4445,0.4522,0.869,0.03635214161529951,0.42409736865812064
29,290,1.432,0.4581,0.8689,0.03760363370314117,0.4267771289878752
30,300,1.4471,0.4532,0.8662,0.04038475888557398,0.454478828759422
31,310,1.4067,0.4635,0.8731,0.038443176004120005,0.43296582105570464
32,320,1.3698,0.4826,0.8775,0.05883586369109802,0.475559909482846
33,330,1.4316,0.4513,0.8696,0.06939032769032769,0.4535570653772471
34,340,1.4168,0.4731,0.8726,0.06216632686648988,0.4549820961982744
35,350,1.3975,0.4716,0.8738,0.06321550989245486,0.4558298611277025
36,360,1.4038,0.4609,0.8715,0.058731300003464694,0.41343986203496086
37,370,1.404,0.466,0.8752,0.05668866841115645,0.4321739014332096
38,380,1.3932,0.4781,0.8766,0.06037250944470321,0.4418999413738399
39,390,1.3331,0.4956,0.8843,0.06156419577472209,0.47729111142386677
40,400,1.2503,0.52,0.8935,0.05835800555051892,0.4657053950014967
41,410,1.2194,0.5359,0.8978,0.060353043101581114,0.46879157074033345
42,420,1.2454,0.5284,0.8938,0.05110283981251723,0.46075149485699496
43,430,1.1859,0.5522,0.9006,0.05897071490094746,0.4463650040274781
44,440,1.2158,0.5374,0.8988,0.0524702380952381,0.45893283225147913
45,450,1.2001,0.5502,0.9,0.0510239651416122,0.45080768711286906
46,460,1.1801,0.5532,0.9027,0.05540863845211671,0.45207645316103223
47,470,1.2104,0.5346,0.899,0.03560009589421354,0.43916478327685093
48,480,1.2857,0.497,0.8894,0.04841269841269842,0.4547820885254376
49,490,1.1566,0.5475,0.9027,0.04797171116070198,0.43891059447844083
50,500,1.1534,0.558,0.9053,0.04471992653810836,0.44739272011265924
51,510,1.1126,0.5758,0.9098,0.047098170389099595,0.45612917835036554
52,520,1.1076,0.5792,0.9107,0.053482635835577004,0.47799702771815095
53,530,1.0989,0.5859,0.9117,0.04624849033816426,0.4911863109506603
54,540,1.0728,0.595,0.9141,0.05164571076470391,0.4878285026334074
55,550,1.0561,0.5967,0.9161,0.05625,0.49989348190960947
56,560,1.0301,0.5988,0.9172,0.04577412523556955,0.49669022467413515
57,570,1.0085,0.6118,0.9191,0.049483166023062394,0.48745289029494926
58,580,0.993,0.6088,0.9202,0.04773103114335066,0.48475875621329984
59,590,1.082,0.585,0.9115,0.04740717394702902,0.45831607531880736
60,600,0.9954,0.6199,0.9197,0.0655519479779791,0.4820461691602238
61,,,,,0.06775151110189473,0.4854349751025056
62,,,,,0.06699098153643608,0.4913700197094414
63,,,,,0.08165350975506638,0.471758962127304
64,,,,,0.0458050908050908,0.45564235919282997
65,,,,,0.03898487615097994,0.4700551098380943
66,,,,,0.04437152830232852,0.5059049592844277
67,,,,,0.049766573295985064,0.5042704667922752
68,,,,,0.05785121902478017,0.48545322258833234
69,,,,,0.04544375089682881,0.4595144564645199
70,,,,,0.05384466783628649,0.4772889619374263
