step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.0,0.7147936934973785
1,10,1.8545,0.299,0.7327,0.029018286121322765,0.7662433224452823
2,20,1.5689,0.4234,0.8289,0.022130567926823875,0.7635568006891423
3,30,1.4965,0.4469,0.8459,0.0256385011125864,0.7519759580899343
4,40,1.4057,0.4686,0.8689,0.024972085448976406,0.7576656246235569
5,50,1.3763,0.484,0.8732,0.023375830184848834,0.727893450301606
6,60,1.3492,0.492,0.8779,0.02435907796524214,0.6968132706412823
7,70,1.2953,0.5124,0.8842,0.022736765973104648,0.6727115319972122
8,80,1.2782,0.5166,0.8858,0.026016780796866652,0.6570043476794281
9,90,1.3631,0.4973,0.8753,0.021944934108825004,0.6503209616058634
10,100,1.3417,0.4978,0.8788,0.02893353295965003,0.6390598844501183
11,110,1.3167,0.4985,0.8799,0.02931778295559489,0.6269531373816154
12,120,1.3731,0.4908,0.8741,0.027680967178431118,0.6248071264712987
13,130,1.3194,0.5051,0.8783,0.03829351665606558,0.6161069546055459
14,140,1.2565,0.5235,0.8854,0.04424062627395576,0.6071528389041331
15,150,1.2946,0.5159,0.8834,0.04947455806189479,0.6091461448840413
16,160,1.2964,0.5157,0.8822,0.05336465887955859,0.5940745529447385
17,170,1.3277,0.5106,0.8815,0.05052105780982696,0.5877874032353237
18,180,1.2833,0.5252,0.8925,0.04694878135765967,0.5751192066348864
19,190,1.1953,0.5454,0.899,0.04507940770127312,0.5542818712744259
20,200,1.0922,0.5879,0.9091,0.042140742553530584,0.5520796280528573
21,210,1.1116,0.5799,0.9085,0.043709148028167465,0.5451572008637672
22,220,1.0536,0.5963,0.913,0.04000675697136002,0.5276970902893618
23,230,1.0316,0.6062,0.9156,0.04704599510732536,0.5194335226139482
24,240,0.9892,0.6153,0.918,0.05051677846398596,0.5183959911733247
25,250,1.0021,0.618,0.9194,0.05735654239633046,0.5173133977925652
26,260,0.9361,0.6313,0.9226,0.049971624608087024,0.4989744003186712
27,270,0.9213,0.6339,0.9234,0.04574232452176348,0.4808992667542271
28,280,0.9116,0.6312,0.922,0.04016944219093371,0.47268868565221
29,290,0.8989,0.6354,0.926,0.047571899750603344,0.47755435483865244
30,300,0.9083,0.6341,0.9231,0.04710176153354911,0.49262616476243715
31,310,0.8523,0.6465,0.9257,0.04492745020607748,0.4903863060053977
32,320,0.84,0.6518,0.9276,0.05504618335067146,0.5014596912855342
33,330,0.8265,0.6583,0.93,0.05296505310887177,0.4727685780218935
34,340,0.8228,0.656,0.929,0.06660251218062192,0.4966917269171917
35,350,0.8113,0.6649,0.9312,0.07147287148932607,0.5008023579615978
36,360,0.8285,0.6605,0.9294,0.06963289323777609,0.511707153680702
37,370,0.9332,0.6431,0.9272,0.07300108036067304,0.5139799271310467
38,380,0.8852,0.6512,0.9317,0.07170212792749377,0.4964392156840068
39,390,0.8907,0.6576,0.9323,0.06439863256591377,0.4950467943673496
40,400,0.8456,0.6556,0.9328,0.06988706086923534,0.512638696090965
41,410,0.7877,0.6669,0.9337,0.06830101137940268,0.5044482113823172
42,420,0.7348,0.6822,0.9381,0.07871643410250734,0.5332960972721882
43,430,0.7019,0.6901,0.9404,0.06239481234080117,0.5085021127321027
44,440,0.6306,0.7086,0.9441,0.06793250390262312,0.5126197222351281
45,450,0.6349,0.7107,0.9448,0.07019075626067396,0.5179655607183757
46,460,0.5919,0.7154,0.9465,0.061799784456915766,0.49445749067896755
47,470,0.5386,0.7268,0.9501,0.06281741076395288,0.490286742490584
48,480,0.5331,0.7216,0.9507,0.05411025738519235,0.48417446677502196
49,490,0.4799,0.7438,0.9532,0.05887688748107577,0.4949359677952946
50,500,0.4864,0.7359,0.9519,0.060150937731535375,0.4989957851250332
51,510,0.4422,0.7443,0.9531,0.06255735698228662,0.49765315544708805
52,520,0.4124,0.7484,0.9541,0.05273907041467567,0.45848450593598206
53,530,0.3904,0.7529,0.9561,0.06580422168198118,0.4841757012135232
54,540,0.3895,0.7475,0.9543,0.051171553528439974,0.4613713722143333
55,550,0.3834,0.7465,0.9549,0.061658486661269864,0.48416051370563556
56,560,0.3294,0.7599,0.9576,0.06128678724365807,0.48228127698835493
57,570,0.3172,0.7613,0.9573,0.06108573753554746,0.46789085231320215
58,580,0.3037,0.7616,0.9586,0.06182865350852075,0.4749238938364087
59,590,0.2915,0.7663,0.9592,0.06721632946358364,0.4724706405635676
60,600,0.2759,0.767,0.9596,0.05537256338454174,0.45902617660218115
61,,,,,0.0565200830490903,0.4691158595884478
62,,,,,0.0750520709334404,0.48972615271476827
63,,,,,0.05765782981966001,0.45509461759654446
64,,,,,0.05104927909576371,0.4514257228973858
65,,,,,0.06380744225400278,0.4702699803119951
66,,,,,0.050846779442529626,0.45638150122027094
67,,,,,0.0511110334360282,0.4566866589817529
68,,,,,0.05568968293572928,0.4697658499598654
69,,,,,0.05435098450305989,0.46568499332552193
70,,,,,0.05804911497265375,0.4765921018460233
71,,,,,0.051834153661832125,0.46444159314678995
72,,,,,0.053806822114554294,0.4735742906727971
73,,,,,0.05959095708403798,0.46858251912707627
74,,,,,0.06822528829300424,0.4796463281215819
75,,,,,0.06830301029816606,0.49810551546553355
76,,,,,0.060039447095534916,0.47647714330195046
77,,,,,0.06988223746207227,0.4893624740924169
78,,,,,0.07317249946323483,0.48835556967118876
79,,,,,0.05931815431326627,0.47026683324888024
80,,,,,0.06755196253920248,0.4952983269512387
81,,,,,0.06494418847816961,0.4917340592870618
82,,,,,0.06786325679758784,0.4973009122978577
83,,,,,0.06657031169053099,0.5125441852000493
84,,,,,0.07160946845832149,0.49236168599265406
85,,,,,0.0669403292105773,0.4940479571817362
86,,,,,0.06189125721608984,0.48835517772051723
87,,,,,0.057265629872754104,0.4728385532568499
88,,,,,0.07191007333897391,0.4825348918563398
89,,,,,0.06937387660750978,0.48302026259815434
90,,,,,0.06610943326708402,0.4749980532698955
91,,,,,0.06691479113531706,0.4617132072100786
92,,,,,0.07933251110724286,0.49479382292236745
93,,,,,0.06229243584187775,0.47321572237404874
94,,,,,0.0599947033454476,0.4768361891238359
95,,,,,0.061586475779381505,0.47388701222837776
96,,,,,0.05266376663774596,0.465063721021351
97,,,,,0.055315173108323006,0.4671320087313879
98,,,,,0.05554484836052144,0.4677121262165588
99,,,,,0.05108629979302667,0.46557713880869456
100,,,,,0.05634682465461197,0.47436626281927863
101,,,,,0.06257189387138742,0.4861032510440417
102,,,,,0.05846292307438523,0.48900643279849204
103,,,,,0.04651772805793389,0.45800075184176336
104,,,,,0.04978121587602355,0.45936897496744383
105,,,,,0.04463153820129341,0.46850515202893855
106,,,,,0.04311230363587212,0.46813796417797443
107,,,,,0.0453765040379145,0.4701574018935314
108,,,,,0.03668203434649351,0.45183938137675383
109,,,,,0.038818000390802854,0.4525117898681311
110,,,,,0.04757477580794788,0.463571993918716
111,,,,,0.041123718749172325,0.4581349978686515
112,,,,,0.05200143606418661,0.48962368250729593
113,,,,,0.040052165207030796,0.4638672365279566
114,,,,,0.042863823386929754,0.4681659046273864
115,,,,,0.03701675097935019,0.4566236459640017
116,,,,,0.030983049643398857,0.4432134214436365
117,,,,,0.04271309891964636,0.4586633574472289
118,,,,,0.048135440855670855,0.48129223710270075
119,,,,,0.04038194979515914,0.4778955561888411
120,,,,,0.048045078376301675,0.4719759340138505
121,,,,,0.0454986146780247,0.482873542526426
122,,,,,0.038865043377585735,0.44734968121089175
123,,,,,0.04513775964506573,0.4751118388632808
124,,,,,0.05294774976193524,0.47176621095695026
125,,,,,0.04075891954756944,0.44864072334743366
126,,,,,0.046859587344185764,0.4700147979184001
127,,,,,0.046660154640607895,0.45849690827807954
128,,,,,0.054197321365698166,0.4784499075428225
129,,,,,0.05435193474720982,0.49863754883595074
130,,,,,0.04686820356859824,0.4859031552392702
131,,,,,0.054796233421599914,0.4834606057081651
132,,,,,0.05337243282032992,0.4823925587004336
133,,,,,0.049578549712934,0.4806288382912845
134,,,,,0.04443252566055799,0.48569026018297234
135,,,,,0.045252017694572454,0.4765046391414095
136,,,,,0.046902161159243456,0.47679953581655
137,,,,,0.04735336001828584,0.46210234640269254
138,,,,,0.043520046498055596,0.46592744575577283
139,,,,,0.04479013157155244,0.4779988736755364
140,,,,,0.05828689529969796,0.49825591269375974
141,,,,,0.042183238558476895,0.4763291730297409
