step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.01608187134502924,0.7312705033158581
1,10,1.8967,0.3178,0.7196,0.018671691916829766,0.7403929120673046
2,20,1.6097,0.418,0.8138,0.019040567952722888,0.7341666730151167
3,30,1.5245,0.4342,0.8457,0.030033874380105914,0.7602962705995713
4,40,1.4067,0.4752,0.8676,0.029552494426980817,0.7634077161154859
5,50,1.4059,0.4718,0.8701,0.04371005388176194,0.7487386618607178
6,60,1.3976,0.4721,0.8681,0.0496759610667753,0.7314770051566337
7,70,1.3785,0.4858,0.873,0.06799472826024822,0.733036966338076
8,80,1.3748,0.4895,0.8737,0.06667487470139549,0.6968648886847754
9,90,1.5453,0.451,0.8528,0.07562836875346277,0.6960012453202307
10,100,1.4209,0.4767,0.868,0.07246970231098268,0.6716522507929044
11,110,1.3406,0.5022,0.8757,0.07270181843370582,0.6680474731476919
12,120,1.3533,0.498,0.8746,0.07439071544557153,0.6316681926542629
13,130,1.2955,0.5292,0.8927,0.07824477193399189,0.6281620034838828
14,140,1.273,0.5414,0.8997,0.07641511115844449,0.6022937983110163
15,150,1.3066,0.5536,0.8982,0.06872724490602487,0.5820319689039278
16,160,1.1451,0.5745,0.905,0.06112308666633872,0.5642213808624859
17,170,1.174,0.5717,0.9051,0.05901596317681718,0.5622152317617409
18,180,1.1047,0.5971,0.9121,0.06294198061679102,0.5622004327051835
19,190,1.064,0.6027,0.9141,0.06536175806996364,0.5678386568766827
20,200,1.0375,0.605,0.9139,0.0686303741850778,0.5593522323314061
21,210,1.067,0.5989,0.9116,0.05803628700663771,0.5385032679228109
22,220,1.0043,0.6202,0.919,0.05286865644989776,0.5097514608744839
23,230,0.9907,0.6055,0.9161,0.0548457650582242,0.5087695685145728
24,240,0.9316,0.6346,0.9208,0.053008500404867015,0.519290673790844
25,250,0.9222,0.6364,0.9215,0.046138112563923535,0.5080535467186735
26,260,0.9145,0.6382,0.9214,0.04204280912907537,0.48924567970873406
27,270,0.9224,0.6316,0.9213,0.038950154169173815,0.4834896982990405
28,280,0.89,0.6481,0.926,0.03860946131336613,0.4642332878465132
29,290,0.8762,0.6439,0.9273,0.042487219795953914,0.4705064345155069
30,300,0.8433,0.6628,0.9293,0.05828174379382197,0.5084647615095755
31,310,0.8388,0.6614,0.9299,0.05631199015073233,0.49343621258731707
32,320,0.8151,0.6669,0.9318,0.05155914172808068,0.48309277027543585
33,330,0.8916,0.6423,0.9256,0.05888933555476333,0.49740954157025663
34,340,0.8957,0.647,0.9292,0.05615695305590923,0.5037825463983603
35,350,0.8226,0.6762,0.9355,0.0611546888904031,0.48576264588607077
36,360,0.8638,0.6577,0.933,0.0826136459366972,0.5089444462820709
37,370,0.7402,0.6877,0.9395,0.08314177483085637,0.49641148072071106
38,380,0.7201,0.6866,0.9386,0.052825552154493,0.45919245501708567
39,390,0.6805,0.6991,0.9411,0.056765062327084635,0.4604962376556834
40,400,0.6981,0.6931,0.9418,0.06309385588279492,0.46810709230769115
41,410,0.647,0.7094,0.9435,0.059236405893738166,0.46271809332405406
42,420,0.5917,0.7154,0.9465,0.06002241742305569,0.4559051920960691
43,430,0.535,0.7233,0.9494,0.06599696145890306,0.45496967082400175
44,440,0.597,0.7131,0.946,0.06262882355392302,0.44823476642368365
45,450,0.5194,0.7264,0.9497,0.06682030046266152,0.45575385907617344
46,460,0.5132,0.7294,0.9504,0.0629115281990422,0.44999621056069306
47,470,0.4713,0.7383,0.9531,0.06279246543554802,0.4463974776882797
48,480,0.4443,0.7386,0.9527,0.05851773814744252,0.434344140673122
49,490,0.4084,0.7505,0.9556,0.04720746050117474,0.43169013910980636
