tag,file,rounds_seen,best_acc,best_round,final_acc,final_auc,final_train_loss,final_asr,final_attack_auc,mean_acc_last_10,mean_asr_last_10,mean_round_time
R18_S42_BASE_T6A03,R18_S42_BASE_T6A03.log,601,0.7856668327520345,590,0.7804,0.9599,0.362,0.408515711505765,0.8219708819967005,0.77572,0.3577713951554796,6.081655471376492
R18_S42_LOWCL_T5A03,R18_S42_LOWCL_T5A03.log,601,0.7622487958810829,600,0.7622,0.9579,0.5853,0.09514344284317365,0.5926922417684877,0.73997,0.09926844512285696,5.957986063647786
R18_S42_LOWCL_T6A02,R18_S42_LOWCL_T6A02.log,601,0.756934064108952,360,0.7449,0.9556,0.2289,0.4237799923172645,0.8399123165908607,0.75003,0.4717828422191042,5.893132607671068
R18_S42_NOCL_T6A03,R18_S42_NOCL_T6A03.log,601,0.7760338814150474,580,0.7679,0.9588,0.42,0.39542925135297147,0.8279639647305115,0.76102,0.3690119412604135,5.924820740092019
R18_S42_PUR_L34_B01F01,R18_S42_PUR_L34_B01F01.log,601,0.7821790400265737,540,0.7704,0.9605,0.1503,0.4581771539249307,0.8686928722869605,0.76627,0.49221422447349716,7.297394944903457
R18_S42_PUR_L4_B1,R18_S42_PUR_L4_B1.log,601,0.763328350772297,500,0.752,0.9565,0.2454,0.346131582924855,0.7999388667251428,0.7479,0.33506976539806826,7.350250760648096
R18_S42_SCH_A_STRONG_TO_MILD,R18_S42_SCH_A_STRONG_TO_MILD.log,601,0.7759508387311078,580,0.7715,0.9599,0.2071,0.32509234185633556,0.8353528828159216,0.7646499999999999,0.31659619179198384,7.063872478567622
R18_S42_SCH_B_NOCL_RECOVERY,R18_S42_SCH_B_NOCL_RECOVERY.log,601,0.776283009466866,600,0.7763,0.9616,0.1901,0.3481467891659948,0.8408089885813169,0.7664500000000001,0.32703075252001973,6.971641257678015
R18_S42_SCH_C_LONG_SUPPRESS,R18_S42_SCH_C_LONG_SUPPRESS.log,601,0.7571001494768311,600,0.7571,0.9577,0.3892,0.25840879668305394,0.794853521031339,0.74002,0.2560254640033108,7.484620813522085
R18_S42_SCH_D_T2_RECOVERY,R18_S42_SCH_D_T2_RECOVERY.log,601,0.6199136356087028,600,0.6199,0.9197,0.9954,0.053004027761523846,0.519531824125725,0.59569,0.04741240710671972,7.111627961157166
R18_S42_SCH_GATE_LAYERTRIM,R18_S42_SCH_GATE_LAYERTRIM.log,601,0.7669822288656369,600,0.767,0.9596,0.2759,0.37388433348472055,0.8509832474441439,0.75557,0.36004336905855183,7.2077030060493605
R18_S42_SCH_PUR_A,R18_S42_SCH_PUR_A.log,601,0.7741238996844378,600,0.7741,0.9614,0.2005,0.35085415191931496,0.8353078251469099,0.76196,0.3761188451739649,8.359675514519513
