step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.01511111111111111,0.7152729629629632
1,10,1.8745,0.3203,0.7252,0.015666666666666666,0.7041920987654323
2,20,1.6314,0.4038,0.8002,0.02411111111111111,0.7182272839506172
3,30,1.4541,0.4606,0.8559,0.02011111111111111,0.7660148148148141
4,40,1.4147,0.4754,0.868,0.019333333333333334,0.7329507407407402
5,50,1.4463,0.4643,0.8645,0.03188888888888889,0.735948827160494
6,60,1.3855,0.4828,0.8726,0.03622222222222222,0.6937395061728393
7,70,1.4476,0.4685,0.8639,0.03866666666666667,0.668067530864197
8,80,1.4135,0.4782,0.8671,0.0371111111111111,0.639231975308642
9,90,1.378,0.4912,0.8725,0.03644444444444444,0.6304440740740742
10,100,1.2817,0.5231,0.8855,0.03833333333333333,0.6123761728395066
11,110,1.2727,0.5277,0.887,0.04133333333333332,0.6129527160493833
12,120,1.2086,0.5426,0.894,0.05422222222222221,0.6070828395061726
13,130,1.2817,0.5273,0.8924,0.05833333333333331,0.6038545679012346
14,140,1.263,0.5391,0.8983,0.061666666666666654,0.596263765432099
15,150,1.2235,0.5541,0.898,0.06622222222222222,0.5885595061728398
16,160,1.1741,0.558,0.9023,0.05777777777777772,0.5801834567901234
17,170,1.1144,0.5667,0.9049,0.051444444444444425,0.576166172839506
18,180,1.06,0.585,0.9114,0.059555555555555556,0.5617179012345676
19,190,1.046,0.606,0.9149,0.06477777777777773,0.5712075308641971
20,200,0.9748,0.6185,0.9179,0.05644444444444442,0.5499108641975311
21,210,0.9598,0.6195,0.9187,0.06944444444444442,0.5494309876543209
22,220,0.9518,0.622,0.9186,0.07088888888888886,0.5402476543209876
23,230,0.92,0.6396,0.9222,0.06855555555555552,0.51367012345679
24,240,0.8991,0.6375,0.9237,0.06499999999999996,0.49199666666666675
25,250,0.9054,0.6409,0.923,0.06044444444444441,0.4863897530864202
26,260,0.8756,0.6552,0.9268,0.05944444444444441,0.47751753086419746
27,270,0.8622,0.6627,0.9301,0.059777777777777735,0.47474506172839526
28,280,0.852,0.659,0.9274,0.06655555555555553,0.46781506172839493
29,290,0.8515,0.661,0.9274,0.05644444444444441,0.4548135185185186
30,300,0.8442,0.6639,0.9297,0.06577777777777775,0.4635408641975309
31,310,0.7848,0.6691,0.9319,0.06477777777777775,0.4571974074074072
32,320,0.7943,0.6653,0.9315,0.06655555555555552,0.4459269753086421
33,330,0.9147,0.6431,0.9256,0.075,0.4608383950617286
34,340,0.8848,0.6785,0.9344,0.06399999999999997,0.4486388888888887
35,350,0.8794,0.6733,0.9323,0.07222222222222219,0.46469444444444463
36,360,0.7713,0.6914,0.9399,0.07455555555555553,0.4618603703703705
37,370,0.7052,0.6983,0.9414,0.06277777777777777,0.4437932098765432
38,380,0.7444,0.679,0.9368,0.04999999999999999,0.43040790123456785
39,390,0.6496,0.7061,0.9444,0.0553333333333333,0.42677925925925925
40,400,0.6429,0.7071,0.9445,0.055444444444444414,0.42071629629629614
41,410,0.5833,0.7194,0.9474,0.05955555555555554,0.43058246913580245
42,420,0.5552,0.7358,0.9495,0.056444444444444415,0.4259312345679014
