step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.0039039039039039042,0.7180873726814808
1,10,2.5224,0.2585,0.6923,0.8236203090507725,0.8816587481860118
2,20,2.0909,0.364,0.7846,0.5673815183421571,0.8176902951882239
3,30,1.7195,0.405,0.8294,0.6692457460534936,0.7868892797498175
4,40,1.6459,0.42,0.8386,0.578903066960108,0.7363771459112989
5,50,1.505,0.4612,0.8631,0.5598172530397871,0.7174487951563365
6,60,1.5681,0.4453,0.8554,0.5030237554627798,0.7034491598228201
7,70,1.4261,0.482,0.8754,0.45421882586745266,0.6622044868467675
8,80,1.4985,0.4616,0.8652,0.40387751190535065,0.6375014864960505
9,90,1.2604,0.5216,0.8943,0.35565263291077465,0.6000362214668894
10,100,1.278,0.5076,0.8929,0.2843639170761297,0.5469463172158353
11,110,1.2838,0.5155,0.8938,0.2294598200097921,0.5151856678071483
12,120,1.3001,0.5135,0.8945,0.21831574742785734,0.48194987347901447
13,130,1.2967,0.5208,0.8933,0.012603359524544477,0.46893609939937253
14,140,1.1979,0.5526,0.9056,0.210868911234555,0.4804749368004211
15,150,1.2773,0.527,0.8956,0.1962161978945795,0.4790364172306654
16,160,1.267,0.5376,0.8983,0.016577010607067233,0.46612030834843554
17,170,1.2773,0.5313,0.8958,0.11612580616337896,0.44650954280407035
18,180,1.3512,0.4953,0.8865,0.12789115352030891,0.4361821406593312
19,190,1.2924,0.5179,0.8929,0.11614008861072939,0.4348942255571363
20,200,1.2288,0.5389,0.901,0.12988808384453596,0.43793372322234647
21,210,1.1708,0.5629,0.9076,0.10921058407116833,0.42053588607164577
22,220,1.1042,0.5853,0.9136,0.01754342048765622,0.41468099626183386
23,230,1.1886,0.56,0.9046,0.027015942037974656,0.41293372570158476
24,240,1.0959,0.5934,0.9153,0.02643948702253785,0.40479950755192445
25,250,1.2471,0.5428,0.8978,0.023849592564049893,0.40249434687377733
26,260,1.1325,0.5801,0.9116,0.02880860069989972,0.3900741636514493
27,270,1.0728,0.5956,0.9182,0.01917493917527796,0.3809631601829864
28,280,1.1138,0.581,0.9132,0.01605252957247686,0.37586929600795305
29,290,1.1392,0.5742,0.91,0.026114129013858046,0.39336282440852943
30,300,1.0951,0.5874,0.9146,0.02454321772837242,0.40274623976547985
31,310,1.0768,0.593,0.9175,0.026650588603984577,0.39907949621176564
32,320,1.0713,0.5933,0.9182,0.021996790211269292,0.3905349699327539
33,330,1.061,0.6073,0.9192,0.02409161444757501,0.39838078939388144
