step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.0,0.7288119705377296
1,10,4.8027,0.2367,0.6378,0.010526315789473684,0.8458135598113012
2,20,2.9687,0.2874,0.7103,0.030983671843886895,0.8168711082630928
3,30,2.3013,0.3275,0.7481,0.03333333333333333,0.7946002535406973
4,40,1.8911,0.357,0.7877,0.03373015873015873,0.7711576577238913
5,50,1.8302,0.3804,0.8078,0.03333333333333333,0.7042354101312818
6,60,1.6924,0.3804,0.8237,0.033824975417895774,0.6091282100620241
7,70,1.6844,0.3788,0.8302,0.03472797308146825,0.4419746992276948
8,80,1.6387,0.3894,0.8371,0.03432882962527058,0.37419610227855743
9,90,1.6143,0.3964,0.8379,0.03590134838629511,0.26385261715589853
10,100,1.5721,0.3999,0.8465,0.035202184500194494,0.48743500807778406
11,110,1.5847,0.3951,0.8445,0.037225651577503426,0.5435040895753553
12,120,1.5562,0.4131,0.8514,0.0332423235201013,0.5835408779319562
13,130,1.5635,0.4121,0.851,0.024505725532295578,0.6035612751278145
14,140,1.5183,0.4345,0.86,0.02568255475662883,0.5836607607211163
15,150,1.5802,0.4076,0.8518,0.026675960773420097,0.6136254123346103
16,160,1.588,0.4236,0.8542,0.0261589135431728,0.6068381305078253
17,170,1.5782,0.4222,0.8547,0.014633277376942094,0.5516653566193029
18,180,1.5573,0.4214,0.855,0.013513169414728868,0.5564456389441396
19,190,1.573,0.415,0.8517,0.015988420569317256,0.5460670116468479
20,200,1.4599,0.4502,0.8698,0.014891289784686472,0.542361913798239
21,210,1.4844,0.4461,0.8647,0.02015428515417056,0.5514315785116204
22,220,1.5546,0.4337,0.8584,0.01653863167046309,0.5467423165409622
23,230,1.4866,0.453,0.8645,0.02304876803649743,0.5610467725334315
24,240,1.422,0.4676,0.874,0.028984146606571223,0.5477962581454333
25,250,1.4667,0.4821,0.8734,0.02508236667223153,0.5190987644859848
26,260,1.5491,0.47,0.8691,0.01395416184376037,0.49736495033821776
27,270,1.4603,0.4856,0.8763,0.014481837207518174,0.44816264270535755
28,280,1.563,0.4833,0.8742,0.017001128292127552,0.48385991308269244
29,290,1.6914,0.4678,0.8597,0.030102161322253095,0.4885715903288302
30,300,1.692,0.4815,0.8623,0.231855588659999,0.5215206624355025
31,310,2.0063,0.489,0.8591,0.1659735917506009,0.5131085549561161
32,320,2.1519,0.4557,0.8475,0.038078002323693974,0.5313660522110537
33,330,2.0212,0.4425,0.8453,0.0372792701915453,0.49498055859213885
34,340,1.6911,0.4826,0.8635,0.20470616484732282,0.5174690713983218
35,350,1.4249,0.4892,0.8752,0.18332436976114547,0.4989271862419752
36,360,1.505,0.4604,0.8681,0.03478735300538222,0.48124994647688124
37,370,1.6512,0.4435,0.857,0.04906189751375866,0.462660626703382
38,380,1.5111,0.478,0.8703,0.1425143189062951,0.4731026795349984
39,390,1.5521,0.4439,0.8606,0.025467101406295958,0.4504718625053804
