step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.0009777777777777777,0.7054825109303667
1,10,2.4695,0.3816,0.7545,0.8016726403823179,0.8622328307574951
2,20,1.3322,0.5375,0.8788,0.7114146933819065,0.811235516011443
3,30,1.1738,0.579,0.9023,0.6425755699598616,0.7816225698432594
4,40,1.0914,0.6178,0.9137,0.5777825151836721,0.735380683154001
5,50,1.0181,0.632,0.9239,0.5182338066611824,0.7042828744403781
6,60,0.9817,0.6486,0.9271,0.2909528049620719,0.6473029909473808
7,70,0.9563,0.6509,0.9276,0.04504626396614509,0.6248795560076968
8,80,0.8593,0.6808,0.9396,0.3587517519977688,0.6274166262171046
9,90,0.8461,0.6816,0.9403,0.33598718190851407,0.6240981971383447
10,100,0.7409,0.6937,0.9435,0.03532085005157251,0.5647702789849385
11,110,0.6658,0.7108,0.9475,0.050520928050613444,0.5544765645290529
12,120,0.6653,0.7113,0.946,0.062013971183914746,0.561988451218554
13,130,0.6494,0.7098,0.9457,0.1637379016299162,0.5497392223043378
14,140,0.5583,0.7196,0.9491,0.08227351530643118,0.5269947289023252
15,150,0.4973,0.7317,0.9508,0.13002986217557624,0.4985833392271927
16,160,0.5784,0.7049,0.9445,0.1320304353090068,0.4916941718211311
17,170,0.5173,0.7149,0.9481,0.0934935246644108,0.47939875940437865
18,180,0.4562,0.7186,0.9504,0.08890633261323938,0.4633668930126825
19,190,0.3872,0.7281,0.9533,0.04219104866468549,0.4551824139893209
20,200,0.3359,0.7295,0.9507,0.07314483894853925,0.47176342300255164
21,210,0.3326,0.7191,0.9505,0.0430333104177231,0.4413644800095218
22,220,0.3417,0.7227,0.95,0.04415022183960096,0.4332758648545375
23,230,0.3414,0.7189,0.9497,0.04751079510862709,0.4341863821381883
24,240,0.3802,0.7049,0.9477,0.04815355038299928,0.42698222884726494
25,250,0.3228,0.7194,0.9505,0.06274775155935557,0.44851498154025404
26,260,0.312,0.7211,0.9512,0.06927866153038423,0.4599996534349928
27,270,0.2973,0.7209,0.9495,0.09865467128995614,0.4790644988680974
28,280,0.3761,0.7091,0.9491,0.0815988662615465,0.46581599664964046
29,290,0.2916,0.7239,0.9516,0.07842791494837144,0.4607990212379343
30,300,0.2225,0.7286,0.9536,0.0793034680841136,0.468563256652085
31,310,0.1944,0.7373,0.9557,0.07171238679237503,0.49053969081218424
32,320,0.2156,0.7285,0.9537,0.06947594860001494,0.49607865858543765
33,330,0.2683,0.7151,0.951,0.06037689650851269,0.4660668358169263
34,340,0.2677,0.7125,0.95,0.06222474786520788,0.4559794001582747
35,350,0.3048,0.7147,0.9493,0.052131102737375604,0.4486146136968078
36,360,0.2812,0.7162,0.9505,0.055577554898040164,0.44978770954438396
37,370,0.2796,0.7192,0.9497,0.051759442531685275,0.4363890931722704
38,380,0.1923,0.7334,0.9514,0.05842437681367999,0.4502727643122851
39,390,0.2489,0.7144,0.9499,0.061581807022085426,0.4691672899889908
40,400,0.2522,0.7242,0.9528,0.06592088263288,0.46848642277308006
41,410,0.165,0.7287,0.9544,0.06384157331485452,0.45780442922137665
42,420,0.2532,0.7206,0.9507,0.06169626171594365,0.46119824751619565
43,430,0.2631,0.7182,0.952,0.05426535336228419,0.4622227533043611
44,440,0.2303,0.7185,0.9516,0.07406920109716382,0.5058561493869956
45,450,0.2108,0.7211,0.9529,0.047454855888618745,0.45891367690248325
46,460,0.2379,0.7265,0.9536,0.05050020823488219,0.4617771736546864
47,470,0.2958,0.7151,0.9511,0.05094497024514375,0.4574460995401539
48,480,0.2041,0.7303,0.9543,0.04504372990436029,0.4345842909670639
49,490,0.2106,0.7206,0.9519,0.04557800797067494,0.4450609996515379
50,500,0.1624,0.7244,0.9503,0.052751301822565703,0.4602538290485573
51,510,0.1964,0.7188,0.9521,0.04774850042364509,0.44353525147303335
52,520,0.1659,0.7301,0.9525,0.04548515311672655,0.4653834254535143
53,530,0.2093,0.7195,0.9521,0.04858212668433512,0.48486079342021293
54,540,0.1994,0.7236,0.9516,0.03936899579091909,0.4413253730571955
55,550,0.2525,0.7246,0.9494,0.0435925242332198,0.4483444420683618
56,560,0.1746,0.7365,0.9542,0.067322378035352,0.5074390053183029
57,570,0.1693,0.7279,0.9523,0.06150438819509915,0.48638294672909116
58,580,0.1305,0.7379,0.9559,0.05852292162148943,0.4951948879266161
59,590,0.1317,0.7341,0.9556,0.05071898471046763,0.48841339379464105
60,600,0.1663,0.7241,0.952,0.06067015814586281,0.5197833716082336
