step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4216,0.1018,0.5038,0.0022163234206345733,0.7319570810656238
1,10,3.6341,0.325,0.7231,0.16983004526770668,0.8334848392713287
2,20,1.9062,0.4205,0.8289,0.05012727554129606,0.7957060473642612
3,30,1.467,0.4873,0.8681,0.051437970895851545,0.6888598038349959
4,40,1.3534,0.5091,0.8865,0.03649118617210067,0.5971987911376856
5,50,1.3298,0.5169,0.8916,0.03464620780647379,0.4603958395991362
6,60,1.2466,0.547,0.9034,0.033009034403359776,0.394552924855425
7,70,1.2393,0.5499,0.9022,0.03370853701067067,0.5120329741557685
8,80,1.2382,0.5505,0.9014,0.03596867196668705,0.48987460793774673
9,90,1.1941,0.5602,0.9074,0.040269209916341725,0.48694627116718786
10,100,1.1898,0.5667,0.9081,0.04071816575424972,0.45505517036973087
11,110,1.1881,0.5612,0.9075,0.03805030075731198,0.4499385045369593
12,120,1.2173,0.5406,0.9028,0.04303682906417755,0.461745753476172
13,130,1.2257,0.549,0.9023,0.049243569384399444,0.4598184976372897
14,140,1.2282,0.5544,0.9043,0.047253671468556226,0.4686577614907386
15,150,1.1588,0.5702,0.9112,0.05604898533454313,0.42689297402236154
16,160,1.2138,0.5497,0.9056,0.05186718741359983,0.42135270551486315
17,170,1.1612,0.5662,0.9109,0.05597628345912477,0.43315452039965496
18,180,1.1324,0.5853,0.9152,0.06292457774027865,0.4398997590138028
19,190,1.1252,0.5902,0.9162,0.053807561815221984,0.4683206471909773
20,200,1.1226,0.5868,0.9169,0.023356919130102308,0.44633091351758386
21,210,1.0688,0.6087,0.9228,0.024084658962512752,0.45184715757288363
22,220,1.0422,0.61,0.924,0.04409869404264288,0.4712128767361848
23,230,1.0666,0.6045,0.9217,0.03606629930224433,0.4588633440813952
24,240,1.0458,0.6113,0.9234,0.03616124301596576,0.4577809510858728
25,250,1.0285,0.6226,0.9259,0.04507176982966089,0.47745960095027656
26,260,1.1646,0.571,0.9094,0.03525835014893761,0.482860782483597
27,270,1.2309,0.5505,0.9006,0.03646845442892568,0.4655033338653713
28,280,1.1773,0.5695,0.9084,0.03478161621438838,0.45733498394197286
29,290,1.0787,0.603,0.9196,0.033583289457243155,0.4614286584286733
30,300,0.981,0.63,0.9284,0.028019392404972462,0.45909307389568255
31,310,0.9638,0.6442,0.9319,0.02715193048657788,0.450253697347175
32,320,1.0239,0.6166,0.9258,0.027216511223072073,0.44221444925683123
33,330,0.9907,0.6246,0.9276,0.030880053679160694,0.4538955787472506
34,340,1.0154,0.6227,0.9262,0.026736933761624643,0.45374139255115636
35,350,0.9865,0.6349,0.9287,0.02143280030448925,0.42766400665489673
36,360,0.9543,0.6491,0.9318,0.01870926228246974,0.4277198721417135
37,370,0.8991,0.6672,0.9376,0.024448959058680487,0.431160167438229
38,380,0.9252,0.6539,0.9338,0.025282797549752257,0.4365792022313616
39,390,0.8911,0.6693,0.9378,0.03453168631765901,0.45528248381580744
40,400,0.8926,0.6712,0.9379,0.04429092554098176,0.4786364181656396
41,410,0.9154,0.6638,0.936,0.05042915791616487,0.492814865676747
42,420,0.9415,0.654,0.9334,0.06098952042301922,0.48743683256878184
43,430,0.8503,0.6845,0.9417,0.04052303654059511,0.4744041017115823
44,440,0.9279,0.6633,0.9344,0.03274342647312668,0.4598467234872418
45,450,0.948,0.6689,0.9347,0.029949768942427468,0.4409135158109005
46,460,0.8715,0.6805,0.9389,0.03486041278601341,0.4536792152294981
47,470,0.8595,0.6715,0.9388,0.038176796885371414,0.4714773547152868
48,480,0.8331,0.6883,0.9423,0.039326982280058376,0.46805677955532066
49,490,0.8404,0.6849,0.9403,0.038751070721936474,0.4634730510798566
50,500,0.8424,0.6916,0.9414,0.03673991680785809,0.45235249180670944
51,510,0.8216,0.7022,0.9437,0.038516406710079866,0.4641345448081511
52,520,0.8264,0.7029,0.9425,0.04282833895845291,0.46349816193368176
53,530,0.812,0.6918,0.944,0.03670811984751984,0.4636985370870346
54,540,0.8676,0.6849,0.9386,0.021721473179093766,0.44767887576096826
55,550,0.8445,0.6899,0.9395,0.026620566451955183,0.4664301537562832
56,560,0.9699,0.6867,0.9364,0.03159828386802663,0.4796778759445201
57,570,0.9071,0.7051,0.9405,0.04030828404739689,0.49112576620726145
58,580,0.8171,0.7101,0.9441,0.038808677742742784,0.49384360918055525
59,590,0.7791,0.7171,0.948,0.040124784474673145,0.47848921088587304
60,600,0.8016,0.7149,0.9472,0.03975746642517835,0.47260790027236227
61,610,0.7931,0.724,0.9467,0.039683078703739334,0.4842746439398617
62,620,0.7924,0.7246,0.9475,0.03991872188584146,0.4738741722917475
