step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.005001944390433599,0.7168599303086277
1,10,2.1917,0.3259,0.7366,0.7995182965746177,0.8433676942258734
2,20,1.6492,0.4103,0.8173,0.759661123016179,0.8414509802808223
3,30,1.4194,0.4991,0.8702,0.018339240883492147,0.7508068124154685
4,40,1.3836,0.49,0.8728,0.014250274686955531,0.6949055238463807
5,50,1.2297,0.5441,0.8994,0.014941819068640748,0.6151456358572601
6,60,1.2637,0.5251,0.8964,0.0204816379494493,0.6113540319934724
7,70,1.2357,0.5375,0.9001,0.02336685027863466,0.4860952761090134
8,80,1.298,0.525,0.8938,0.027590554691631613,0.42550921323208163
9,90,1.2327,0.5445,0.9005,0.038266603429283966,0.55955472545008
10,100,1.2113,0.5378,0.9009,0.03740217458420813,0.5126985325272316
11,110,1.2337,0.5274,0.8979,0.04425118258533034,0.5542375707941143
12,120,1.2645,0.5296,0.8969,0.09432729339838898,0.5644175445110039
13,130,1.3187,0.5143,0.8904,0.034938934091325854,0.5182086434210835
14,140,1.2084,0.5508,0.9023,0.024530873023554597,0.5000928711418129
15,150,1.2482,0.5427,0.9009,0.03167184532364013,0.49731433792812957
16,160,1.2214,0.5396,0.8991,0.05979516394639034,0.5024897885905241
17,170,1.2281,0.537,0.9005,0.026399915543403166,0.4608954156841276
18,180,1.1711,0.5533,0.9066,0.13827124251493209,0.48282873020573036
19,190,1.1254,0.5809,0.9134,0.0989421006541391,0.46958398822651193
20,200,1.1211,0.5798,0.9126,0.08025358197354104,0.4819064332697217
21,210,1.0718,0.6016,0.9185,0.04767986051468358,0.46663353826538256
22,220,1.1244,0.5869,0.9129,0.06183825440596161,0.48838070341455436
23,230,1.0675,0.5962,0.9177,0.057051824843710026,0.4531143667960469
24,240,1.1097,0.5792,0.9144,0.05715177263305768,0.45602608963783187
25,250,1.1045,0.5832,0.9133,0.06015356412805365,0.4389035782822491
26,260,1.148,0.5716,0.9117,0.051224448577902336,0.4292649166166405
27,270,1.1389,0.5719,0.9114,0.055750434470302215,0.4542086412885388
28,280,1.1112,0.5907,0.9144,0.05735495295550196,0.4731392804484349
29,290,1.0441,0.607,0.92,0.04706979239149685,0.45311760275627727
30,300,1.0669,0.6012,0.9182,0.054797747652532,0.4672519989704471
31,310,1.0221,0.6146,0.9227,0.04937599516647705,0.467549613264135
32,320,1.0063,0.6133,0.9228,0.04168475645733285,0.462035887440892
33,330,1.1054,0.5895,0.9152,0.03942214247797183,0.4446098260218208
34,340,1.0919,0.588,0.9164,0.03753465047298813,0.4322062520754532
35,350,1.0792,0.5972,0.9176,0.045700008470684374,0.45238787557323096
