tag,file,rounds_seen,best_acc,best_round,final_acc,final_auc,final_train_loss,final_asr,final_attack_auc,mean_acc_last_10,mean_asr_last_10,mean_round_time
BN_CL002_T5A03,BN_CL002_T5A03.log,1001,0.7654044178707856,920,0.7511,0.957,0.5681,0.11176958885642885,0.6560911128775223,0.7504500000000001,0.1019268854302023,5.958964925903183
BN_CL01_T5A03,BN_CL01_T5A03.log,1001,0.7447267895698388,960,0.7319,0.9526,0.697,0.08500210440138277,0.6305715764006135,0.73316,0.09178490161427902,5.9006799896518425
BN_CL02_T5A03,BN_CL02_T5A03.log,1001,0.7774456070420196,1000,0.7774,0.9623,0.5444,0.22801172153813362,0.744521177211457,0.75699,0.20218731636791185,5.954239544454035
BN_CL0_T5A03,BN_CL0_T5A03.log,1001,0.7327686430825444,990,0.7116,0.9481,0.768,0.06171649564789737,0.5921151932135831,0.71533,0.06673873794572409,5.905801149753185
BN_JR005_LOWCL_T5A03,BN_JR005_LOWCL_T5A03.log,1001,0.6159275867796047,910,0.5504,0.9039,1.2129,0.03735095758273299,0.4762498513042259,0.57317,0.041797853126550974,4.22094759431395
BN_JR02_LOWCL_T5A03,BN_JR02_LOWCL_T5A03.log,1001,0.7673143996013951,760,0.7575,0.9575,0.1329,0.3940585471359624,0.8368339043168831,0.74885,0.40598453067407403,9.22850099405447
BN_LE2_LOWCL_T5A03,BN_LE2_LOWCL_T5A03.log,1001,0.7379172894867962,580,0.7146,0.9491,0.1976,0.470205250999296,0.8746437175933077,0.72065,0.46872411626603505,8.584704797346513
BN_LE5_LOWCL_T5A03,BN_LE5_LOWCL_T5A03.log,1001,0.7250456734761668,450,0.6718,0.9405,0.2306,0.4412005182794366,0.8616249638133224,0.66509,0.43173980880342155,16.904592216550768
BN_LOWCL_T5A03_S42,BN_LOWCL_T5A03_S42.log,1001,0.7299451918285998,1000,0.7299,0.9524,0.7001,0.07992415247182978,0.5977939564996562,0.68309,0.07887135620652316,5.973016188218519
BN_LOWCL_T5A03_S43,BN_LOWCL_T5A03_S43.log,1001,0.7273935066013452,960,0.7229,0.9488,0.7278,0.04861761966270734,0.6013426891539508,0.70613,0.05332950945459258,6.008321329072996
BN_LOWCL_T5A03_S44,BN_LOWCL_T5A03_S44.log,1001,0.7896835285322701,970,0.7864,0.962,0.468,0.1310985692759054,0.6638111736222817,0.7813399999999999,0.12775965262188133,5.8413011715724155
BN_M_T4A02_LC005,BN_M_T4A02_LC005.log,1001,0.44959309084869625,940,0.3891,0.8466,1.5933,0.04352822052548853,0.44915456199862097,0.40732999999999997,0.05392902263509778,5.880098994557079
BN_M_T4A03_LC005,BN_M_T4A03_LC005.log,1001,0.4439461883408072,330,0.3481,0.8117,4.3196,0.1202673175821324,0.5819287289601722,0.38122,0.08025988578205441,5.924516757408698
BN_M_T4A04_LC005,BN_M_T4A04_LC005.log,1001,0.6193323368211261,960,0.5245,0.896,1.2826,0.06740637045285201,0.5299781484941637,0.5647,0.07008077000064047,5.917399168014526
BN_M_T5A02_LC005,BN_M_T5A02_LC005.log,1001,0.7292808503570836,1000,0.7293,0.9522,0.6999,0.06959195931101454,0.5758931141047077,0.70077,0.061486642049758976,5.99838071960312
BN_M_T5A04_LC005,BN_M_T5A04_LC005.log,1001,0.802358412223883,880,0.7893,0.9625,0.267,0.3875960435383064,0.8431730218827153,0.7914,0.366995005999565,5.917747922948786
BN_M_T6A02_LC005,BN_M_T6A02_LC005.log,1001,0.7811825278192991,370,0.7708,0.9617,0.0779,0.5081737811121375,0.8889879713031091,0.75593,0.4803466932642171,5.983836444345983
BN_M_T6A03_LC005,BN_M_T6A03_LC005.log,1001,0.7740408570004983,520,0.7637,0.9585,0.132,0.46523639894096763,0.8695826377355432,0.75413,0.4841994823079516,5.922680796443165
BN_M_T6A04_LC005,BN_M_T6A04_LC005.log,1001,0.7665670154459392,370,0.7449,0.954,0.1494,0.42985453342235347,0.8464625908934428,0.74805,0.4144049475252164,5.852701096625237
