step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.021014492753623187,0.7197608775390902
1,1,36.2602,0.1148,0.5148,0.8507683169798114,0.9164242916685066
2,2,31.8512,0.1128,0.5302,0.7878435529110798,0.8918434388641624
3,3,17.0455,0.1422,0.5434,0.006522605420386392,0.7445421072259898
4,4,31.8852,0.1388,0.5528,0.680377555399428,0.8352132132593072
5,5,12.4326,0.1327,0.5555,0.6291105046601256,0.7469217738200047
6,6,10.3619,0.1504,0.5632,0.6003052756066082,0.7269534389625087
7,7,11.1054,0.1481,0.5518,0.5554856536830184,0.7222608871425543
8,8,11.0648,0.1699,0.573,0.5359543216760573,0.683275440275869
9,9,7.081,0.1432,0.58,0.0017753195248658045,0.4768831909388048
10,10,6.3828,0.1609,0.5927,0.46354798159779065,0.668964227095135
11,11,6.4753,0.1818,0.5968,0.45978827152316437,0.6707997349488013
12,12,6.0438,0.1447,0.5798,0.35620741906312003,0.5843513679579903
13,13,3.9044,0.161,0.5924,0.03652383921122313,0.5596689796339026
14,14,4.045,0.1972,0.5957,0.27688547315700307,0.5807079558395373
15,15,3.8761,0.1688,0.5901,0.26191617280097995,0.5475814375586127
16,16,4.3339,0.1507,0.5959,0.31844908117295695,0.6018182594144305
17,17,3.1193,0.1644,0.6121,0.2603125142027171,0.552116412507774
18,18,3.0604,0.1767,0.5934,0.015790749483665847,0.4518411391191221
19,19,3.1846,0.1971,0.6184,0.145256753322297,0.4690774553172508
20,20,2.9699,0.2119,0.6378,0.1783892989322888,0.49046749707160564
21,21,2.7766,0.1876,0.6424,0.15026610037000887,0.5268181333485458
22,22,2.7807,0.1574,0.6426,0.15059631522583936,0.5833811048971544
23,23,3.2502,0.1212,0.6177,0.11116330254449823,0.6278556123714691
24,24,2.7147,0.194,0.6462,0.12660400710426928,0.5338483642955107
25,25,2.5055,0.2292,0.6712,0.09342049144206613,0.49396559376782734
26,26,2.4094,0.2001,0.6711,0.17317562203234285,0.6157465696796984
27,27,2.4345,0.2154,0.6814,0.22316456279175406,0.6375750721973796
28,28,2.3643,0.2106,0.6784,0.15000845435041468,0.5715419240379446
29,29,2.4336,0.1892,0.6655,0.1285882887135243,0.57747111055167
30,30,2.3322,0.2123,0.6882,0.05051089869152303,0.5114524881975107
31,31,2.3721,0.2306,0.6751,0.0629694956541916,0.4830706624716421
32,32,2.3228,0.2303,0.685,0.010524964662534182,0.41514459806959536
33,33,2.4284,0.2116,0.6775,0.18025221366685099,0.6350570721491616
34,34,2.4317,0.1982,0.6711,0.009067621045452966,0.43221723748321117
35,35,2.3795,0.2084,0.6883,0.0010679181658958192,0.3803645709070656
36,36,2.1632,0.2857,0.7156,0.046854498331288894,0.48455942023065435
