step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4221,0.1065,0.5006,0.003942652329749104,0.7410682262740693
1,1,18.0524,0.1394,0.5142,0.019613188605810437,0.640531873903672
2,2,29.2863,0.1231,0.517,0.10665655131045959,0.8102276750438304
3,3,14.8277,0.1171,0.5136,0.012911813348911644,0.7429907117812665
4,4,13.3928,0.1383,0.543,0.6740635787684587,0.8441011376940791
5,5,11.3657,0.125,0.5387,0.002318299706213936,0.08307904163712175
6,6,8.6108,0.147,0.5849,0.5447156138499903,0.6928352247997679
7,7,7.1984,0.181,0.5734,0.4745714883469945,0.6595253856984025
8,8,8.6591,0.1822,0.5771,0.4689239925150287,0.6994868600627144
9,9,5.186,0.1226,0.584,0.06242109491949113,0.6389483147604806
10,10,4.7641,0.1585,0.5972,0.03817422391227492,0.5484117579589699
11,11,4.4758,0.2049,0.6156,0.2672779879818718,0.606942340293105
12,12,3.7911,0.1949,0.6184,0.31072714477007785,0.5930491508420989
13,13,4.0901,0.1769,0.6137,0.2937022631060834,0.6347244355388065
14,14,3.8888,0.1475,0.6203,0.33711660696397067,0.6844201239933261
15,15,3.3448,0.1735,0.6458,0.39052887954088,0.686064480267774
16,16,3.4775,0.1811,0.6342,0.3482938295759955,0.7082889435869989
17,17,3.4072,0.1425,0.6111,0.332636889560007,0.7063675389810035
18,18,3.9506,0.1662,0.637,0.506713153545345,0.8327378132104534
19,19,2.5318,0.2444,0.6692,0.0850320339980899,0.5700645962200678
20,20,2.8854,0.1987,0.6506,0.2592338346691471,0.6937941222889187
21,21,2.6529,0.1999,0.6525,0.20959796394246044,0.6343753715751356
22,22,2.4323,0.2505,0.6656,0.017813236404497772,0.47279942185921103
23,23,2.5443,0.2123,0.6791,0.2919330082409787,0.6799454419845072
24,24,2.3962,0.252,0.6855,0.22285326264282454,0.6489822697396189
25,25,2.4598,0.2321,0.6786,0.24634288464545076,0.6364539806735435
26,26,2.5359,0.1671,0.6607,0.015568267333877693,0.5309184977982885
27,27,2.5161,0.2124,0.677,0.295205060823957,0.7270716331600078
28,28,2.1461,0.2348,0.6987,0.07187336153831889,0.6063091797809619
29,29,2.3198,0.2188,0.6858,0.24267537754018595,0.6823712449735255
30,30,2.3917,0.2345,0.6909,0.34158636889599375,0.7601831515760401
31,31,2.2732,0.2231,0.6955,0.23361016586215125,0.6545332724896734
32,32,2.2672,0.2191,0.7015,0.06466166119433216,0.5189164206559113
33,33,2.2131,0.2586,0.7063,0.1672682695859197,0.6310115007392108
34,34,2.2075,0.2356,0.704,0.3438759728523768,0.747486580674076
35,35,2.226,0.2236,0.6949,0.1245241144393796,0.6016462424897874
36,36,2.0706,0.288,0.7253,0.04634847774919226,0.5319974754353046
37,37,2.1699,0.2326,0.7033,0.1702748376769776,0.6360513029123689
