step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4215,0.1065,0.5006,0.01230585424133811,0.7244824559949087
1,1,46.0167,0.1046,0.5177,0.8669852922831944,0.8888048245895217
2,2,23.4771,0.1151,0.5208,0.7730144013656356,0.8473797717429802
3,3,13.263,0.1239,0.5378,0.12183675657255301,0.7130980200896067
4,4,8.4265,0.1271,0.5408,0.02314625492588385,0.6399009648984464
5,5,13.2114,0.1337,0.5401,0.5810670328575956,0.7050196684466702
6,6,4.961,0.1716,0.5551,0.4900826806425155,0.6151424776324536
7,7,6.5887,0.1616,0.5768,0.47652935862368667,0.6243747535167512
8,8,7.1881,0.179,0.5962,0.44766207645689027,0.6146735401336941
9,9,5.1172,0.1642,0.5893,0.40443218960114613,0.5740864165940246
10,10,4.2396,0.1713,0.5931,0.3509473632514549,0.5355463844421156
11,11,4.3899,0.1496,0.5905,0.33556020481325216,0.5593305655412028
12,12,5.2631,0.2024,0.6104,0.3667637576751818,0.6052196151427884
13,13,4.3394,0.1916,0.6243,0.29989600841694347,0.5643086808604255
14,14,4.6671,0.2092,0.6438,0.34452607100396854,0.6016656340246198
15,15,3.4251,0.1566,0.6215,0.260321884956124,0.5500154692569936
16,16,3.2259,0.1723,0.6325,0.03229692546311856,0.5018199283046836
17,17,3.5961,0.1603,0.6578,0.11469777495525924,0.49131942669594747
18,18,2.9905,0.1436,0.6448,0.02248278006444787,0.4652932900351873
19,19,3.06,0.1786,0.6385,0.1638711463464258,0.49378120894953337
20,20,2.9108,0.1432,0.6595,0.03121862074813844,0.45398646465433595
21,21,2.8092,0.221,0.6713,0.15029032434918765,0.48566317212089916
22,22,2.7473,0.1604,0.6545,0.11645966039890461,0.46469400733191607
23,23,2.5116,0.2618,0.6974,0.04087021547902742,0.4065141685538734
24,24,2.4719,0.2397,0.6957,0.00823526095521313,0.4113591489611864
25,25,2.3795,0.259,0.6921,0.10417143869376316,0.4390901081432882
26,26,2.3242,0.2282,0.698,0.11912905236585646,0.4882189935917948
