step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.013212326429902617,0.7324714135561131
1,1,2.3359,0.1259,0.5418,0.6804964759019899,0.8703294991848856
2,2,2.2846,0.1533,0.5739,0.02733392107398332,0.7886613054209775
3,3,2.1477,0.204,0.6088,0.023219132425463914,0.7716883666603763
4,4,2.0611,0.2543,0.6399,0.09556999449725409,0.7472145240801394
5,5,2.0222,0.248,0.6518,0.06739438740510205,0.709775394839344
6,6,2.0073,0.2427,0.6683,0.01878127089155404,0.6518891157059546
7,7,1.9622,0.2761,0.6862,0.05863206853316179,0.6323109573385698
8,8,1.886,0.314,0.7141,0.07136889987581174,0.6444154744811078
9,9,1.8477,0.3352,0.723,0.1012583400696614,0.6309417814675676
10,10,1.7962,0.3465,0.7397,0.0872871478798261,0.5987599912396848
11,11,1.7641,0.3604,0.7504,0.05970976496377966,0.5486094600109991
12,12,1.7071,0.3791,0.7785,0.04120053349507254,0.5347886019137229
13,13,1.6514,0.4023,0.7947,0.039380237681912594,0.5322980174752134
14,14,1.6741,0.3933,0.7922,0.035588328479011055,0.5483289330518547
15,15,1.6777,0.3963,0.7905,0.03741828202160195,0.5371262667305494
16,16,1.634,0.4144,0.8056,0.07226251782444391,0.5507454231286675
17,17,1.6535,0.4054,0.8005,0.09140833179983604,0.5427043317824919
18,18,1.6288,0.4192,0.8087,0.10427238136464519,0.5569654405216559
19,19,1.5514,0.4389,0.8231,0.06631927136583134,0.5440355839108723
20,20,1.5127,0.4524,0.8327,0.08854650842951746,0.5165418377616446
21,21,1.528,0.4498,0.8367,0.052206849829769,0.5084431171867289
22,22,1.5006,0.4582,0.8422,0.07515902941616676,0.5049170404960555
23,23,1.4758,0.4631,0.8469,0.10195074519077969,0.525350352096604
24,24,1.4546,0.475,0.8494,0.09107315889231755,0.5373680316909111
25,25,1.4498,0.4765,0.8504,0.07763669100872661,0.5348471992524544
26,26,1.477,0.4664,0.8468,0.08577071041916724,0.5152416162380589
27,27,1.4628,0.4696,0.8517,0.0716195201849558,0.5016399563272956
28,28,1.4267,0.4821,0.8585,0.058494093195391866,0.4972836995411085
29,29,1.4246,0.479,0.8579,0.08086621729109592,0.5155821525285009
30,30,1.3831,0.4968,0.8646,0.061509243990359785,0.5184424035350582
31,31,1.4296,0.4777,0.8597,0.08231254080474337,0.4928825294532754
32,32,1.4082,0.4821,0.8634,0.08921754242186404,0.5453454241125103
33,33,1.405,0.483,0.8642,0.11056259340369289,0.5546235833118418
34,34,1.3774,0.4961,0.8716,0.11685696742482905,0.545838665061131
35,35,1.4118,0.4768,0.8666,0.1181237397881728,0.5290064569835622
36,36,1.4095,0.4761,0.8693,0.11750284773673106,0.5266421342494338
37,37,1.3803,0.4892,0.8723,0.11825716345114808,0.5466934169905519
38,38,1.4063,0.4785,0.8678,0.11636382210266613,0.5499358409336791
39,39,1.3839,0.4858,0.8723,0.09914691634868134,0.5411211990728267
40,40,1.3669,0.4929,0.875,0.07771645376313933,0.5390504554358823
41,41,1.3227,0.5091,0.8824,0.08406125561851897,0.5522086783384632
42,42,1.3532,0.4942,0.8795,0.09236402169118708,0.5434099727132058
43,43,1.3794,0.4848,0.8755,0.09768099103939373,0.5513271193671015
44,44,1.4174,0.4727,0.8725,0.08125728854966395,0.5218863785724975
45,45,1.5064,0.448,0.8601,0.07205299017536379,0.49021408100499525
46,46,1.4962,0.457,0.8624,0.0647307671186259,0.4484988976679744
47,47,1.5576,0.4425,0.8552,0.05250994717948049,0.44170004903312626
48,48,1.5355,0.4478,0.8589,0.051201550127453574,0.4337121505119304
49,49,1.5399,0.4454,0.8575,0.04250290274194576,0.4165282954311662
50,50,1.5301,0.4535,0.8606,0.04538581857858715,0.4164836921835219
51,51,1.534,0.449,0.8606,0.040346627095574496,0.4483335862715696
52,52,1.526,0.4464,0.8625,0.0362470063046514,0.48655804664166297
53,53,1.4709,0.4532,0.8684,0.0455310692031899,0.47478538345595495
54,54,1.4498,0.4602,0.8722,0.0468083880626493,0.47021560912916405
55,55,1.4924,0.4442,0.866,0.02625137059266125,0.4235229461682662
56,56,1.546,0.4178,0.8607,0.026522969645542415,0.4369112498582936
57,57,1.5281,0.4171,0.8629,0.032838137762844194,0.45702968201625915
58,58,1.6404,0.3852,0.8472,0.03234379289833488,0.480064549775503
59,59,1.633,0.3891,0.848,0.031235815507577508,0.4631054116812479
60,60,1.6522,0.3926,0.8458,0.019755433810275808,0.45729238897973956
61,61,1.6491,0.3942,0.8471,0.028775359100986404,0.45897730752194127
62,62,1.6691,0.391,0.8466,0.025235714515047723,0.44346417815003314
63,63,1.6853,0.3817,0.8414,0.02546159020342182,0.4480413232692242
64,64,1.7388,0.3685,0.8355,0.028076819431652127,0.47499716552161203
