step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4221,0.1065,0.5006,0.012340415707329811,0.7560668540675407
1,1,2.3381,0.1337,0.5426,0.018031862151145446,0.8538473364773109
2,2,2.2893,0.1658,0.5731,0.02357723628572165,0.8148924451027569
3,3,2.2183,0.193,0.6031,0.033133121230518876,0.7258829577246599
4,4,2.1129,0.2098,0.6237,0.037756497965500416,0.75244154142211
5,5,2.0269,0.2283,0.6484,0.03751416220232546,0.7443962187722722
6,6,1.966,0.2573,0.672,0.04613997740002482,0.7535852335661721
7,7,1.9311,0.2796,0.6879,0.05384848667597399,0.7185915948248036
8,8,1.8845,0.2959,0.7081,0.05514008991199317,0.7126001454421194
9,9,1.8311,0.31,0.7302,0.03563849029397767,0.6916255964870169
10,10,1.7752,0.3333,0.7458,0.04864732748649655,0.6904665454626606
11,11,1.7393,0.3499,0.7539,0.0516403097829552,0.6956763598620148
12,12,1.7114,0.3628,0.7611,0.08081279781469708,0.6950706956848532
13,13,1.691,0.3695,0.7703,0.0623496889942847,0.679494793075679
14,14,1.7065,0.367,0.7709,0.07442373940727663,0.6584152324812595
15,15,1.6773,0.3722,0.7811,0.07555728636779419,0.6548450960002216
16,16,1.6452,0.3773,0.7925,0.22421362523658195,0.65388343771836
17,17,1.6321,0.381,0.7997,0.21550059772091676,0.6372814064163345
18,18,1.6074,0.3872,0.8089,0.21916324156442105,0.6495263805798251
19,19,1.6418,0.3861,0.805,0.16821080983779702,0.5983854896978532
20,20,1.641,0.3986,0.8148,0.13403635782501885,0.5789038476808868
21,21,1.6665,0.3917,0.8138,0.129130892076541,0.5638967238315848
22,22,1.6768,0.3953,0.8138,0.11142338110639122,0.5524539044573931
23,23,1.6098,0.4147,0.8249,0.11132297562695405,0.5566628321558149
24,24,1.6189,0.4102,0.8228,0.10606909680132708,0.5665517705289141
25,25,1.6059,0.4117,0.8248,0.12247059327511363,0.5885797748921203
26,26,1.6153,0.4132,0.8272,0.12399591623089794,0.6090884577322151
27,27,1.6076,0.4142,0.8314,0.09984064588537207,0.5758002578091748
28,28,1.5738,0.4204,0.8406,0.09792846505653933,0.5782861177339205
29,29,1.5353,0.4356,0.8464,0.10648833087956142,0.5822654864708925
30,30,1.5234,0.4323,0.8471,0.09510429553050731,0.5700685349652013
31,31,1.4736,0.4446,0.8582,0.09781523166304419,0.5808059244761014
32,32,1.4282,0.4578,0.8653,0.0752631321473809,0.5685797266143047
33,33,1.4404,0.455,0.8669,0.056738833050823875,0.5326798058751396
34,34,1.4277,0.4632,0.8709,0.054721867444522045,0.5256968981908311
35,35,1.4754,0.4545,0.8635,0.05772164293064821,0.5314965393787704
36,36,1.4634,0.4514,0.8652,0.04428414508333862,0.498717718627426
37,37,1.4654,0.4484,0.8643,0.03880685901943651,0.48963179193172907
38,38,1.4648,0.4499,0.8642,0.03807802939335793,0.5047668515012863
39,39,1.4636,0.4507,0.8634,0.04343149974717045,0.5026076244348953
40,40,1.4618,0.4558,0.8642,0.04385230225146254,0.4999365277568382
41,41,1.4605,0.4616,0.8691,0.04213776073064357,0.48247196111165247
42,42,1.4228,0.4606,0.8739,0.03052475696966248,0.48926618332050625
43,43,1.4693,0.4489,0.8683,0.05125742515974934,0.5095919119110455
44,44,1.4705,0.4446,0.8681,0.0488168495968423,0.5406661917057849
45,45,1.5021,0.4347,0.8654,0.047983274385418245,0.5506111598335963
46,46,1.4929,0.4408,0.8655,0.05525827169618919,0.5243731969890313
47,47,1.4998,0.4396,0.8652,0.05688806503690447,0.5357028016287104
48,48,1.5471,0.4214,0.8581,0.04724807126902878,0.5427662661189405
49,49,1.5376,0.4219,0.8603,0.041909535050124666,0.5253564771432017
50,50,1.592,0.4033,0.8526,0.05456749849842991,0.5010002980394636
51,51,1.5921,0.4033,0.8505,0.055709438873180604,0.49784842236908083
52,52,1.5451,0.423,0.8571,0.05399925787886957,0.5109669058336631
53,53,1.5576,0.4177,0.8561,0.04941476733721716,0.48807157266751694
54,54,1.5395,0.4209,0.8579,0.06267594139534143,0.4983781116351949
55,55,1.6204,0.3982,0.8457,0.050072005611091125,0.4946285643140728
56,56,1.5528,0.4135,0.855,0.06409026481759532,0.5063123834834
57,57,1.587,0.4053,0.8515,0.05629685311219352,0.5046906159324253
58,58,1.6195,0.3989,0.8454,0.059172324122516204,0.5016700475095824
59,59,1.6135,0.4045,0.8454,0.06778791490718818,0.5045681115915073
