step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4215,0.1065,0.5006,0.005905905905905906,0.7153365982638978
1,1,2.3468,0.1293,0.5401,0.0012758169934640523,0.804461695872546
2,2,2.2665,0.1687,0.5747,0.061393733726991036,0.8012032542102502
3,3,2.1564,0.1914,0.6067,0.012455294815199037,0.755989246229363
4,4,2.09,0.2191,0.6264,0.020208544303923066,0.6938499229563481
5,5,2.0656,0.2276,0.6419,0.01455906033367833,0.6513458944019621
6,6,2.0413,0.2368,0.6571,0.014927042233852486,0.6220562793765484
7,7,2.0166,0.2505,0.6785,0.03168255830924324,0.6294178436091973
8,8,2.0195,0.2652,0.6849,0.023592883062632852,0.6165344288137355
9,9,1.9986,0.2693,0.6882,0.03134018474578735,0.5873387460524881
10,10,1.9691,0.282,0.6969,0.0690715791126078,0.5675810110509242
11,11,1.8642,0.3264,0.7295,0.07519503439089315,0.5779652002715939
12,12,1.8215,0.3353,0.7409,0.1684751262234035,0.583941621304047
13,13,1.7922,0.3499,0.7533,0.18562456641968172,0.5697736789520271
14,14,1.7984,0.3494,0.7582,0.15637302316071067,0.5478712620606788
15,15,1.8195,0.3384,0.7651,0.2142187010266776,0.5501662314035103
16,16,1.8083,0.3504,0.7713,0.1203975065037703,0.5038945065150109
17,17,1.7499,0.371,0.7841,0.08305800112099976,0.5459608990620033
18,18,1.7175,0.3854,0.7929,0.0743862225530311,0.5388108950100704
19,19,1.6879,0.388,0.7974,0.11065508955706653,0.5515483812222894
20,20,1.678,0.3903,0.8043,0.1238265891505182,0.5585845320872133
21,21,1.699,0.3831,0.8003,0.0899782351091607,0.5371741806580791
22,22,1.6807,0.3882,0.8023,0.11243381937526419,0.5445229618320534
23,23,1.6635,0.394,0.8166,0.10299644189896935,0.506107452905058
24,24,1.6203,0.4092,0.8306,0.13098793355381821,0.5303926784640253
25,25,1.5771,0.4248,0.8393,0.12334126956829529,0.5316458591030382
26,26,1.5247,0.445,0.8493,0.09712243604753056,0.5015232849732637
27,27,1.4941,0.4604,0.857,0.08964269039567632,0.5048994269744472
28,28,1.5415,0.4488,0.8511,0.06982861366970462,0.4858838656968902
29,29,1.5073,0.4593,0.8566,0.07552777216406215,0.47520027193754183
30,30,1.5097,0.4596,0.8577,0.09272939477120609,0.5054009092291327
31,31,1.538,0.4483,0.8552,0.06724832630621826,0.4901788745068591
32,32,1.5529,0.443,0.8542,0.057769847191895,0.46009008241648686
33,33,1.5487,0.4492,0.8569,0.06186100787423075,0.5010617898545012
34,34,1.5136,0.4538,0.8612,0.06271010814164263,0.49108945388406766
35,35,1.5264,0.449,0.8602,0.06473096557888652,0.5260435542390436
36,36,1.4917,0.4626,0.8686,0.057942256569830874,0.5121297884303561
37,37,1.5421,0.4532,0.8627,0.03626106524920669,0.45663678804849744
38,38,1.4717,0.472,0.8716,0.044439160583542435,0.4637717519293979
39,39,1.4931,0.4596,0.8677,0.04775717916991543,0.4753122263496467
40,40,1.4671,0.4677,0.8719,0.046278116438186405,0.48145782639691675
41,41,1.4909,0.4643,0.8703,0.04547215228991218,0.47927993021909043
42,42,1.5177,0.4581,0.8696,0.06525314082380129,0.5514581881598605
43,43,1.5775,0.4499,0.86,0.030938637777815487,0.43890319111593484
44,44,1.5368,0.4581,0.8659,0.0527849184940317,0.5108774196874932
45,45,1.5105,0.462,0.8689,0.05474558627059378,0.5249153157236599
46,46,1.5606,0.4459,0.8623,0.057585083611032394,0.5272159309256665
47,47,1.5937,0.438,0.8578,0.049911066823199,0.5059320708712245
48,48,1.6325,0.4285,0.8528,0.0508666901367022,0.5142596513135124
49,49,1.5674,0.4467,0.8629,0.06320112565346994,0.5207450541118607
50,50,1.555,0.443,0.8646,0.05773309788424342,0.5085649361522135
51,51,1.5849,0.4327,0.8622,0.06325653973946481,0.4894418812992418
52,52,1.5604,0.4346,0.8643,0.06995395824758453,0.4986775020066078
53,53,1.5475,0.4397,0.8658,0.05834050711501702,0.4762299490548567
54,54,1.5541,0.4432,0.8632,0.06389477809391998,0.5167721578883396
55,55,1.5476,0.4458,0.8636,0.05131041174062292,0.4994636713667139
56,56,1.5689,0.4337,0.8588,0.05196994891538614,0.5162369120526178
57,57,1.6205,0.4201,0.8528,0.06465803566275279,0.5151854579096481
58,58,,,,,
