step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.01158900836320191,0.716641257369459
1,1,106.7194,0.1271,0.5225,0.03191838231442192,0.7138549574571827
2,2,106.9925,0.1447,0.5506,0.02649376961182852,0.36790355683566467
3,3,67.7722,0.1597,0.5717,0.02342329327271489,0.5158431709729713
4,4,45.9708,0.1731,0.589,0.027732437695450585,0.41316996212043333
5,5,29.7724,0.1947,0.6035,0.029962894163544283,0.5733376081061661
6,6,26.8502,0.2157,0.6246,0.03785566077354892,0.5836484576840226
7,7,21.5816,0.2318,0.6388,0.035399835070362436,0.38255509874150245
8,8,15.6725,0.2644,0.6786,0.044601718128136646,0.44837788241864707
9,9,15.9377,0.2807,0.6896,0.05934878905262589,0.5764865519635168
10,10,13.3863,0.277,0.6985,0.05365932771801711,0.5551030760772464
11,11,11.0492,0.2893,0.7096,0.05443214507785465,0.5777774692164749
12,12,5.8997,0.3058,0.7247,0.05541826058536475,0.5721707073902109
13,13,6.8605,0.3151,0.7341,0.05248814150974235,0.5683416519847168
14,14,5.7081,0.3346,0.7604,0.04720245933524749,0.5700429588408435
15,15,5.6845,0.3475,0.7668,0.059561764214516866,0.5526566185070269
16,16,4.6933,0.377,0.7965,0.045043376265740065,0.5348654005503095
17,17,4.8728,0.3867,0.8063,0.04375718790662312,0.5091758036299326
18,18,5.7233,0.4087,0.815,0.044075992344306404,0.5180043952181433
19,19,4.9374,0.427,0.8231,0.04246725499787343,0.5216129386394766
20,20,3.6343,0.4446,0.8322,0.06870315734494281,0.5472638423274054
21,21,3.3363,0.4537,0.8338,0.04893233994130828,0.5367252747565339
22,22,3.3582,0.456,0.838,0.046177283027559704,0.5201639996194166
23,23,2.9584,0.477,0.8508,0.045596070797243815,0.5445191644941888
24,24,3.2597,0.4797,0.8501,0.044728736434368574,0.5037146826439028
25,25,2.4291,0.4975,0.8622,0.043983489752783295,0.5106195083100518
26,26,2.3312,0.5053,0.865,0.04411180387841884,0.5107260028722922
27,27,2.2579,0.5166,0.8714,0.05219750146246648,0.5270646409860087
28,28,2.2048,0.5214,0.8738,0.046052203737666934,0.5171426155326188
29,29,2.1099,0.5261,0.8747,0.059736630424525546,0.5062312010512435
30,30,1.9493,0.5289,0.8769,0.08457600603768782,0.4960580802173504
31,31,1.8444,0.5362,0.8806,0.0832300986074326,0.5000998142769639
32,32,1.6515,0.552,0.8894,0.04933355770585618,0.5036227485577451
33,33,1.6313,0.5419,0.8867,0.06949824852850511,0.46983657613613794
34,34,1.6365,0.5418,0.8856,0.0680029880969323,0.4817347699356809
35,35,1.5676,0.5536,0.8919,0.06708965343398487,0.4765946685125209
36,36,1.6068,0.5487,0.8867,0.06586355824886038,0.4694031514674434
37,37,1.5607,0.5567,0.8894,0.06492000787607685,0.46704733476789184
38,38,1.4876,0.561,0.8936,0.03738581781141538,0.48535689075373806
39,39,1.503,0.5642,0.8955,0.03719172962347558,0.4814469577907586
40,40,1.5653,0.5546,0.8936,0.036456319403970025,0.4728134186127645
41,41,1.281,0.5722,0.9041,0.03877885648136184,0.47981516380598427
42,42,1.3135,0.5621,0.8988,0.028785553226271313,0.457157201097703
43,43,1.2824,0.5624,0.9001,0.02868378417084051,0.46923270293979624
44,44,1.2853,0.5548,0.8976,0.03953417731135727,0.4808232145073972
45,45,1.2449,0.5701,0.9036,0.0389406363380471,0.4844219071921486
46,46,1.2865,0.5543,0.8985,0.05108380078921305,0.48631197407900006
47,47,1.2576,0.5727,0.9025,0.05080764672152999,0.4916052518727717
48,48,1.1907,0.5858,0.9082,0.03716212667087313,0.48091103350945574
49,49,1.1661,0.5992,0.9135,0.0556592440646185,0.5095579847918004
50,50,1.162,0.5933,0.9111,0.049573311107090845,0.4801766405860237
51,51,1.2577,0.5626,0.901,0.05132084637279965,0.47968647366633577
52,52,1.1624,0.5933,0.9106,0.05050275068507182,0.48082298851158173
53,53,1.1733,0.5915,0.91,0.04732723351777516,0.4803668551038451
54,54,1.1115,0.6065,0.9154,0.049134372910820345,0.49274120049544534
55,55,1.1109,0.6057,0.9154,0.041663580233091656,0.49376679497384046
