tag,file,rounds_seen,best_acc,best_round,final_acc,final_auc,final_train_loss,final_asr,final_attack_auc,mean_acc_last_10,mean_asr_last_10,mean_round_time
B00,B00.log,301,0.7589270885235011,290,0.7462,0.9552,0.2179,0.5300639029803944,0.8949869481896029,0.75036,0.5269912322165464,3.9604540980139444
B01,B01.log,301,0.762414881248962,280,0.7538,0.956,0.2469,0.44615762788611724,0.8542866318915939,0.75556,0.4695142020741717,4.002346567141258
B02,B02.log,301,0.7653213751868461,280,0.7615,0.9587,0.1745,0.4448857605946896,0.8626754253686083,0.7567,0.4659923469574788,3.96345668060835
B03,B03.log,301,0.7623318385650224,300,0.7623,0.9589,0.2365,0.48456533053206036,0.8761179882739216,0.75453,0.4485402799664004,3.987735778390371
B04,B04.log,301,0.7329347284504235,300,0.7329,0.9483,0.6564,0.18797259825040985,0.7002215659053793,0.70185,0.15172804743623255,4.018591485546277
B05,B05.log,301,0.7656535459226043,250,0.7541,0.9571,0.2059,0.39900938979273703,0.8439595812133294,0.75427,0.42296590916910715,3.9717105258738874
B06,B06.log,301,0.7694735093838233,290,0.7672,0.9602,0.1546,0.4953819867743872,0.8789180499995797,0.7604,0.4526772112636189,3.9335101149802982
B07,B07.log,301,0.7632453080883574,300,0.7632,0.9594,0.1921,0.383009036897229,0.8383356783396281,0.75083,0.3790404791774998,4.025319373488823
B08,B08.log,301,0.5426839395449261,290,0.534,0.8999,1.2325,0.11712311962450209,0.6353154628880783,0.52799,0.10868208584973715,4.941250698907035
B09,B09.log,301,0.7590101312074407,220,0.634,0.904,1.2691,0.2707895449771986,0.6939124328217933,0.65962,0.22766610790098518,3.990393187912596
B10,B10.log,301,0.7687261252283674,300,0.7687,0.9592,0.1433,0.4429510611461078,0.8700991116787167,0.75758,0.43937198987056103,3.565456640680763
