tag,file,rounds_seen,best_acc,best_round,final_acc,final_auc,final_train_loss,final_asr,final_attack_auc,mean_acc_last_10,mean_asr_last_10,mean_round_time
BL00,BL00.log,301,0.7659026739744228,300,0.7659,0.9598,0.1599,0.09894047434901522,0.6544474900816472,0.7543599999999999,0.11490463037387488,6.299350597533673
BL01,BL01.log,301,0.7664009300780601,280,0.7659,0.9597,0.1908,0.09877447889532324,0.6339571911757284,0.75794,0.1196414910710996,6.059098891641611
BL02,BL02.log,301,0.7540275701710679,270,0.7525,0.9561,0.2323,0.08330327134519604,0.6063887355083656,0.74672,0.0900781991000969,6.164834757579918
BL03,BL03.log,301,0.7623318385650224,250,0.7608,0.9562,0.3207,0.14200176641313955,0.7071153932733756,0.75329,0.13602434614815334,6.048100498427584
BL04,BL04.log,301,0.7066932403255273,300,0.7067,0.9463,0.715,0.0638776757605715,0.5773384043496937,0.68166,0.05966588025881011,6.2514478946445
BL05,BL05.log,301,0.7660687593423019,300,0.7661,0.9597,0.1629,0.1067022295904588,0.6539228908924378,0.7604,0.09533211313028368,6.03709766635071
BL06,BL06.log,301,0.7798538448762664,300,0.7799,0.9623,0.1263,0.11739831122045044,0.6753807358633328,0.76379,0.11152382620836351,6.251144311752826
BL07,BL07.log,301,0.7584288324198638,250,0.7527,0.9574,0.2325,0.18142528593782015,0.727096263568513,0.75099,0.14894831567811925,6.096315396584545
BL08,BL08.log,301,0.5469191164258429,220,0.5316,0.9041,1.2055,0.08815751100832926,0.5525124846780599,0.52846,0.09420790565276141,8.1836524793872
BL09,BL09.log,301,0.7484637103471184,190,0.6995,0.9369,0.6549,0.08592978653718597,0.6492115023125931,0.66197,0.1074164324301899,6.103655134720659
BL10,BL10.log,301,0.7629131373525992,260,0.7613,0.9577,0.1628,0.12265387100314469,0.6864944293838114,0.75742,0.12847094425908773,6.189144269968584
SG00,SG00.log,301,0.7670652715495765,300,0.7671,0.9606,0.156,0.14791683758894508,0.7223768687771893,0.76108,0.13764062632553614,6.007124911907107
SG01,SG01.log,301,0.7699717654874606,210,0.7646,0.9596,0.1603,0.0718082278256562,0.6563208859392238,0.76594,0.06653291720095636,6.175680900332936
SG02,SG02.log,301,0.7620827105132038,230,0.7581,0.957,0.2284,0.17726643021088342,0.7352219395682168,0.75237,0.14662927797895747,5.9572073272692405
SG03,SG03.log,301,0.7677296130210929,300,0.7677,0.9597,0.2075,0.032415089364853766,0.5698174940387521,0.756,0.04056247508939363,6.187782590175388
SG04,SG04.log,301,0.7296130210928418,300,0.7296,0.9495,0.6744,0.01621929542407414,0.4677819208452371,0.7099599999999999,0.013157060943694307,5.998164221297863
SG05,SG05.log,301,0.7670652715495765,300,0.7671,0.9604,0.1253,0.18420720596272958,0.7588599398193433,0.76098,0.18689672644444885,6.196271086055971
SG06,SG06.log,301,0.7628300946686597,300,0.7628,0.9601,0.1963,0.13258830333116092,0.7394857986606941,0.75313,0.20474865184665667,6.042109174189774
SG07,SG07.log,301,0.7590101312074407,260,0.7477,0.9557,0.211,0.3949213138410819,0.8463495998494549,0.74846,0.4150606582724253,6.194416596643949
SG08,SG08.log,301,0.5410230858661352,290,0.5356,0.9006,1.2152,0.048178076369302776,0.46019287855749647,0.52828,0.040291989869912226,7.715760478149617
SG09,SG09.log,301,0.7548579970104634,200,0.4212,0.8108,1.9965,0.07734067059941936,0.5475967042317986,0.6544,0.0542875200014599,6.093298032038236
SG10,SG10.log,301,0.761667497093506,300,0.7617,0.9588,0.1295,0.3031635546659937,0.8202614259229993,0.75523,0.2957444400340561,5.902127313455474
