step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.0024154589371980675,0.7043970742712413
1,10,3.2845,0.3298,0.7469,0.7854005167958656,0.8309872027177112
2,20,1.7855,0.4385,0.8366,0.6855924978687128,0.7994947728875809
3,30,1.6379,0.4738,0.8663,0.609714594072771,0.7624087375601547
4,40,1.4123,0.5244,0.8845,0.5520973814293008,0.7147231072327824
5,50,1.2233,0.5536,0.9017,0.4500965616260656,0.6553933193214552
6,60,1.1657,0.564,0.9056,0.016959802252432477,0.5935269841387502
7,70,1.1484,0.5665,0.9095,0.3461625588531533,0.591250049753789
8,80,1.0889,0.5871,0.9131,0.31946761499663795,0.58049894993122
9,90,1.1127,0.593,0.9102,0.02710517760582575,0.4956661006163464
10,100,1.0572,0.605,0.9176,0.023154493004511053,0.4665281489538885
11,110,1.0463,0.6156,0.9198,0.03831181995422557,0.4456628550785175
12,120,1.0481,0.6242,0.9192,0.043603753087131374,0.5109392160061222
13,130,1.0077,0.6281,0.9239,0.05243407252903937,0.5222767950121672
14,140,0.9498,0.6476,0.9301,0.056087467065339326,0.5270592135040614
15,150,0.9457,0.6499,0.9305,0.06058860065648657,0.5201662913997827
16,160,0.9233,0.6457,0.9302,0.04522170955652191,0.5004413387482683
17,170,0.8873,0.6602,0.9345,0.04817259190423179,0.5042007641693669
18,180,0.8414,0.6844,0.9382,0.046677223670708964,0.46617636828960696
19,190,0.8637,0.6628,0.9353,0.07332231762973503,0.46897367044682825
20,200,0.8606,0.6579,0.934,0.07154054995856506,0.4939045186176623
21,210,0.777,0.6909,0.9415,0.07660900751888103,0.5129198578689763
22,220,0.7848,0.6992,0.9404,0.057482246287059405,0.4374937751727573
23,230,0.7444,0.7123,0.9437,0.052418912376908655,0.4278278004690766
24,240,0.7531,0.705,0.9425,0.06391563728815573,0.453992894714743
25,250,0.7223,0.7097,0.9432,0.06892208871969047,0.4667283816678418
26,260,0.7035,0.7226,0.9468,0.06432225943116358,0.4488133588423237
27,270,0.868,0.6762,0.9338,0.06363075893707074,0.44260341560450106
28,280,0.7085,0.7184,0.9458,0.07854713079531397,0.48190756570157334
29,290,0.6953,0.7194,0.9462,0.06614930681875367,0.45467828866438426
30,300,0.647,0.7287,0.9488,0.04532456930448036,0.4394574734884303
31,,,,,0.04626376019904392,0.4429380519272273
32,,,,,0.05462047250602183,0.477908976288705
33,,,,,0.05962602713030592,0.4817435291096978
34,,,,,0.04787476685245921,0.4756438508233797
35,,,,,0.04767952621339443,0.45867394346664625
36,,,,,0.055994860038040654,0.46994311567046965
37,,,,,0.05711137455238957,0.469177320972484
38,,,,,0.057296958986241,0.47540374272425334
39,,,,,0.06409818588969113,0.5035928595202007
40,,,,,0.06115745920861472,0.49779106479291363
41,,,,,0.07045675515615148,0.5077198129489473
42,,,,,0.06955828300668697,0.5130190306866699
43,,,,,0.06450751177919832,0.5043478205233776
44,,,,,0.0652281023842262,0.49807753851591763
45,,,,,0.05877458012610903,0.5054895805279898
46,,,,,0.05816154555293835,0.5130691481505794
47,,,,,0.05541536379521446,0.5167130768360959
48,,,,,0.046948329269938305,0.5056752075772262
49,,,,,0.04749796882371811,0.497335014533465
50,,,,,0.04747382743753587,0.49293183393473483
51,,,,,0.06478674800690337,0.5060833027613236
52,,,,,0.053381933873111555,0.4977560998535696
53,,,,,0.06509681573400582,0.5236071788390759
54,,,,,0.08385021199971368,0.5441997749872667
55,,,,,0.062397333125091395,0.5374227086315589
56,,,,,0.06022390733233056,0.5233428840241415
57,,,,,0.05462399289885123,0.5141920650435178
58,,,,,0.06068150337491389,0.5286148289836093
59,,,,,0.06538589412569097,0.5319408546751638
60,,,,,0.08263011701136594,0.5718914117461513
61,,,,,0.07194236812560444,0.5378249292309231
62,,,,,0.06937749923896756,0.5279533574111681
63,,,,,0.07209970872478046,0.5347924202608998
64,,,,,0.08327334777589258,0.5510897087849759
65,,,,,0.07036597735035058,0.542277281922328
66,,,,,0.07398736479403861,0.5459517220125969
67,,,,,0.05645663445410901,0.53371348424983
68,,,,,0.05368549238022921,0.5140857429761071
69,,,,,0.05798708599742728,0.5208735949288216
70,,,,,0.06399581676033356,0.5200585303112747
71,,,,,0.061547255601073304,0.5238738637075713
72,,,,,0.059853811769016246,0.5220931078145071
73,,,,,0.05530823332817262,0.5102593627422686
74,,,,,0.04601698988839105,0.49612583356048445
75,,,,,0.04728560779165085,0.4944139483383526
76,,,,,0.05216417941117686,0.5063351743440095
77,,,,,0.05830066039014123,0.5163598925910494
78,,,,,0.05803845000714976,0.5083816201331944
79,,,,,0.06046075753491062,0.5200203949906815
80,,,,,0.05474166438200808,0.5289350152225769
81,,,,,0.06173175367806373,0.53727755148086
82,,,,,0.05639585334451137,0.5251287633131188
83,,,,,0.05227162193757832,0.5251633164819844
84,,,,,0.052011084682506585,0.5142615988142892
85,,,,,0.04787662447124728,0.5116005594927343
86,,,,,0.053887446017520074,0.5331772053532878
87,,,,,0.04550559905917827,0.5328904720443131
88,,,,,0.06152668050062783,0.5317654081974724
89,,,,,0.05546174702367241,0.5395748435837097
90,,,,,0.049944728468666315,0.5255125081708379
91,,,,,0.04855176551596713,0.5307779945353205
92,,,,,0.06589126609039798,0.545405570663445
93,,,,,0.059257426704199694,0.5241658798423141
94,,,,,0.04945340072740492,0.5103035639721448
95,,,,,0.05430766249218405,0.5254654623360588
96,,,,,0.05413491217630609,0.5184780077067063
97,,,,,0.04555763543344479,0.5166606971526113
98,,,,,0.038460858757639,0.5121388809366311
99,,,,,0.05201942746187768,0.5298921435471375
100,,,,,0.049394186449895836,0.5350982190540687
101,,,,,0.054709607248034094,0.5463409352465486
102,,,,,0.055502827658293806,0.5509402437108278
103,,,,,0.05280353765089474,0.545443415356991
104,,,,,0.047607488113341354,0.5352339493976391
105,,,,,0.04684886676099304,0.5320115466338329
106,,,,,0.0463638089080931,0.5208223383570716
107,,,,,0.04605493029845559,0.5215403852703459
108,,,,,0.05814982959416533,0.5517423740580812
109,,,,,0.06144050824975545,0.552914157839974
110,,,,,0.05336350253769066,0.5365524699126725
111,,,,,0.05735148582683721,0.5495036502995064
112,,,,,0.054634353745297286,0.5403371857490721
113,,,,,0.05918013342184865,0.5402550816979487
114,,,,,0.05366468480462952,0.5186159775590317
115,,,,,0.06274875387333542,0.5482418336697852
116,,,,,0.06536101189141878,0.5433156495046276
117,,,,,0.06007339379467091,0.5476107231188284
118,,,,,0.0504297356787433,0.5317714802789694
119,,,,,0.0511071839911397,0.5363637194318815
120,,,,,0.06265505169913047,0.559550234568388
121,,,,,0.0549383521419556,0.54291190458063
122,,,,,0.05089349248847067,0.5417344961251722
123,,,,,0.050976101474615544,0.5402047816622035
124,,,,,0.04952796475005555,0.5405836208722975
125,,,,,0.0641646570208205,0.5643654167216767
126,,,,,0.059248755309514345,0.5594117267950085
127,,,,,0.07938306385125751,0.585021842977934
128,,,,,0.06487011466898943,0.5612174109354011
129,,,,,0.06032862504553637,0.5557965157371988
130,,,,,0.0615942250477637,0.5646131801701368
131,,,,,0.07089363919067916,0.5638017496124668
132,,,,,0.07466206548521102,0.5769566302841939
133,,,,,0.0724020475419954,0.5801009334307714
134,,,,,0.06397197064108258,0.5621953686940856
135,,,,,0.06608186874711867,0.5553557676147599
136,,,,,0.05579215327791577,0.5627023308609012
137,,,,,0.05186050061474544,0.5418227081364346
138,,,,,0.05924031313371081,0.5553975821010071
139,,,,,0.062383738980523684,0.5559188091147708
140,,,,,0.06683824023359033,0.5649166960686235
141,,,,,0.07282233252005073,0.5816759980267402
142,,,,,0.0711068574363778,0.5864131112105443
143,,,,,0.05878171047018145,0.5677520459816469
144,,,,,0.060982793820909445,0.5586835654127016
145,,,,,0.06249720014761736,0.5669128533948791
146,,,,,0.052568776768364814,0.5415124403027778
147,,,,,0.05645559876932056,0.5570677749915227
148,,,,,0.05314457421747302,0.5479440035331586
149,,,,,0.06658784363807636,0.5741049124034022
150,,,,,0.059959855823234244,0.5689865851908801
151,,,,,0.06275311605918985,0.5824132190441951
152,,,,,0.0516786160135012,0.5497530491393056
153,,,,,0.05377772401558466,0.5578135028215181
154,,,,,0.046927437870712484,0.5337606400376449
155,,,,,0.04826930415689593,0.5409587128412473
156,,,,,0.045533936867162526,0.5632739760664308
