tag,file,rounds_seen,best_acc,best_round,final_acc,final_auc,final_train_loss,final_asr,final_attack_auc,mean_acc_last_10,mean_asr_last_10,mean_round_time
BL_BL06_LE01,BL_BL06_LE01.log,301,0.7605048995183524,230,0.7535,0.9567,0.1766,0.16325835882433468,0.7137859386149626,0.7535299999999999,0.11604183829183028,6.011495328028733
BL_BL06_LE02,BL_BL06_LE02.log,201,0.7600896860986547,190,0.7567,0.9581,0.1738,0.14866155546962534,0.7042914895149657,0.7437,0.12068286698298161,9.437946528344606
BL_BL06_LE05,BL_BL06_LE05.log,121,0.7151635940873609,100,0.7147,0.9465,0.3208,0.07486720190189067,0.6206055363318926,0.66853,0.07063392939326416,18.166883232179753
BL_BL06_LE10,BL_BL06_LE10.log,81,0.6883408071748879,80,0.6883,0.9405,0.5772,0.0621192311544508,0.5996139745097171,0.5288555555555556,0.06201212754398881,36.14252856631338
BL_BL06_LE20,BL_BL06_LE20.log,51,0.5698388971931573,50,0.5698,0.8857,1.3352,0.04799166461153144,0.5305072630704133,0.40571666666666667,0.046455159928410775,63.92884051098543
BN_B07_LE01,BN_B07_LE01.log,301,0.768061783756851,300,0.7681,0.9591,0.189,0.4502087719738012,0.8607873286311949,0.7525000000000001,0.42364711033226427,6.075949608685566
BN_B07_LE02,BN_B07_LE02.log,201,0.7556053811659192,190,0.7481,0.9555,0.1949,0.40427370395081963,0.8467658945073524,0.7339,0.4047975734930481,9.184571798761093
BN_B07_LE05,BN_B07_LE05.log,121,0.7218070088025245,110,0.7167,0.9483,0.3026,0.30120873685236277,0.7900406058340399,0.6782,0.3048595431592118,19.292880113459816
BN_B07_LE10,BN_B07_LE10.log,81,0.6952333499418701,80,0.6952,0.9403,0.3578,0.19402414778635044,0.7248539050501672,0.5384111111111111,0.17417490560372745,33.846552474999136
BN_B07_LE20,BN_B07_LE20.log,51,0.6456568676299618,50,0.6457,0.9232,0.6684,0.20377662680463693,0.7344700936970088,0.4604166666666667,0.20696727034539514,68.907807041617
BN_LIM01,BN_LIM01.log,301,0.7703869789071582,270,0.7642,0.9589,0.274,0.4134494100039432,0.8373819573229603,0.7589699999999999,0.3946946231412717,5.9378120265529795
BN_LIM02,BN_LIM02.log,301,0.767148314233516,300,0.7671,0.9597,0.2654,0.4099823811908051,0.8498018110476884,0.75234,0.41562136612902884,6.096164590100513
BN_LIM03,BN_LIM03.log,301,0.7649061617671483,290,0.7571,0.9565,0.2671,0.4810586361657098,0.8676082702632714,0.75213,0.4642635907244137,5.96961890740252
BN_LIM04,BN_LIM04.log,301,0.7592592592592593,270,0.7566,0.9576,0.3129,0.40843429761203315,0.8416581020954202,0.75048,0.37580860553518025,6.015251124023995
BN_LIM05,BN_LIM05.log,301,0.7667331008138183,300,0.7667,0.9595,0.2474,0.39716915700828187,0.8316250518255626,0.7548,0.4378041631284111,6.021623061740914
BN_LIM06,BN_LIM06.log,301,0.7647400763992692,240,0.7624,0.9595,0.3071,0.41452438255019414,0.8475075064871629,0.75301,0.396228389835117,6.1758345226908835
BN_LIM07,BN_LIM07.log,301,0.7286995515695067,300,0.7287,0.9488,0.647,0.11913806226600379,0.6689940585130704,0.70824,0.11563653606879831,6.077436106545584
BN_LIM08,BN_LIM08.log,301,0.7708852350107955,290,0.7551,0.9568,0.2199,0.4337925423895287,0.8621375328165608,0.75892,0.4038412545860539,6.025105991236791
BN_LIM09,BN_LIM09.log,301,0.6910812157448929,280,0.6785,0.9401,0.6959,0.3154909261796785,0.8023639576879382,0.6825,0.29708785800172205,6.598283260763681
BN_LIM10,BN_LIM10.log,301,0.6957316060455074,290,0.6879,0.942,0.682,0.29504323615822287,0.7726434408120869,0.68411,0.2896469803098772,6.635068111641463
SG_SG03_LE01,SG_SG03_LE01.log,301,0.7691413386480651,260,0.7626,0.9595,0.242,0.20024413418979872,0.741358153523181,0.75758,0.1916860634565388,6.025139692217805
SG_SG03_LE02,SG_SG03_LE02.log,201,0.7340142833416377,180,0.7331,0.9527,0.2828,0.2890459303854089,0.7926610765973788,0.71809,0.30161099828006527,9.141890990793408
SG_SG03_LE05,SG_SG03_LE05.log,121,0.7182361733931241,120,0.7182,0.9481,0.2794,0.4111263270041561,0.8473853619800126,0.67904,0.3986003536911561,19.182795546271585
SG_SG03_LE10,SG_SG03_LE10.log,81,0.6724796545424349,80,0.6725,0.9329,0.6404,0.11378395097767731,0.6526614228123766,0.5295222222222222,0.12602033402547175,33.846267185093446
SG_SG03_LE20,SG_SG03_LE20.log,51,0.5965786414216907,50,0.5966,0.9025,1.1666,0.07410438139793404,0.5659382067475653,0.4261,0.06078464395222373,66.32251130365857
